Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
59,2018-04-21 15:39:15,743856.652256944,61.12623,112.6947,2577.237,0,0,0,0
60,2018-04-22 10:12:45,743858.425520833,29.7687,141.6178,2662.933,1.77326388901565,-31.35753,28.9231,85.6959999999999
61,2018-04-22 14:04:25,743858.586400463,15.67199,75.1618,1328.632,1.93414351902902,-45.45424,-37.5329,-1248.605
62,2018-04-22 22:00:31,743858.917025463,29.96295,109.6267,2251.013,2.26476851897314,-31.16328,-3.068,-326.224
63,2018-04-23 14:00:59,743860.584016204,17.77299,93.3572,1393.82,3.93175926001277,-43.35324,-19.3375,-1183.417
64,2018-04-24 14:03:01,743862.585428241,15.61641,88.9701,1464.192,5.93317129695788,-45.50982,-23.7246,-1113.045
65,2018-04-24 21:04:47,743862.878321759,24.46099,93.0222,1453.772,6.22606481506955,-36.66524,-19.6725,-1123.465
66,2018-04-25 15:02:53,743864.627002315,15.21879,66.1878,1003.777,7.97474537102971,-45.90744,-46.5069,-1573.46
67,2018-04-26 00:07:04,743866.004907407,24.27282,83.2942,873.125,9.35265046299901,-36.85341,-29.4005,-1704.112
68,2018-04-26 06:06:44,743866.254675926,20.21198,75.2698,1035.953,9.60241898195818,-40.91425,-37.4249,-1541.284
69,2018-04-26 12:04:27,743866.503090278,19.02719,93.4889,1452.255,9.85083333402872,-42.09904,-19.2058,-1124.982
70,2018-04-26 18:56:09,743866.788993056,24.76411,96.7284,1292.336,10.1367361120647,-36.36212,-15.9663,-1284.901
71,2018-04-27 00:01:50,743868.001273148,31.35596,104.9205,1746.754,11.3490162040107,-29.77027,-7.77419999999999,-830.483
72,2018-04-27 09:44:07,743868.405636574,22.4816,74.9124,773.291,11.7533796300413,-38.64463,-37.7823,-1803.946
