Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
31,2017-01-08 01:08:51,742920.0478125,6.4534,377.8542,612.674
32,2017-01-08 20:54:16,742920.871018518,8.9093,473.2879,829.574
33,2017-01-09 03:09:31,742922.131608796,7.3297,378.4707,644.297
34,2017-01-09 12:22:53,742922.515891204,2.7218,189.826,345.754
35,2017-01-10 08:32:45,742924.356076389,3.0508,189.4663,341.962
36,2017-01-10 14:03:42,742924.585902778,4.3456,284.512,507.454
37,2017-01-10 23:11:26,742924.966273148,8.6137,475.2154,826.767
38,2017-01-11 04:05:00,742926.170138889,5.3623,282.7416,515.931
39,2017-01-11 14:03:16,742926.585601852,7.7944,472.9529,759.741
40,2017-01-12 05:05:22,742928.212060185,7.7212,376.2221,610.097
41,2017-01-12 14:04:48,742928.586666667,5.7073,378.306,624.013
42,2017-01-12 19:11:38,742928.79974537,6.8558,377.3564,635.603
43,2017-01-13 12:18:03,742930.512534722,9.399,566.0275,906.503
