Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg,matlab in_datenum,matlab in_chl,matlab in_bt,matlab in_o2
42,2018-04-15 05:12:33,743844.217048611,15.92853,177.7587,45.691,0,0,0,0
43,2018-04-15 15:06:02,743844.629189815,15.70438,173.0129,47.779,0.412141203996725,-0.22415,-4.7458,2.088
44,2018-04-15 22:01:43,743844.917858796,14.91336,172.9927,51.398,0.700810184935108,-1.01517,-4.76599999999999,5.707
45,2018-04-16 15:03:02,743846.627106482,14.53045,177.625,46.232,2.4100578710204,-1.39808,-0.133700000000005,0.540999999999997
46,2018-04-17 15:03:16,743848.627268519,11.04443,150.4668,43.161,4.41021990799345,-4.8841,-27.2919,-2.53
47,2018-04-17 21:04:08,743848.87787037,11.9219,155.0208,49.977,4.66082175902557,-4.00663,-22.7379,4.28599999999999
48,2018-04-18 15:03:03,743850.627118056,12.29344,187.0308,65.163,6.4100694450317,-3.63509,9.2721,19.472
49,2018-04-18 22:05:25,743850.920428241,10.97383,136.6731,47.955,6.70337962999474,-4.9547,-41.0856,2.264
50,2018-04-19 02:15:57,743852.094409722,10.39415,136.7008,46.091,7.87736111099366,-5.53438,-41.0579,0.399999999999999
51,2018-04-19 06:07:15,743852.255034722,17.16247,177.6435,53.381,8.03798611101229,1.23394,-0.115200000000016,7.69
52,2018-04-19 12:06:26,743852.504467593,13.34241,154.912,50.191,8.28741898201406,-2.58612,-22.8467,4.5
53,2018-04-19 14:16:53,743852.59505787,10.43863,127.4998,40.507,8.37800925900228,-5.4899,-50.2589,-5.184
54,2018-04-19 18:05:49,743852.754039352,12.44628,163.9449,51.238,8.53699074091855,-3.48225,-13.8138,5.547
55,2018-04-19 23:59:38,743852.99974537,12.57341,200.376,69.93,8.782696758979,-3.35512,22.6173,24.239
56,2018-04-20 06:06:48,743854.254722222,12.30568,154.7222,58.535,10.0376736109611,-3.62285,-23.0365,12.844
57,2018-04-20 11:01:56,743854.459675926,21.0681,232.1141,77.788,10.2426273149904,5.13957,54.3554,32.097
58,2018-04-20 22:34:17,743854.940474537,10.88932,154.7883,54.208,10.7234259259421,-5.03921,-22.9704,8.517
