# MetaGOmics taxonomy report
# MetaGOmics version: 0.1.1
# Run date: Thu Jun 28 20:15:14 PDT 2018
GO acc	GO aspect	GO name	taxon name	NCBI taxonomy id	taxonomy rank	PSM count	ratio of GO	ratio of run
unknownprc	biological_process	unknown biological process	Arthropoda	6656	phylum	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Crustacea	6657	subphylum	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	root	1	no rank	26	0.05531914893617021	0.047186932849364795
unknownprc	biological_process	unknown biological process	Aquificaceae	64898	family	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Bacteria	2	superkingdom	18	0.03829787234042553	0.032667876588021776
unknownprc	biological_process	unknown biological process	Aquifex aeolicus	63363	species	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Aquificales	32069	order	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Eukaryota	2759	superkingdom	8	0.01702127659574468	0.014519056261343012
unknownprc	biological_process	unknown biological process	Aquifex aeolicus VF5	224324	no rank	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Aquificae	200783	phylum	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Synechocystis sp. PCC 6803 substr. Kazusa	1111708	no rank	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Harpacticidae	512265	family	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Micrococcales	85006	order	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Aquificae	187857	class	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Actinobacteria	201174	phylum	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Neocopepoda	116569	infraclass	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Aquifex	2713	genus	16	0.03404255319148936	0.029038112522686024
unknownprc	biological_process	unknown biological process	Podoplea	116571	superorder	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Cyanobacteria	1117	phylum	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Actinobacteria	1760	class	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Merismopediaceae	1890428	family	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Maxillopoda	72037	class	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Synechococcales	1890424	order	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Copepoda	6830	subclass	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Tigriopus	6831	genus	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Tigriopus californicus	6832	species	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Micrococcaceae	1268	family	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Micrococcus	1269	genus	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Micrococcus luteus	1270	species	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Synechocystis	1142	genus	1	0.002127659574468085	0.0018148820326678765
unknownprc	biological_process	unknown biological process	Metazoa	33208	kingdom	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Harpacticoida	41212	order	7	0.014893617021276596	0.012704174228675136
unknownprc	biological_process	unknown biological process	Synechocystis sp. PCC 6803	1148	species	1	0.002127659574468085	0.0018148820326678765
