# MetaGOmics GO report
# MetaGOmics version: 0.1.1
# Run date: Thu Jun 28 14:58:29 PDT 2018
GO acc	GO aspect	GO name	count	total count	ratio
unknownprc	biological_process	unknown biological process	1518	2509	0.6050219210840972
GO:0038061	biological_process	NIK/NF-kappaB signaling	2	2509	7.971303308090873E-4
unknownfun	molecular_function	unknown molecular function	1752	2509	0.6982861697887605
GO:0009733	biological_process	response to auxin	4	2509	0.0015942606616181746
GO:0032392	biological_process	DNA geometric change	2	2509	7.971303308090873E-4
unknowncmp	cellular_component	unknown cellular component	1545	2509	0.6157831805500199
GO:0009735	biological_process	response to cytokinin	22	2509	0.00876843363889996
GO:0009737	biological_process	response to abscisic acid	7	2509	0.0027899561578318055
GO:0032403	molecular_function	protein complex binding	18	2509	0.007174172977281785
GO:0009741	biological_process	response to brassinosteroid	12	2509	0.004782781984854523
GO:0051591	biological_process	response to cAMP	4	2509	0.0015942606616181746
GO:0051592	biological_process	response to calcium ion	4	2509	0.0015942606616181746
GO:0098771	biological_process	inorganic ion homeostasis	2	2509	7.971303308090873E-4
GO:0098772	molecular_function	molecular function regulator	16	2509	0.006377042646472699
GO:0009751	biological_process	response to salicylic acid	2	2509	7.971303308090873E-4
GO:0098776	biological_process	protein transport across the cell outer membrane	2	2509	7.971303308090873E-4
GO:0051602	biological_process	response to electrical stimulus	4	2509	0.0015942606616181746
GO:0051604	biological_process	protein maturation	21	2509	0.008369868473495417
GO:0051606	biological_process	detection of stimulus	33	2509	0.01315265045834994
GO:0000001	biological_process	mitochondrion inheritance	4	2509	0.0015942606616181746
GO:0000002	biological_process	mitochondrial genome maintenance	18	2509	0.007174172977281785
GO:0000003	biological_process	reproduction	12	2509	0.004782781984854523
GO:0038093	biological_process	Fc receptor signaling pathway	6	2509	0.0023913909924272616
GO:0038094	biological_process	Fc-gamma receptor signaling pathway	4	2509	0.0015942606616181746
GO:0038095	biological_process	Fc-epsilon receptor signaling pathway	2	2509	7.971303308090873E-4
GO:0042254	biological_process	ribosome biogenesis	5	2509	0.0019928258270227183
GO:0038096	biological_process	Fc-gamma receptor signaling pathway involved in phagocytosis	4	2509	0.0015942606616181746
GO:0044183	molecular_function	protein binding involved in protein folding	76	2509	0.03029095257074532
GO:0051082	molecular_function	unfolded protein binding	89	2509	0.03547229972100439
GO:0032432	cellular_component	actin filament bundle	4	2509	0.0015942606616181746
GO:0009772	biological_process	photosynthetic electron transport in photosystem II	24	2509	0.009565563969709047
GO:0098796	cellular_component	membrane protein complex	385	2509	0.15344758868074931
GO:0032434	biological_process	regulation of proteasomal ubiquitin-dependent protein catabolic process	19	2509	0.00757273814268633
GO:0009773	biological_process	photosynthetic electron transport in photosystem I	22	2509	0.00876843363889996
GO:0098797	cellular_component	plasma membrane protein complex	52	2509	0.02072538860103627
GO:0032435	biological_process	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	19	2509	0.00757273814268633
GO:0015036	molecular_function	disulfide oxidoreductase activity	6	2509	0.0023913909924272616
GO:0000011	biological_process	vacuole inheritance	4	2509	0.0015942606616181746
GO:0098805	cellular_component	whole membrane	19	2509	0.00757273814268633
GO:0038111	biological_process	interleukin-7-mediated signaling pathway	6	2509	0.0023913909924272616
GO:0098807	cellular_component	chloroplast thylakoid membrane protein complex	8	2509	0.0031885213232363493
GO:0046128	biological_process	purine ribonucleoside metabolic process	28	2509	0.011159824631327222
GO:0032446	biological_process	protein modification by small protein conjugation	2	2509	7.971303308090873E-4
GO:0046129	biological_process	purine ribonucleoside biosynthetic process	19	2509	0.00757273814268633
GO:0009792	biological_process	embryo development ending in birth or egg hatching	23	2509	0.009166998804304504
GO:0098813	biological_process	nuclear chromosome segregation	12	2509	0.004782781984854523
GO:0051640	biological_process	organelle localization	37	2509	0.014746911119968115
GO:0051641	biological_process	cellular localization	55	2509	0.0219210840972499
GO:0051642	biological_process	centrosome localization	19	2509	0.00757273814268633
GO:0038127	biological_process	ERBB signaling pathway	2	2509	7.971303308090873E-4
GO:0038128	biological_process	ERBB2 signaling pathway	2	2509	7.971303308090873E-4
GO:0051646	biological_process	mitochondrion localization	37	2509	0.014746911119968115
GO:0051647	biological_process	nucleus localization	31	2509	0.012355520127540853
GO:1904029	biological_process	regulation of cyclin-dependent protein kinase activity	4	2509	0.0015942606616181746
GO:0051648	biological_process	vesicle localization	4	2509	0.0015942606616181746
GO:1904030	biological_process	negative regulation of cyclin-dependent protein kinase activity	4	2509	0.0015942606616181746
GO:0051649	biological_process	establishment of localization in cell	57	2509	0.022718214428058988
GO:0032465	biological_process	regulation of cytokinesis	20	2509	0.007971303308090873
GO:0051650	biological_process	establishment of vesicle localization	4	2509	0.0015942606616181746
GO:0000035	molecular_function	acyl binding	1	2509	3.9856516540454366E-4
GO:0051651	biological_process	maintenance of location in cell	4	2509	0.0015942606616181746
GO:0000036	molecular_function	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	1	2509	3.9856516540454366E-4
GO:0051653	biological_process	spindle localization	23	2509	0.009166998804304504
GO:0009814	biological_process	defense response, incompatible interaction	8	2509	0.0031885213232363493
GO:0051654	biological_process	establishment of mitochondrion localization	2	2509	7.971303308090873E-4
GO:0005886	cellular_component	plasma membrane	141	2509	0.056197688322040654
GO:0051656	biological_process	establishment of organelle localization	37	2509	0.014746911119968115
GO:0007165	biological_process	signal transduction	25	2509	0.00996412913511359
GO:0009817	biological_process	defense response to fungus, incompatible interaction	8	2509	0.0031885213232363493
GO:0046148	biological_process	pigment biosynthetic process	7	2509	0.0027899561578318055
GO:0009055	molecular_function	electron carrier activity	67	2509	0.026703866082104424
GO:0000049	molecular_function	tRNA binding	15	2509	0.005978477481068154
GO:0032479	biological_process	regulation of type I interferon production	2	2509	7.971303308090873E-4
GO:0009826	biological_process	unidimensional cell growth	16	2509	0.006377042646472699
GO:0032480	biological_process	negative regulation of type I interferon production	2	2509	7.971303308090873E-4
GO:0046165	biological_process	alcohol biosynthetic process	1	2509	3.9856516540454366E-4
GO:0006260	biological_process	DNA replication	1	2509	3.9856516540454366E-4
GO:0098857	cellular_component	membrane microdomain	35	2509	0.013949780789159028
GO:0007059	biological_process	chromosome segregation	33	2509	0.01315265045834994
GO:0051276	biological_process	chromosome organization	56	2509	0.022319649262654444
GO:0098858	cellular_component	actin-based cell projection	4	2509	0.0015942606616181746
GO:0009842	cellular_component	cyanelle	57	2509	0.022718214428058988
GO:0000070	biological_process	mitotic sister chromatid segregation	12	2509	0.004782781984854523
GO:0046173	biological_process	polyol biosynthetic process	1	2509	3.9856516540454366E-4
GO:0007017	biological_process	microtubule-based process	57	2509	0.022718214428058988
GO:0009845	biological_process	seed germination	7	2509	0.0027899561578318055
GO:0032501	biological_process	multicellular organismal process	27	2509	0.010761259465922678
GO:0098863	biological_process	nuclear migration by microtubule mediated pushing forces	31	2509	0.012355520127540853
GO:0000075	biological_process	cell cycle checkpoint	19	2509	0.00757273814268633
GO:0032502	biological_process	developmental process	107	2509	0.04264647269828617
GO:0032506	biological_process	cytokinetic process	7	2509	0.0027899561578318055
GO:0032507	biological_process	maintenance of protein location in cell	4	2509	0.0015942606616181746
GO:0098869	biological_process	cellular oxidant detoxification	6	2509	0.0023913909924272616
GO:0032508	biological_process	DNA duplex unwinding	2	2509	7.971303308090873E-4
GO:0009853	biological_process	photorespiration	7	2509	0.0027899561578318055
GO:0000086	biological_process	G2/M transition of mitotic cell cycle	33	2509	0.01315265045834994
GO:0046189	biological_process	phenol-containing compound biosynthetic process	1	2509	3.9856516540454366E-4
GO:0051701	biological_process	interaction with host	2	2509	7.971303308090873E-4
GO:0051704	biological_process	multi-organism process	114	2509	0.045436428856117976
GO:0051705	biological_process	multi-organism behavior	4	2509	0.0015942606616181746
GO:0007169	biological_process	transmembrane receptor protein tyrosine kinase signaling pathway	6	2509	0.0023913909924272616
GO:0035556	biological_process	intracellular signal transduction	15	2509	0.005978477481068154
GO:0000096	biological_process	sulfur amino acid metabolic process	6	2509	0.0023913909924272616
GO:0000097	biological_process	sulfur amino acid biosynthetic process	6	2509	0.0023913909924272616
