# MetaGOmics taxonomy report
# MetaGOmics version: 0.1.1
# Run date: Thu Jun 28 15:01:39 PDT 2018
GO acc	GO aspect	GO name	taxon name	NCBI taxonomy id	taxonomy rank	PSM count	ratio of GO	ratio of run
unknownprc	biological_process	unknown biological process	root	1	no rank	68	0.04479578392621871	0.027102431247508968
unknownprc	biological_process	unknown biological process	Bacteria	2	superkingdom	49	0.032279314888010543	0.019529693104822637
unknownprc	biological_process	unknown biological process	Hominidae	9604	family	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Cyanothecaceae	1892249	family	16	0.010540184453227932	0.006377042646472699
unknownprc	biological_process	unknown biological process	Rodentia	9989	order	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Homo	9605	genus	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Homo sapiens	9606	species	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Nostocales	1161	order	9	0.005928853754940711	0.0035870864886408927
unknownprc	biological_process	unknown biological process	Nostocaceae	1162	family	9	0.005928853754940711	0.0035870864886408927
unknownprc	biological_process	unknown biological process	Nostoc sp. PCC 7120	103690	species	9	0.005928853754940711	0.0035870864886408927
unknownprc	biological_process	unknown biological process	Synechocystis sp. PCC 6803 substr. Kazusa	1111708	no rank	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Bacillus subtilis	1423	species	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Sciurognathi	33553	suborder	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Synechococcus elongatus PCC 6301	269084	no rank	3	0.001976284584980237	0.0011956954962136308
unknownprc	biological_process	unknown biological process	Nostoc	1177	genus	9	0.005928853754940711	0.0035870864886408927
unknownprc	biological_process	unknown biological process	Forcipulatacea	41242	superorder	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Chordata	7711	phylum	4	0.002635046113306983	0.0015942606616181746
unknownprc	biological_process	unknown biological process	Echinodermata	7586	phylum	4	0.002635046113306983	0.0015942606616181746
unknownprc	biological_process	unknown biological process	Asterozoa	7587	superclass	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Asteroidea	7588	class	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Streptophyta	35493	phylum	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Mus	862507	subgenus	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Euarchontoglires	314146	superorder	4	0.002635046113306983	0.0015942606616181746
unknownprc	biological_process	unknown biological process	Bacillus subtilis subsp. subtilis	135461	subspecies	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Synechococcus elongatus	32046	species	3	0.001976284584980237	0.0011956954962136308
unknownprc	biological_process	unknown biological process	Forcipulatida	7599	order	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Oscillatoriophycideae	1301283	subclass	16	0.010540184453227932	0.006377042646472699
unknownprc	biological_process	unknown biological process	Asteriidae	7600	family	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Asterias	7601	genus	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Simiiformes	314293	infraorder	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Hominoidea	314295	superfamily	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Asterias rubens	7604	species	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Bacilli	91061	class	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Catarrhini	9526	parvorder	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Bacillus subtilis subsp. subtilis str. 168	224308	no rank	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Metazoa	33208	kingdom	8	0.005270092226613966	0.0031885213232363493
unknownprc	biological_process	unknown biological process	Viridiplantae	33090	kingdom	5	0.0032938076416337285	0.0019928258270227183
unknownprc	biological_process	unknown biological process	Murinae	39107	subfamily	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Bacillaceae	186817	family	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Eukaryota	2759	superkingdom	19	0.012516469038208168	0.00757273814268633
unknownprc	biological_process	unknown biological process	Synechococcus sp. CC9605	110662	species	3	0.001976284584980237	0.0011956954962136308
unknownprc	biological_process	unknown biological process	Proteobacteria	1224	phylum	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Echinozoa	7624	superclass	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Echinoidea	7625	class	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Muridae	10066	family	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Cyanothece	43988	genus	16	0.010540184453227932	0.006377042646472699
unknownprc	biological_process	unknown biological process	Haplorrhini	376913	suborder	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Cyanothece sp. ATCC 51142	43989	species	16	0.010540184453227932	0.006377042646472699
unknownprc	biological_process	unknown biological process	Euechinoidea	7638	subclass	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Firmicutes	1239	phylum	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Cyanobacteria	1117	phylum	47	0.030961791831357048	0.018732562774013552
unknownprc	biological_process	unknown biological process	Merismopediaceae	1890428	family	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Mammalia	40674	class	4	0.002635046113306983	0.0015942606616181746
unknownprc	biological_process	unknown biological process	Primates	9443	order	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Synechococcales	1890424	order	22	0.014492753623188406	0.00876843363889996
unknownprc	biological_process	unknown biological process	Synechococcaceae	1890426	family	6	0.003952569169960474	0.0023913909924272616
unknownprc	biological_process	unknown biological process	Mus	10088	genus	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Synechococcus	1129	genus	6	0.003952569169960474	0.0023913909924272616
unknownprc	biological_process	unknown biological process	Bacillales	1385	order	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	rosids	71275	subclass	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Mus musculus	10090	species	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Bacillus	1386	genus	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Psammechinus	7659	genus	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Psammechinus miliaris	7660	species	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Homininae	207598	subfamily	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Brassicales	3699	order	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Brassicaceae	3700	family	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Arabidopsis	3701	genus	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Arabidopsis thaliana	3702	species	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Synechocystis	1142	genus	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Craniata	89593	subphylum	4	0.002635046113306983	0.0015942606616181746
unknownprc	biological_process	unknown biological process	Echinacea	7674	superorder	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Echinoida	7675	order	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Bacillus subtilis group	653685	species group	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Synechocystis sp. PCC 6803	1148	species	1	6.587615283267457E-4	3.9856516540454366E-4
unknownprc	biological_process	unknown biological process	Echinidae	7676	family	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Camelineae	980083	tribe	2	0.0013175230566534915	7.971303308090873E-4
unknownprc	biological_process	unknown biological process	Oscillatoriales	1150	order	16	0.010540184453227932	0.006377042646472699
GO:0038061	biological_process	NIK/NF-kappaB signaling	root	1	no rank	2	1.0	7.971303308090873E-4
GO:0038061	biological_process	NIK/NF-kappaB signaling	Eukaryota	2759	superkingdom	2	1.0	7.971303308090873E-4
unknownfun	molecular_function	unknown molecular function	Rhizobium leguminosarum	384	species	40	0.0228310502283105	0.015942606616181746
unknownfun	molecular_function	unknown molecular function	root	1	no rank	302	0.1723744292237443	0.12036667995217218
unknownfun	molecular_function	unknown molecular function	Bacteria	2	superkingdom	302	0.1723744292237443	0.12036667995217218
unknownfun	molecular_function	unknown molecular function	Prochlorococcus	1218	genus	97	0.055365296803652965	0.038660821044240734
unknownfun	molecular_function	unknown molecular function	Rhizobiaceae	82115	family	41	0.023401826484018264	0.01634117178158629
unknownfun	molecular_function	unknown molecular function	Prochlorococcus marinus	1219	species	97	0.055365296803652965	0.038660821044240734
