Mods 231,Mods 233,Mods 243,Mods 378,Mods 278,Mods 273,DNO peptides modified percent,PEAKS DB mod peptides percent,Num modifications,Sample 231,Sample 233,Sample 243,Sample 378,Sample 278,Sample 273,Percent modifications,PSample 231,PSample 233,PSample 243,PSample 378,PSample 278,PSample 273
Carbamidomethylation; Dimethylation(KR),Sodium adduct,Carbamidomethylation; Dimethylation(KR),Carbamidomethylation; Dimethylation(KR),Deamidation (NQ),Deamidation (NQ),0.276985743,0.114906832,# Carbamidomethylation,107,93,14,15,44,28,Carbamidomethylation,0.138064516,0.168784029,0.132075472,0.115384615,0.141025641,0.137931034
Carbamidomethylation,Carbamidomethylation; Dimethylation(KR),Sodium adduct,Deamidation (NQ),Deamidation (NQ),Deamidation (NQ),0.295725298,0.094059406,# Oxidation,117,57,17,17,60,41,Oxidation,0.150967742,0.103448276,0.160377358,0.130769231,0.192307692,0.201970443
Oxidation (M),Ethylation,Deamidation (NQ),Sodium adduct,Sodium adduct,Replacement of proton with ammonium ion,0.307279693,0.077568134,# Deamidation,52,56,10,7,9,11,Deamidation,0.067096774,0.101633394,0.094339623,0.053846154,0.028846154,0.054187192
Deamidation (NQ),Deamidation (NQ),Carbamidomethylation; Dimethylation(KR),Replacement of 2 protons by iron,Mutation,Sodium adduct,0.343213729,0.087878788,# Acetylation,16,12,1,3,1,2,Acetylation,0.020645161,0.021778584,0.009433962,0.023076923,0.003205128,0.009852217
Sodium adduct,Deamidation (NQ),Ethylation; Carbamidomethylation,Replacement of proton with ammonium ion,Mutation,Deamidation (NQ),0.576085791,0.128386337,# Ubiquitination,2,1,0,0,0,0,Ubiquitination,0.002580645,0.001814882,0,0,0,0
Deoxy,Deamidation (NQ),Carbamidomethylation,Deamidation (NQ),Carbamidomethylation,Monoglutamyl,0.520693733,0.110599078,# Dehydration,8,9,4,5,9,7,Dehydration,0.010322581,0.016333938,0.037735849,0.038461538,0.028846154,0.034482759
Sodium adduct,Carbamidomethylation,Oxidation (M),Dehydration,Sodium adduct,Deamidation (NQ),,,# Formylation,19,9,0,1,3,2,Formylation,0.024516129,0.016333938,0,0.007692308,0.009615385,0.009852217
Sodium adduct,Carbamidomethylation; Methylation(KR),Replacement of proton by potassium,Sodium adduct,Dehydration,Sodium adduct,,,# Methylation,134,104,15,21,55,32,Methylation,0.172903226,0.188747731,0.141509434,0.161538462,0.176282051,0.157635468
Oxidation (M),Ethylation; Carbamidomethylation,Sodium adduct,Deamidation (NQ),Carbamidomethylation,Deamidation (NQ),,,# Propionamide,5,4,0,2,2,1,Propionamide,0.006451613,0.007259528,0,0.015384615,0.006410256,0.004926108
Carbamidomethylation,Oxidation (M),Carbamylation,Sodium adduct,Carbamidomethylation,Replacement of proton by potassium,,,# Sodium adduct,21,15,4,4,6,7,Sodium adduct,0.027096774,0.02722323,0.037735849,0.030769231,0.019230769,0.034482759
Ethylation,Carbamidomethylation,Dehydration,Carbamidomethylation; Sodium adduct; Dimethylation(KR),Replacement of proton with ammonium ion,Mutation,,,# Pyro-glu from Q,10,4,3,3,1,0,Pyro-glu from Q,0.012903226,0.007259528,0.028301887,0.023076923,0.003205128,0
Oxidation (M); Methylation(KR),Carbamidomethylation,Dehydration,Replacement of 2 protons by iron,Carbamidomethylation,Dehydration,,,# Mutation,86,43,7,5,38,21,Mutation,0.110967742,0.078039927,0.066037736,0.038461538,0.121794872,0.103448276
Carbamidomethylation,Sodium adduct,Carbamidomethylation,Oxidation or Hydroxylation,Mutation,Dehydration,,,# Monoglutamyl,0,0,0,0,0,1,Monoglutamyl,0,0,0,0,0,0.004926108
Methylation(KR),Deamidation (NQ),Carbamidomethylation; Dimethylation(KR),Replacement of 2 protons by iron,Sodium adduct,Replacement of 2 protons by calcium,,,# Phosphorylation (STY),2,2,0,3,6,3,Phosphorylation (STY),0.002580645,0.003629764,0,0.023076923,0.019230769,0.014778325
Oxidation (M),Replacement of 2 protons by calcium,Oxidation (M),Propionamide (K  X@N-term),Dehydration,Mutation,,,# Sulphone,2,0,0,1,0,0,Sulphone,0.002580645,0,0,0.007692308,0,0
Carbamidomethylation,Deamidation (NQ),Oxidation (M),Pyro-glu from Q,Deamidation (NQ),Mutation,,,# Carbamylation,8,3,1,0,2,2,Carbamylation,0.010322581,0.005444646,0.009433962,0,0.006410256,0.009852217
Oxidation (M),Carbamidomethylation,Deamidation (NQ),Carbamidomethylation,Mutation,Mutation,,,# Ethylation,139,108,17,22,56,33,Ethylation,0.179354839,0.19600726,0.160377358,0.169230769,0.179487179,0.162561576
Oxidation (M),Oxidation (M),Deamidation (NQ),Pyro-glu from Q,Carbamidomethylation,Dehydration,,,# Glycidamide adduct,2,0,0,0,0,0,Glycidamide adduct,0.002580645,0,0,0,0,0
Carbamidomethylation,Oxidation (M),Deamidation (NQ),Replacement of proton by potassium,Sodium adduct,Carbamylation,,,# Hydroxymethyl,1,0,0,0,1,0,Hydroxymethyl,0.001290323,0,0,0,0.003205128,0
Oxidation (M),Carbamidomethylation,Mutation,Replacement of proton by potassium,Methylation(others),Sodium adduct,,,# Ubiquitin,2,1,0,0,0,0,Ubiquitin,0.002580645,0.001814882,0,0,0,0
Sodium adduct,Carbamidomethylation,Dehydration,Replacement of 2 protons by iron,Sodium adduct,Oxidation (M),,,# Tryptophan oxidation to kynurenin,1,0,0,0,0,0,Tryptophan oxidation to kynurenin,0.001290323,0,0,0,0,0
Pyro-glu from Q,Carbamidomethylation,Replacement of proton by potassium,Replacement of 2 protons by iron,Sodium adduct,Methylation(others),,,# Replacement of proton by potassium,3,0,4,4,2,4,Replacement of proton by potassium,0.003870968,0,0.037735849,0.030769231,0.006410256,0.019704433
Carbamidomethylation,Replacement of 2 protons by nickel,Methylation(others); Carbamidomethylation,Sulphone,Deamidation (NQ),Carbamylation,,,# 2-amino-3-oxo-butanoic_acid,0,0,0,1,0,0,2-amino-3-oxo-butanoic_acid,0,0,0,0.007692308,0,0
Carbamidomethylation,Deamidation (NQ),Replacement of 2 protons by calcium,Mutation,Deamidation (NQ),Oxidation (M),,,# Deoxy,6,8,0,0,2,2,Deoxy,0.007741935,0.014519056,0,0,0.006410256,0.009852217
Oxidation (M),Carbamidomethylation,Deamidation (NQ),Oxidation (M),Mutation,Replacement of proton by potassium,,,# Replacement of 2 protons by calcium,12,6,1,1,2,1,Replacement of 2 protons by calcium,0.015483871,0.010889292,0.009433962,0.007692308,0.006410256,0.004926108
Sodium adduct,Sodium adduct,Oxidation (M),Replacement of proton by potassium,Replacement of proton with ammonium ion,Replacement of proton by potassium,,,# Dimethylation(KR),5,7,4,6,2,1,Dimethylation(KR),0.006451613,0.012704174,0.037735849,0.046153846,0.006410256,0.004926108
Methylation(others),Carbamidomethylation,Oxidation (M),Replacement of proton by potassium,Carbamidomethylation,Mutation,,,# Dihydroxy,2,1,0,1,0,1,Dihydroxy,0.002580645,0.001814882,0,0.007692308,0,0.004926108
Pyro-glu from Q,Deamidation (NQ),Dehydration,Phosphorylation (STY); Dihydroxy; Deamidation (NQ),Carbamidomethylation,Carbamidomethylation,,,# Proline oxidation to pyrrolidinone,0,0,0,0,1,0,Proline oxidation to pyrrolidinone,0,0,0,0,0.003205128,0
Deamidation (NQ),Deamidation (NQ),Carbamidomethylation; Methylation(KR),ISD (z+2)-series,Mutation,Carbamidomethylation,,,# ISD (z+2)-series,2,2,2,2,0,0,ISD (z+2)-series,0.002580645,0.003629764,0.018867925,0.015384615,0,0
Carbamidomethylation,Oxidation (M),Deamidation (NQ),ISD (z+2)-series,Pyro-glu from E,Carbamidomethylation,,,# Pyro-glu from E,0,0,0,0,2,0,Pyro-glu from E,0,0,0,0,0.006410256,0
Carbamidomethylation,Sodium adduct,Mutation,Acetylation (N-term),Mutation,Replacement of 2 protons by nickel,,,# Ammonia-loss (N),1,2,0,1,0,0,Ammonia-loss (N),0.001290323,0.003629764,0,0.007692308,0,0
Oxidation (M),Deamidation (NQ),Mutation,Carbamidomethylation,Carbamylation,Mutation,,,# Amidination of lysines or N-terminal amines with methyl acetimidate,1,0,0,1,1,1,Amidination of lysines or N-terminal amines with methyl acetimidate,0.001290323,0,0,0.007692308,0.003205128,0.004926108
Carbamidomethylation; Deamidation (NQ); Dimethylation(KR),Sodium adduct,Deamidation (NQ),Replacement of 2 protons by calcium,Carbamidomethylation,Oxidation (M),,,# Replacement of 2 protons by nickel,1,2,0,0,0,1,Replacement of 2 protons by nickel,0.001290323,0.003629764,0,0,0,0.004926108
Oxidation (M),Carbamidomethylation,Mutation,Dimethylation(KR),Carbamidomethylation,Ethylation,,,# 3-sulfanylpropanoyl,0,0,0,0,1,0,3-sulfanylpropanoyl,0,0,0,0,0.003205128,0
Carbamidomethylation,Oxidation (M),Sodium adduct,Oxidation (M),Mutation,Carbamidomethylation,,,# Hydroxylation,5,1,0,2,4,0,Hydroxylation,0.006451613,0.001814882,0,0.015384615,0.012820513,0
Sodium adduct,Carbamidomethylation,Ethylation,Pyro-glu from Q,Replacement of 2 protons by calcium,Amidination of lysines or N-terminal amines with methyl acetimidate,,,# Replacement of proton with ammonium ion,2,0,0,2,2,1,Replacement of proton with ammonium ion,0.002580645,0,0,0.015384615,0.006410256,0.004926108
