Names	total	elements
db proteins dno proteins	74	PMM1099
		PMM0598
		PMM0166
		PMM0042
		PMM0492
		PMM1330
		PMM0868
		PMM0049
		PMM1503
		PMM1545
		PMM1445
		PMM0974
		PMM1549
		PMM0838
		PMM0677
		PMM0705
		PMM0026
		PMM1014
		PMM0885
		PMM1583
		PMM0394
		PMM0622
		PMM0475
		PMM0124
		PMM1419
		PMM0229
		PMM0025
		PMM1614
		PMM0863
		PMM1007
		PMM0135
		PMM0458
		PMM1078
		PMM0426
		PMM1213
		PMM0876
		PMM0928
		PMM0434
		PMM0846
		PMM0227
		PMM0672
		PMM1132
		PMM0733
		PMM1590
		PMM0487
		PMM0138
		PMM1202
		PMM1708
		PMM1267
		PMM0036
		PMM0231
		PMM0763
		PMM1325
		PMM0777
		PMM0113
		PMM0101
		PMM0943
		PMM0285
		PMM0159
		PMM1240
		PMM1072
		PMM0706
		PMM0787
		PMM0068
		PMM1052
		PMM1475
		PMM1464
		PMM0054
		PMM0325
		PMM0523
		PMM1541
		PMM0842
		PMM0173
		PMM0372
dno proteins	182	PMM0697
		PMM1630
		PMM1350
		PMM1225
		PMM1246
		PMM1286
		PMM1989
		PMM0519
		PMM1837
		PMM0746
		PMM0060
		PMM0331
		PMM1315
		PMM1894
		PMM0908
		PMM0708
		PMM0056
		PMM0781
		PMM0005
		PMM0037
		PMM0552
		PMM0161
		PMM0405
		PMM0378
		PMM0534
		PMM0140
		PMM1211
		PMM0605
		PMM0743
		PMM0776
		PMM0483
		PMM0048
		PMM0354
		PMM1069
		PMM0526
		PMM0419
		PMM1416
		PMM2011
		PMM0710
		PMM1886
		PMM0878
		PMM1687
		PMM1931
		PMM1437
		PMM1539
		PMM1701
		PMM0962
		PMM0321
		PMM1832
		PMM1650
		PMM0024
		PMM0877
		PMM0847
		PMM1679
		PMM1466
		PMM1309
		PMM1912
		PMM0384
		PMM1985
		PMM1552
		PMM1485
		PMM2005
		PMM1639
		PMM1321
		PMM1596
		PMM1554
		PMM1459
		PMM0774
		PMM0320
		PMM1171
		PMM0758
		PMM1311
		PMM0524
		PMM0518
		PMM1831
		PMM0681
		PMM1712
		PMM1846
		PMM0311
		PMM0035
		PMM0407
		PMM1838
		PMM0544
		PMM0312
		PMM1657
		PMM0016
		PMM1911
		PMM0804
		PMM1165
		PMM0897
		PMM0214
		PMM1897
		PMM1243
		PMM0718
		PMM1622
		PMM0812
		PMM0208
		PMM1711
		PMM0012
		PMM0066
		PMM0495
		PMM1994
		PMM0481
		PMM1436
		PMM2010
		PMM0832
		PMM0946
		PMM1483
		PMM0445
		PMM1841
		PMM1298
		PMM2019
		PMM0288
		PMM0970
		PMM1827
		PMM1955
		PMM0013
		PMM0292
		PMM1606
		PMM0452
		PMM0402
		PMM1061
		PMM0856
		PMM0619
		PMM1565
		PMM0580
		PMM1472
		PMM1855
		PMM0480
		PMM1480
		PMM1002
		PMM0482
		PMM1139
		PMM1816
		PMM1492
		PMM1981
		PMM1851
		PMM1681
		PMM1825
		PMM1800
		PMM1075
		PMM2077
		PMM0601
		PMM0436
		PMM1294
		PMM1447
		PMM0901
		PMM0484
		PMM1704
		PMM0674
		PMM1611
		PMM1847
		PMM0144
		PMM1951
		PMM1338
		PMM1535
		PMM1943
		PMM0929
		PMM0141
		PMM0514
		PMM0477
		PMM1623
		PMM0613
		PMM0085
		PMM1234
		PMM0209
		PMM1538
		PMM1247
		PMM1038
		PMM0889
		PMM1924
		PMM0010
		PMM1688
		PMM0755
		PMM1189
		PMM0032
		PMM0713
		PMM1063
		PMM1484
		PMM0760
		PMM1915
		PMM1933
db proteins	640	PMM1553
		PMM1177
		PMM0766
		PMM1268
		PMM1256
		PMM0664
		PMM1156
		PMM0418
		PMM1182
		PMM0250
		PMM1664
		PMM0882
