ProteinID,Alignments,SpecCounts,Unique,Coverage,Description
PMM0001,10,11,10,0.257,| dnaN | DNA polymerase III subunit beta
PMM0002,2,2,1,0.038,| PMM0002 | hypothetical protein
PMM0003,11,12,11,0.139,| purL | phosphoribosylformylglycinamidine synthase II
PMM0004,2,2,2,0.029,| purF | amidophosphoribosyltransferase
PMM0005,10,10,10,0.114,"| PMM0005 | DNA gyrase/topoisomerase IV, subunit A"
PMM0006,1,1,1,0.028,| PMM0006 | hypothetical protein
PMM0007,1,1,1,0.035,| PMM0007 | hypothetical protein
PMM0008,6,6,6,0.171,| PMM0008 | hypothetical protein
PMM0009,2,2,2,0.067,| nusB | transcription antitermination protein NusB
PMM0010,13,13,13,0.28,| ftsY | signal recognition particle docking protein FtsY
PMM0011,2,2,2,0.047,| PMM0011 | protein phosphatase 2C domain-containing protein
PMM0012,10,10,10,0.235,| argH | argininosuccinate lyase
PMM0013,4,4,4,0.081,| PMM0013 | RNA recognition motif-containing protein
PMM0014,1,1,1,0.021,| PMM0014 | tRNA-dihydrouridine synthase A
PMM0015,2,2,2,0.146,| PMM0015 | hypothetical protein
PMM0016,14,19,14,0.523,| grpE | heat shock protein GrpE
PMM0017,6,8,6,0.126,| dnaJ | DnaJ protein
PMM0020,7,8,7,0.517,| PMM0020 | hypothetical protein
PMM0021,4,4,3,0.132,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase
PMM0022,2,2,2,0.038,| murC | UDP-N-acetylmuramate-alanine ligase
PMM0023,11,14,11,0.274,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
PMM0024,2,2,2,0.046,| thiL | putative thiamine-monophosphate kinase
PMM0025,1,1,1,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
PMM0026,3,3,3,0.129,| efp | elongation factor P
PMM0027,1,1,1,0.06,"| accB,fabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit"
PMM0028,1,1,1,0.026,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase
PMM0029,3,3,3,0.098,| PMM0029 | hypothetical protein
PMM0032,4,5,4,0.266,| PMM0032 | type II secretion system pr
PMM0034,1,1,1,0.169,| PMM0034 | hypothetical protein
PMM0035,1,2,1,0.021,| DHSS | soluble hydrogenase small subunit
PMM0036,2,2,2,0.051,| cbiD | cobalt-precorrin-6A synthase
PMM0037,7,9,7,0.153,| guaA | GMP synthase
PMM0038,1,1,1,0.03,| PMM0038 | hypothetical protein
PMM0039,3,3,3,0.129,| PMM0039 | hypothetical protein
PMM0040,1,1,1,0.012,| PMM0040 | putative penicillin-binding protein
PMM0041,2,2,2,0.109,| PMM0041 | putative reductase
PMM0042,2,2,2,0.032,| PMM0042 | flavoprotein
PMM0043,2,2,2,0.039,| PMM0043 | flavoprotein
PMM0044,9,9,9,0.093,| alaS | alanyl-tRNA synthetase
PMM0045,5,5,4,0.079,| PMM0045 | arginine decarboxylase
PMM0046,2,4,2,0.118,| ndk | nucleoside diphosphate kinase
PMM0047,4,5,4,0.111,| thiO | putative thiamine biosynthesis oxidoreductase
PMM0048,9,9,9,0.169,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B
PMM0049,3,3,3,0.108,| coaE | putative dephospho-CoA kinase
PMM0050,2,2,2,0.06,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
PMM0051,3,3,3,0.117,| PMM0051 | hypothetical protein
PMM0052,1,1,1,0.031,| PMM0052 | aldo/keto reductase
PMM0054,1,1,1,0.062,| PMM0054 | hypothetical protein
PMM0055,1,3,1,0.085,| PMM0055 | hypothetical protein
PMM0057,3,3,3,0.026,| PMM0057 | SMC ATPase superfamily chromosome segregation protein
PMM0058,2,2,2,0.074,| PMM0058 | hypothetical protein
PMM0059,1,1,1,0.019,| PMM0059 | hypothetical protein
PMM0060,4,4,4,0.122,| accC | acetyl-CoA carboxylase biotin carboxylase subunit
