Peptides,InterPro-entry,Name
3,IPR:IPR006656,Molybdopterin oxidoreductase
3,IPR:IPR006311,"Twin-arginine translocation pathway, signal sequence"
3,IPR:IPR009010,Aspartate decarboxylase-like domain superfamily
3,IPR:IPR006963,"Molybdopterin oxidoreductase, 4Fe-4S domain"
2,IPR:IPR008147,"Glutamine synthetase, beta-Grasp domain"
2,IPR:IPR008146,"Glutamine synthetase, catalytic domain"
2,IPR:IPR036651,"Glutamine synthetase, N-terminal domain superfamily"
2,IPR:IPR014746,"Glutamine synthetase/guanido kinase, catalytic domain"
2,IPR:IPR004809,Glutamine synthetase type I
2,IPR:IPR027303,"Glutamine synthetase, glycine-rich site"
