Peptides,InterPro-entry,Name
2,IPR:IPR010527,"Photosystem II PsbU, oxygen evolving complex"
1,IPR:IPR029490,Cytochrome c-550 domain
1,IPR:IPR016003,Photosystem II cytochrome c-550 precursor
1,IPR:IPR036909,Cytochrome c-like domain superfamily
1,IPR:IPR009056,Cytochrome c-like domain
1,IPR:IPR017851,"Photosystem II PsbV, cytochrome c-550 precursor"
1,IPR:IPR036579,"Photosystem I, reaction centre subunit PsaD superfamily"
1,IPR:IPR003685,Photosystem I PsaD
1,IPR:IPR011322,"Nitrogen regulatory PII-like, alpha/beta"
1,IPR:IPR015867,"Nitrogen regulatory protein PII/ATP phosphoribosyltransferase, C-terminal"
