Peptides,InterPro-entry,Name
29,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
16,IPR:IPR013783,Immunoglobulin-like fold
16,IPR:IPR009057,Homeobox-like domain superfamily
16,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
14,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
13,IPR:IPR029058,Alpha/Beta hydrolase fold
13,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
13,IPR:IPR036291,NAD(P)-binding domain superfamily
12,IPR:IPR013785,Aldolase-type TIM barrel
11,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
