Peptides,InterPro-entry,Name
53,IPR:IPR018389,TRAP transporter solute receptor DctP/TeaA
53,IPR:IPR038404,TRAP transporter solute receptor DctP superfamily
51,IPR:IPR026289,"Solute binding protein, TakP-like"
42,IPR:IPR006311,"Twin-arginine translocation pathway, signal sequence"
31,IPR:IPR001638,Solute-binding protein  family 3/N-terminal domain of MltF
29,IPR:IPR000914,Solute-binding protein family 5 domain
29,IPR:IPR039424,Solute-binding protein family 5
29,IPR:IPR028082,Periplasmic binding protein-like I
28,IPR:IPR028081,Leucine-binding protein domain
27,IPR:IPR006059,Bacterial extracellular solute-binding protein
