Peptides,InterPro-entry,Name
920,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
218,IPR:IPR003593,AAA+ ATPase domain
181,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
168,IPR:IPR036291,NAD(P)-binding domain superfamily
156,IPR:IPR011009,Protein kinase-like domain superfamily
149,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
134,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
129,IPR:IPR013783,Immunoglobulin-like fold
123,IPR:IPR036390,Winged helix DNA-binding domain superfamily
119,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
