Peptides,InterPro-entry,Name
14,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
7,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
6,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
6,IPR:IPR017853,Glycoside hydrolase superfamily
5,IPR:IPR036188,FAD/NAD(P)-binding domain superfamily
5,IPR:IPR009057,Homeobox-like domain superfamily
5,IPR:IPR013785,Aldolase-type TIM barrel
5,IPR:IPR003593,AAA+ ATPase domain
4,IPR:IPR013783,Immunoglobulin-like fold
4,IPR:IPR029058,Alpha/Beta hydrolase fold
