Peptides,InterPro-entry,Name
955,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
494,IPR:IPR036291,NAD(P)-binding domain superfamily
432,IPR:IPR003593,AAA+ ATPase domain
254,IPR:IPR015421,"Pyridoxal phosphate-dependent transferase, major domain"
254,IPR:IPR015424,Pyridoxal phosphate-dependent transferase
229,IPR:IPR015422,Pyridoxal phosphate-dependent transferase domain 1
216,IPR:IPR014729,Rossmann-like alpha/beta/alpha sandwich fold
210,IPR:IPR013785,Aldolase-type TIM barrel
195,IPR:IPR036188,FAD/NAD(P)-binding domain superfamily
185,IPR:IPR003439,ABC transporter-like
