Names	total	elements
1_1FDR_Accession 2_1FDR_Accession	1313	PMM1177
		PMM1156
		PMM1715
		PMM0076
		PMM1630
		PMM1350
		PMM0499
		PMM1664
		PMM0598
		PMM1225
		PMM0396
		PMM0039
		PMM0215
		PMM1233
		PMM1200
		PMM0473
		PMM1691
		PMM1569
		PMM0042
		PMM1512
		PMM0492
		PMM0828
		PMM1537
		PMM1345
		PMM1432
		PMM0098
		PMM0790
		PMM1692
		PMM1280
		PMM0911
		PMM0519
		PMM1034
		PMM1330
		PMM0077
		PMM1220
		PMM1070
		PMM0060
		PMM0642
		PMM0839
		PMM0331
		PMM1315
		PMM1163
		PMM0941
		PMM1670
		PMM1276
		PMM0120
		PMM0719
		PMM0049
		PMM0799
		PMM0996
		PMM1503
		PMM1498
		PMM1217
		PMM0265
		PMM0440
		PMM0027
		PMM0712
		PMM0328
		PMM1126
		PMM0180
		PMM0428
		PMM0989
		PMM1197
		PMM1313
		PMM0753
		PMM1113
		PMM1301
		PMM0459
		PMM1545
		PMM0969
		PMM1689
		PMM0360
		PMM1269
		PMM0781
		PMM0463
		PMM0933
		PMM0082
		PMM1278
		PMM0521
		PMM1064
		PMM0502
		PMM0663
		PMM0300
		PMM0203
		PMM1571
		PMM0893
		PMM1415
		PMM1349
		PMM0037
		PMM1368
		PMM0161
		PMM0552
		PMM0724
		PMM1148
		PMM0107
		PMM0258
		PMM0926
		PMM0405
		PMM0417
		PMM1496
		PMM1578
		PMM1406
		PMM1621
		PMM1303
		PMM0378
		PMM1549
		PMM1369
		PMM0175
		PMM1207
		PMM1656
		PMM0534
		PMM1329
		PMM0116
		PMM0982
		PMM0559
		PMM1576
		PMM1340
		PMM0677
		PMM0959
		PMM0776
		PMM0743
		PMM0954
		PMM1532
		PMM0483
		PMM1677
		PMM0623
		PMM0313
		PMM0907
		PMM1023
		PMM1699
		PMM0091
		PMM0615
		PMM0365
		PMM0389
		PMM0210
		PMM1601
		PMM1558
		PMM1452
		PMM1188
		PMM0344
		PMM1081
		PMM1069
		PMM0490
		PMM0705
		PMM0526
		PMM0419
		PMM1700
		PMM1260
		PMM0834
		PMM1593
		PMM1377
		PMM0852
		PMM1105
		PMM0732
		PMM0327
		PMM1594
		PMM1254
		PMM0607
		PMM1446
		PMM1465
		PMM0505
		PMM0840
		PMM1205
		PMM1413
		PMM0710
		PMM1159
		PMM1687
		PMM1347
		PMM1505
		PMM1154
		PMM1186
		PMM0125
		PMM0497
		PMM0783
		PMM0008
		PMM1437
		PMM1539
		PMM0962
		PMM0826
		PMM1100
		PMM1322
		PMM0321
		PMM0302
		PMM0709
		PMM1209
		PMM1317
		PMM1662
		PMM1337
		PMM1583
		PMM1137
		PMM1262
		PMM1589
		PMM1543
		PMM0021
		PMM0847
		PMM0745
		PMM1454
		PMM0596
		PMM0338
		PMM0786
		PMM0177
		PMM0296
		PMM1547
		PMM1561
		PMM1006
		PMM0319
		PMM0353
		PMM1342
		PMM0343
		PMM0275
		PMM1499
		PMM0960
		PMM0679
		PMM0475
		PMM0384
		PMM0228
		PMM1033
		PMM1468
		PMM1079
		PMM1461
		PMM0493
		PMM1552
		PMM1056
		PMM1004
		PMM1215
		PMM1181
		PMM0750
		PMM1485
		PMM1488
		PMM0409
		PMM1707
		PMM1141
		PMM1639
		PMM1596
		PMM1321
		PMM0433
		PMM0891
		PMM0644
		PMM0198
		PMM0865
		PMM1554
		PMM0833
		PMM1669
		PMM0221
		PMM0774
		PMM1066
