Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja09-20170531,Coverage (%) etnp-ja10-20170531,Coverage (%) etnp-ja11-20170531,Coverage (%) etnp-ja12-20170531,Coverage (%) etnp-ja13-20170531,Coverage (%) etnp-ja14-20170531,Coverage (%) etnp-ja15-20170531,Coverage (%) etnp-ja16-20170531,Area etnp-ja09-20170531,Area etnp-ja10-20170531,Area etnp-ja11-20170531,Area etnp-ja12-20170531,Area etnp-ja13-20170531,Area etnp-ja14-20170531,Area etnp-ja15-20170531,Area etnp-ja16-20170531,#Peptides,#Unique,#Spec etnp-ja09-20170531,#Spec etnp-ja10-20170531,#Spec etnp-ja11-20170531,#Spec etnp-ja12-20170531,#Spec etnp-ja13-20170531,#Spec etnp-ja14-20170531,#Spec etnp-ja15-20170531,#Spec etnp-ja16-20170531,PTM,Avg. Mass,Description
16,66141,ETNP_100m_particle_PROKKA_12435,281.49,76,55,76,0,0,0,0,0,0,2.46E6,1.24E8,,,,,,,100,47,13,143,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13019,Photosystem II 12 kDa extrinsic protein precursor
16,66142,ETNP_120m_PROKKA_126325,281.49,76,55,76,0,0,0,0,0,0,2.46E6,1.24E8,,,,,,,100,47,13,143,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13019,Photosystem II 12 kDa extrinsic protein precursor
16,66143,ETNP_90m_PROKKA_27133,281.49,76,55,76,0,0,0,0,0,0,2.46E6,1.24E8,,,,,,,100,47,13,143,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13019,Photosystem II 12 kDa extrinsic protein precursor
16,66144,ETNP_100m_PROKKA_02317,281.49,76,55,76,0,0,0,0,0,0,2.46E6,1.24E8,,,,,,,100,47,13,143,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13019,Photosystem II 12 kDa extrinsic protein precursor
17,66145,ETNP_110m_PROKKA_45826,279.61,76,70,76,0,0,0,0,0,0,7.29E4,4.19E6,,,,,,,95,7,22,132,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13042,Photosystem II 12 kDa extrinsic protein precursor
17,18,ETNP_160m_PROKKA_83311,279.61,76,70,76,0,0,0,0,0,0,7.29E4,4.19E6,,,,,,,95,7,22,132,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),13076,Photosystem II 12 kDa extrinsic protein precursor
20,29,NP_300m_PROKKA_20959,249.11,66,0,10,66,38,14,0,0,0,,,4.45E5,,,,,,95,1,0,8,100,37,6,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
59,66119,ETNP_100m_PROKKA_57551,239.55,66,22,66,0,0,0,0,0,0,,1.56E6,,,,,,,66,1,9,85,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),29257,Photosystem II manganese-stabilizing polypeptide precursor
36,66153,NP_300m_PROKKA_02121,239.24,49,0,14,49,30,16,2,0,0,,,2.84E5,,,,,,77,1,0,9,90,33,7,1,0,0,Oxidation (M); Deamidation (NQ),39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
68,66116,ETNP_120m_PROKKA_307121,237.39,44,0,30,42,38,39,0,0,0,,3.08E6,2.98E7,2.64E7,2.43E7,,,,17,13,0,10,29,22,25,0,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39385,Bacterial extracellular solute-binding protein
