Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
1,9880,PMM1436,574.78,95,95,5.04E10,193,192,1310,Carbamidomethylation; Oxidation (M),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,455.97,67,67,7.68E9,74,73,266,Carbamidomethylation; Oxidation (M),61441,| groEL | chaperonin GroEL
5,12773,PMM0228,449.76,84,84,4.35E9,60,60,171,Carbamidomethylation; Oxidation (M),28114,| psbO | photosystem II manganese-stabilizing protein
4,9777,PMM1704,427.20,65,65,3.74E9,48,48,176,Carbamidomethylation; Oxidation (M),68244,| dnaK | molecular chaperone DnaK
15,9877,PMM1485,400.34,58,58,1.12E9,56,55,106,Carbamidomethylation; Oxidation (M),122908,| rpoB | DNA-directed RNA polymerase subunit beta
6,16009,PMM0642,398.67,91,91,5.25E9,43,43,155,Carbamidomethylation; Oxidation (M),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
14,10439,PMM0710,397.11,70,70,2.08E9,67,67,107,Carbamidomethylation; Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
7,12780,PMM0901,395.13,71,71,2.48E9,57,55,155,Carbamidomethylation; Oxidation (M),72552,| htpG | heat shock protein 90
12,16035,PMM0315,393.98,41,41,2.82E9,35,35,112,,56091,| psbB | photosystem II PsbB protein (CP47)
13,10413,PMM1483,386.85,57,57,1.03E9,62,62,111,Carbamidomethylation; Oxidation (M),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
9,16023,PMM0407,372.88,80,80,2.23E9,28,28,134,Carbamidomethylation; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
8,10114,PMM1508,367.90,72,72,2.81E9,45,45,135,Carbamidomethylation; Oxidation (M),43622,| tuf | elongation factor Tu
21,9717,PMM1088,358.18,66,66,5.93E8,51,49,84,Carbamidomethylation; Oxidation (M),93427,| clpC | ClpC
11,10638,PMM1350,353.66,81,81,3.96E9,29,29,117,Carbamidomethylation; Oxidation (M),20921,| PMM1350 | pentapeptide repeat-containing protein
31,16061,PMM0583,352.89,60,60,6.31E8,25,25,67,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase
66,10485,PMM0226,350.40,50,50,2.79E8,24,20,46,Carbamidomethylation; Oxidation (M),66746,| ftsH2 | cell division protein FtsH2
25,9970,PMM0970,349.95,59,59,1.09E9,24,24,77,Carbamidomethylation,47600,| urtA | putative urea ABC transporter  substrate binding protein
27,10079,PMM1494,347.49,47,47,3.66E8,47,46,75,Carbamidomethylation; Oxidation (M),127148,| infB | translation initiation factor IF-2
18,10505,PMM1309,346.41,74,74,2.54E9,31,31,97,Carbamidomethylation; Oxidation (M),39151,| ftsZ | cell division protein FtsZ
23,16072,PMM0856,338.84,87,87,3.85E9,21,21,81,Carbamidomethylation; Oxidation (M),21758,| tpx | thioredoxin peroxidase
30,9922,PMM0661,336.71,54,54,4.68E8,36,36,69,Carbamidomethylation,90662,| nrdJ | ribonucleotide reductase (class II)
22,10147,PMM1191,334.76,54,54,9.73E8,39,37,82,Carbamidomethylation; Oxidation (M),78668,| pnp | polynucleotide phosphorylase/polyadenylase
47,13311,PMM1492,326.82,66,66,3.38E8,28,28,55,Carbamidomethylation; Oxidation (M),52999,| nusA | transcription elongation factor NusA
52,16029,PMM0208,326.34,60,60,6.71E8,21,21,52,Carbamidomethylation; Oxidation (M),45899,| eno | enolase
24,12807,PMM1264,326.32,53,53,8.74E8,40,36,80,Carbamidomethylation; Oxidation (M),67227,| ftsH3 | cell division protein FtsH3
71,10111,PMM0743,323.00,45,45,2.1E8,28,27,44,Carbamidomethylation; Oxidation (M),68885,| ftsH1 | FtsH ATP-dependent protease-like protein
19,10720,PMM0016,318.70,84,84,2.99E9,29,29,95,,27671,| grpE | heat shock protein GrpE
28,16013,PMM1315,317.91,77,77,8.79E8,24,24,71,Carbamidomethylation; Oxidation (M),36630,| ilvC | ketol-acid reductoisomerase
41,10009,PMM1509,317.19,62,62,4.88E8,35,35,57,Carbamidomethylation; Oxidation (M),75690,| fusA | elongation factor G
45,16026,PMM0920,315.12,50,50,7.62E8,24,24,56,Carbamidomethylation,52878,| glnA | glutamine synthetase  glutamate--ammonia ligase
16,13010,PMM0195,314.66,84,84,2.17E9,34,34,103,Carbamidomethylation; Oxidation (M),42964,| pgk | phosphoglycerate kinase
88,16024,PMM0023,313.95,71,71,7.58E8,19,19,41,Carbamidomethylation; Oxidation (M),36991,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
76,9842,PMM1712,313.94,44,44,1.63E8,35,35,43,Carbamidomethylation,105952,| uvrA | excinuclease ABC subunit A
36,10695,PMM1247,313.01,63,63,8.98E8,23,23,63,Carbamidomethylation; Oxidation (M),46454,| PMM1247 | hypothetical protein
51,9881,PMM1610,311.49,60,60,3.76E8,29,29,53,Carbamidomethylation; Oxidation (M),72988,| tktA | transketolase
40,16012,PMM0769,310.39,66,66,5.44E8,34,34,58,Carbamidomethylation; Oxidation (M),48074,| glgC | glucose-1-phosphate adenylyltransferase
69,16025,PMM0311,310.37,60,60,5.9E8,22,22,45,Carbamidomethylation; Oxidation (M),45083,| metK | S-adenosylmethionine synthetase
2,12774,PMM1437,308.23,83,83,2.75E10,42,42,339,,10789,| groES | co-chaperonin GroES
67,13181,PMM1196,308.11,60,60,2.36E8,28,28,46,Carbamidomethylation; Oxidation (M),54798,| manC | GDP-mannose pyrophosphorylase
26,12851,PMM0550,308.03,46,46,1.88E9,24,24,76,Carbamidomethylation; Oxidation (M),52574,| rbcL | ribulose bisophosphate carboxylase
62,9897,PMM0010,307.74,59,59,1.91E8,29,29,47,,48441,| ftsY | signal recognition particle docking protein FtsY
57,10593,PMM1438,307.58,64,64,4.65E8,24,24,49,Oxidation (M),51980,| atpB | F0F1 ATP synthase subunit beta
100,10275,PMM1062,307.41,68,68,3.17E8,26,26,38,Carbamidomethylation; Oxidation (M),41000,| guaB | inosine 5-monophosphate dehydrogenase
74,9921,PMM0312,306.54,63,63,5.58E8,25,25,44,Oxidation (M),40876,| rps1a | 30S ribosomal protein S1
84,16080,PMM0767,305.34,65,65,4.54E8,18,18,41,Carbamidomethylation; Oxidation (M),35150,| glpX | fructose 1 6-bisphosphatase II
42,16015,PMM0483,305.03,68,68,1.03E9,27,27,57,Carbamidomethylation; Oxidation (M),46265,| hemL | glutamate-1-semialdehyde aminotransferase
33,16014,PMM0405,304.66,72,72,5.57E8,30,30,65,Carbamidomethylation; Oxidation (M),49186,| pdhC | branched-chain alpha-keto acid dehydrogenase subunit E2
97,10120,PMM1416,304.28,52,52,5.57E8,24,24,39,Oxidation (M),75064,| PMM1416 | hypothetical protein
29,12823,PMM1287,302.29,55,55,3.54E8,36,36,70,,79939,| PMM1287 | hypothetical protein
127,12849,PMM1625,301.39,50,50,1.62E8,22,22,34,Carbamidomethylation; Oxidation (M),51826,| ahcY | S-adenosyl-L-homocysteine hydrolase
55,9760,PMM1512,301.13,29,29,1.12E8,39,39,51,Carbamidomethylation; Oxidation (M),168148,| glsF | ferredoxin-dependent glutamate synthase
54,10445,PMM1033,298.51,59,59,5.16E8,25,25,52,Oxidation (M),51156,| PMM1033 | cobalamin synthesis protein/P47K
60,10596,PMM1338,296.42,43,43,4.1E8,31,31,47,Carbamidomethylation,78849,| PMM1338 | chloroplast outer envelope membrane protein
46,16056,PMM0781,295.59,61,61,9.24E8,21,21,56,Carbamidomethylation; Oxidation (M),39000,| cbbA cfxA fbaA fda | fructose-1 6-bisphosphate aldolase
17,13221,PMM1321,294.72,71,71,3.28E9,36,36,99,Oxidation (M),9768,| PMM1321 | histone-like DNA-binding protein
10,12776,PMM0482,293.02,73,73,3.49E9,24,24,129,Oxidation (M),29085,| phb | Band 7 protein
58,16033,PMM1147,292.45,67,67,4.68E8,21,21,49,Carbamidomethylation; Oxidation (M),39873,| pntA-1 | putative nicotinamide nucleotide transhydrogenase  subunit alpha 1 (A1)
50,13324,PMM0552,292.13,48,48,3.36E8,34,34,54,Carbamidomethylation; Oxidation (M),81882,| csoS2 | carboxysome shell protein CsoS2
119,16065,PMM0832,291.96,79,79,1.24E8,21,21,35,Carbamidomethylation; Oxidation (M),30639,| dapB | dihydrodipicolinate reductase
78,16279,PMM1412,291.41,72,72,7.78E8,18,18,43,Oxidation (M),15164,| PMM1412 | hypothetical protein
86,13075,PMM1596,290.24,54,54,3.78E8,23,23,41,Carbamidomethylation; Oxidation (M),52630,| icd | isocitrate dehydrogenase
117,16046,PMM0878,288.73,72,72,1.98E8,19,18,35,Oxidation (M),34080,| ilvE | branched-chain amino acid aminotransferase
85,10727,PMM0324,288.67,61,61,2.85E8,24,24,41,Carbamidomethylation; Oxidation (M),47586,| ctpA | carboxyl-terminal protease
77,16052,PMM1630,287.99,41,41,3.27E8,18,18,43,Oxidation (M),51437,| PMM1630 | Mg2+ transporter
93,9807,PMM0831,287.34,34,34,1.45E8,30,30,39,Carbamidomethylation,150089,| chlH | magnesium chelatase subunit H
79,9935,PMM0758,285.70,49,49,1.38E8,26,26,42,Carbamidomethylation; Oxidation (M),67887,| sir | sulfite reductase subunit beta
126,16019,PMM0001,285.37,70,70,3.45E8,20,20,34,Carbamidomethylation; Oxidation (M),42505,| dnaN | DNA polymerase III subunit beta
44,10212,PMM1665,285.29,63,63,5.14E8,21,21,56,Carbamidomethylation; Oxidation (M),44463,| sqdB | sulfolipid (UDP-sulfoquinovose) biosynthesis protein
68,10709,PMM0946,284.91,68,68,3.68E8,29,29,46,Carbamidomethylation; Oxidation (M),52187,| gatA | aspartyl/glutamyl-tRNA amidotransferase subunit A
124,13321,PMM1258,284.76,61,61,2.59E8,20,20,34,Carbamidomethylation; Oxidation (M),43323,| PMM1258 | pyridoxal-phosphate-dependent aminotransferase
61,9819,PMM0238,283.98,41,41,2.83E8,35,35,47,Carbamidomethylation,111413,| ileS | isoleucyl-tRNA synthetase
81,16047,PMM1622,283.89,60,60,3.87E8,18,18,42,Carbamidomethylation; Oxidation (M),37254,| mreB | rod shape-determining protein MreB
176,16339,PMM0329,282.73,86,86,1.06E9,10,10,27,Carbamidomethylation,7605,| psaE | photosystem I reaction center subunit IV
34,10017,PMM1075,282.43,63,63,1.53E9,23,23,64,Carbamidomethylation; Oxidation (M),41714,| petH | ferredoxin-NADP oxidoreductase (FNR)
53,16011,PMM0258,281.75,68,68,4.22E8,28,28,52,Carbamidomethylation; Oxidation (M),46407,| glyA | serine hydroxymethyltransferase
120,13139,PMM0321,279.23,59,59,5.72E8,20,20,35,Carbamidomethylation,29759,| minD | putative septum site-determining protein MinD
48,13336,PMM0627,279.19,28,28,7.79E8,15,15,55,Oxidation (M),38660,| pcb | light-harvesting complex protein
104,16093,PMM0494,278.67,77,77,3.55E8,17,17,38,Carbamidomethylation,22147,| ppa | putative inorganic pyrophosphatase
38,16010,PMM0506,278.45,68,68,3.22E8,33,33,61,Carbamidomethylation; Oxidation (M),47868,| purA adeK | adenylosuccinate synthetase
37,10236,PMM1484,277.99,52,52,5.33E8,29,29,61,Carbamidomethylation; Oxidation (M),72380,| rpoC1 | DNA-directed RNA polymerase subunit gamma
144,12878,PMM1609,277.26,64,64,4.76E8,17,17,30,Carbamidomethylation,43369,| fabF | 3-oxoacyl-[acyl-carrier-protein] synthase II
65,16110,PMM0804,277.10,68,68,1.61E9,16,16,47,Oxidation (M),21064,| PMM0804 | ferritin
70,13016,PMM0774,276.90,57,57,3.3E8,29,29,45,Carbamidomethylation; Oxidation (M),59461,| ilvD | dihydroxy-acid dehydratase
118,10571,PMM0282,276.41,80,80,3.3E8,18,18,35,Carbamidomethylation; Oxidation (M),27716,| fabI | enoyl-(acyl carrier protein) reductase
129,16022,PMM0037,275.02,48,48,1.17E8,20,20,34,Carbamidomethylation,59598,| guaA | GMP synthase
148,10057,PMM0134,272.92,61,61,2.49E8,18,18,30,Carbamidomethylation; Oxidation (M),27909,| rpaB | two-component response regulator
122,12838,PMM1286,272.90,49,49,1.54E8,22,22,34,Oxidation (M),53887,| ffh | signal recognition particle protein (SRP54)
125,9715,|#CONTAM#TRYP_PIG|,271.88,47,47,1.73E9,13,13,34,Carbamidomethylation; Oxidation (M),24409,sp|#CONTAM#TRYP_PIG|
110,16037,PMM1451,271.75,46,46,3.11E8,20,20,36,Carbamidomethylation; Oxidation (M),54340,| atpA | F0F1 ATP synthase subunit alpha
106,13102,PMM1716,271.64,56,56,3.1E8,18,18,37,Carbamidomethylation,40089,| thrC | threonine synthase
115,16018,PMM1606,271.02,39,39,1.92E8,22,22,35,Carbamidomethylation,69488,| glmS | glucosamine--fructose-6-phosphate aminotransferase
59,10749,PMM1524,270.63,25,25,1.31E9,22,21,48,Carbamidomethylation,84255,| psaA | photosystem I P700 chlorophyll a apoprotein A1
109,10181,PMM1332,269.25,55,55,4.49E8,23,23,36,Carbamidomethylation,54029,| PMM1332 | leucyl aminopeptidase
94,16021,PMM0867,268.51,48,48,2E8,22,22,39,Carbamidomethylation,59115,| metG | methionyl-tRNA synthetase
43,12793,PMM0619,268.32,52,52,3.91E8,36,36,57,Carbamidomethylation; Oxidation (M),74453,| acs | acetyl-coenzyme A synthetase
72,12795,PMM1063,267.15,42,42,1.83E8,32,32,44,Carbamidomethylation,96574,| gyrA | DNA gyrase subunit A
137,10453,PMM0890,266.57,47,47,1.23E8,23,23,31,Carbamidomethylation,59307,| pgi | glucose-6-phosphate isomerase
165,16069,PMM0035,266.42,49,49,2.16E8,15,15,28,Oxidation (M),42405,| DHSS | soluble hydrogenase small subunit
131,10657,PMM1145,265.68,39,39,2.8E8,19,19,32,Oxidation (M),50072,| pntB | putative nicotinamide nucleotide transhydrogenase  subunit beta
132,10070,PMM0075,264.42,48,48,2.52E8,19,19,32,,41429,| PMM0075 | hypothetical protein
163,16048,PMM0590,264.35,46,46,1.33E8,17,17,28,Carbamidomethylation; Oxidation (M),48304,| proA | gamma-glutamyl phosphate reductase
80,10199,PMM1523,264.29,19,19,1.11E9,16,15,42,Carbamidomethylation,82743,| psaB | photosystem I P700 chlorophyll a apoprotein A2
73,12783,PMM1575,263.61,36,36,1.54E8,32,31,44,,114380,| ppc | phosphoenolpyruvate carboxylase
147,12918,PMM1164,262.09,49,49,3.02E8,15,15,30,Carbamidomethylation,38210,| futA | putative iron ABC transporter  substrate binding protein
92,10106,PMM1562,261.50,62,62,3.07E8,21,21,40,Carbamidomethylation; Oxidation (M),40165,| recA | recombinase A
96,10183,PMM0912,260.90,45,45,1.7E8,22,22,39,Carbamidomethylation; Oxidation (M),64877,| pykF | pyruvate kinase
157,12940,PMM1619,260.80,71,71,1.56E8,16,16,29,Carbamidomethylation; Oxidation (M),27422,| PMM1619 | two-component response regulator
111,10740,PMM1688,260.65,44,44,1.67E8,25,25,36,Carbamidomethylation,67994,| aspS | aspartyl-tRNA synthetase
158,9839,PMM0825,260.63,31,31,6E7,23,23,28,Carbamidomethylation,121483,| carB | carbamoyl-phosphate synthase  large subunit
161,16017,PMM0012,260.48,50,50,9.26E7,20,20,28,Carbamidomethylation,52367,| argH | argininosuccinate lyase
237,13110,PMM0128,260.46,55,55,1.09E8,10,10,21,Oxidation (M),28628,| rpaA | two-component response regulator
56,9995,PMM1634,258.68,52,52,2.17E8,33,33,50,Carbamidomethylation; Oxidation (M),73508,| gyrB | DNA gyrase subunit B
168,9969,PMM0090,258.04,56,56,3.36E8,20,20,27,,41839,| PMM0090 | serine protease
35,16079,PMM1158,257.54,37,37,2.02E9,15,15,64,Oxidation (M),50455,| psbC | photosystem II PsbC protein (CP43)
141,16064,PMM0211,256.44,65,65,4.36E8,22,22,31,Carbamidomethylation; Oxidation (M),34398,| trxB | FAD-dependent pyridine nucleotide-disulphide oxidoreductase
63,16027,PMM1055,256.24,59,59,5.36E8,21,21,47,Carbamidomethylation; Oxidation (M),40316,| chlI | protoporphyrin IX magnesium chelatase subunit ChlI
151,10239,PMM0330,256.11,65,65,1.18E8,19,19,30,,29277,| PMM0330 | LysM domain-containing protein
138,10180,PMM0048,255.21,56,56,1.74E8,23,23,31,Carbamidomethylation; Oxidation (M),55203,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B
87,16149,PMM1171,255.18,83,83,6.13E8,13,13,41,Carbamidomethylation; Oxidation (M),18893,| isiB | flavodoxin FldA
139,10098,PMM0613,255.04,58,58,1.31E8,22,22,31,Carbamidomethylation,46888,| aroA | 3-phosphoshikimate 1-carboxyvinyltransferase
136,13288,PMM1301,254.28,59,59,1.03E8,19,18,32,Carbamidomethylation; Oxidation (M),45882,| argD | acetylornithine aminotransferase
202,16082,PMM0785,253.89,52,52,2.9E8,16,16,24,Carbamidomethylation,33698,| prk | phosphoribulokinase
192,13258,PMM1689,253.26,40,40,1.33E8,18,18,25,Carbamidomethylation; Oxidation (M),59829,| pyrG | CTP synthetase
82,16020,PMM0674,252.96,57,57,2.22E8,21,21,42,Carbamidomethylation,43909,| aspC | aminotransferase class-I
130,16139,PMM0395,252.34,90,90,2.81E8,11,11,33,Carbamidomethylation; Oxidation (M),21147,| PMM0395 | hypothetical protein
181,16016,PMM1188,250.24,55,55,7.93E7,21,21,27,Carbamidomethylation,48082,| serS | seryl-tRNA synthetase
135,10138,PMM1246,249.83,42,42,1.75E8,22,22,32,Carbamidomethylation; Oxidation (M),69748,| PMM1246 | carbamoyltransferase
194,10330,PMM1589,249.55,67,67,8.34E7,19,19,25,Carbamidomethylation; Oxidation (M),38869,| purM purG | phosphoribosylaminoimidazole synthetase
178,16040,PMM1165,249.35,67,67,1.83E8,17,17,27,Carbamidomethylation; Oxidation (M),33890,| glyQ | glycyl-tRNA synthetase subunit alpha
64,16045,PMM1535,249.32,68,68,8.93E8,19,19,47,Carbamidomethylation; Oxidation (M),34282,| rpoA | DNA-directed RNA polymerase subunit alpha
116,9744,PMM0889,248.45,36,36,7.39E7,27,27,35,Carbamidomethylation,99147,| leuS | leucyl-tRNA synthetase
101,9718,PMM0580,247.77,42,42,7.47E7,30,26,38,Carbamidomethylation; Oxidation (M),97364,| clpB1 | ATP-dependent Clp protease  Hsp 100  ATP-binding subunit ClpB
