Pressure [dbar],StartTime,scan,Time,timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS,flag,TimeSec
120.751,2019-10-03 13:31:35,6574.0,2019-10-03 13:36:08.861,273.861,-106.88584,16.80988,120.0,13.9143,13.8812,41623.0,4.167853,0.3911,0.0254,99.3663,1e-12,0.0,0.5087,0.5216,0.0901,0.1172,4.6225,0.0,0.0085,0.0,0.5071,0.5205,34.7341,34.816,26.0032,26.0734,1.474,2.014,0.5660000000000001,0.774,False,1.570109768861e+18
120.751,2019-10-04 11:01:39,7858.0,2019-10-04 11:07:06.392,327.392,-106.89438,16.79606,120.0,14.190999999999999,14.1578,41850.0,4.190942,0.1381,0.0149,99.6277,1e-12,0.0,0.5307,0.5472,0.0648,0.1148,4.6346,0.0,0.0084,0.0,0.5199,0.5344,34.6957,34.7808,25.9153,25.9881,2.843,3.477,1.098,1.3430000000000002,False,1.570187226392e+18
120.751,2019-10-04 23:50:04,6352.0,2019-10-04 23:54:28.607,264.607,-106.86888,16.7775,120.0,14.123,14.0904,41807.0,4.186407,0.3725,0.0284,99.2926,0.094796,0.0,0.5091,0.5226,0.0882,0.1153,4.619,0.0,0.3007,0.0,0.5083,0.5209,34.7173,34.7995,25.9464,26.0168,1.648,2.006,0.636,0.774,False,1.570233268607e+18
120.751,2019-10-05 08:39:43,12788.0,2019-10-05 08:48:35.786,532.786,-106.86837,16.777479999999994,120.0,14.2391,14.206,41902.0,4.196199,0.2317,0.0174,99.5661,1e-12,0.0,0.5345,0.5539999999999999,0.0742,0.1174,4.6318,0.0,0.0085,0.0,0.5197,0.5378,34.7004,34.7861,25.9088,25.982,1.808,3.482,0.6990000000000001,1.346,False,1.570265315786e+18
120.751,2019-10-05 14:03:02,5603.0,2019-10-05 14:06:55.401,233.401,-106.84888,16.78394,120.0,14.7316,14.6945,42277.0,4.234595,0.1628,0.0167,99.5841,0.017266,0.0,0.5865,0.6049,0.0673,0.1172,4.6326,0.0,0.0785,0.0,0.5773,0.5942,34.6052,34.7017,25.7299,25.8124,10.541,12.123,4.114,4.731,False,1.570284415401e+18
120.751,2019-10-05 21:38:22,8118.0,2019-10-05 21:44:00.217,338.217,-106.83486,16.78976,120.0,14.3956,14.3623,42047.0,4.210415,0.161,0.0169,99.5789,0.23223,0.0,0.5186,0.5311,0.0671,0.1134,4.6324,0.0,0.5336,0.0,0.5136,0.5268,34.694,34.7769,25.8706,25.9417,2.106,2.6180000000000003,0.8170000000000001,1.015,False,1.570311840217e+18
120.751,2019-10-06 14:14:26,6097.0,2019-10-06 14:18:40.003,254.003,-106.84948,16.78236,120.0,14.1676,14.1344,41847.0,4.190697,0.3057,0.0221,99.4482,0.024848,0.0,0.5147,0.5306,0.0815,0.1148,4.6263,0.0,0.1061,0.0,0.5107,0.5261,34.7138,34.7996,25.9343,26.0076,1.849,2.642,0.7140000000000001,1.02,False,1.570371520003e+18
120.751,2019-10-06 19:38:21,6449.0,2019-10-06 19:42:49.648,268.648,-106.85282,16.7857,120.0,13.6726,13.6626,41409.0,4.148544,0.3509,0.0408,98.9861,0.5311100000000001,0.0,0.5105,0.5263,0.0861,0.1147,4.6048,0.0,0.8128,0.0,0.5082,0.5231,34.7529,34.8339,26.0679,26.1326,1.596,2.252,0.61,0.862,False,1.570390969648e+18
120.751,2019-10-06 22:48:57,7432.0,2019-10-06 22:54:06.622,309.622,-106.85148,16.78584,120.0,14.2892,14.2529,41939.0,4.20014,0.1561,0.0252,99.3728,0.16034,0.0,0.5302,0.5468,0.0666,0.1146,4.6228,0.0,0.4273,0.0,0.5195,0.5362,34.6901,34.7803,25.8903,25.9676,2.018,3.3510000000000004,0.7809999999999999,1.297,False,1.570402446622e+18
120.751,2019-10-07 01:47:02,6397.0,2019-10-07 01:51:28.490,266.49,-106.84626000000002,16.786839999999998,120.0,14.5686,14.5314,42157.0,4.2211870000000005,0.1499,0.023,99.4274,0.0022526,0.0,0.5482,0.5627,0.066,0.1148,4.6254,0.0,0.0186,0.0,0.5449,0.5595,34.6408,34.7244,25.7925,25.865,6.126,7.428,2.384,2.89,False,1.57041308849e+18
120.751,2019-10-07 07:40:03,6480.0,2019-10-07 07:44:32.952,269.952,-106.8475,16.78538,120.0,14.5857,14.5485,42167.0,4.223057,0.1371,0.0186,99.5365,0.0028999000000000004,0.0,0.5654,0.5807,0.0647,0.1148,4.6304,0.0,0.0215,0.0,0.5514,0.5701,34.635,34.7263,25.7844,25.8629,5.175,7.561,2.015,2.943,False,1.570434272952e+18
120.751,2019-10-07 16:50:08,5530.0,2019-10-07 16:53:58.356,230.356,-106.81852,16.76696,120.0,14.2319,14.1975,41883.0,4.194497,0.1295,0.0221,99.4495,0.38938,0.0,0.5454,0.5656,0.0639,0.113,4.6264,0.0,0.7023,0.0,0.5262,0.5445,34.6897,34.7779,25.9021,25.9775,2.65,4.2860000000000005,1.024,1.6569999999999998,False,1.570467238356e+18
120.751,2019-10-07 20:45:29,6394.0,2019-10-07 20:49:55.386,266.386,-106.82172,16.76766,120.0,14.1178,14.0836,41805.0,4.186422,0.2126,0.037000000000000005,99.079,0.38037,0.0,0.5247,0.5419,0.0723,0.1152,4.6091,0.0,0.6942,0.0,0.5138,0.5297,34.7196,34.8058,25.9493,26.0231,1.876,2.857,0.7240000000000001,1.102,False,1.570481395386e+18
120.751,2019-10-08 01:04:04,7298.0,2019-10-08 01:09:08.035,304.035,-106.82418,16.7622,120.0,14.3592,14.3219,41982.0,4.204459,0.125,0.0354,99.1189,0.0056412,0.0,0.5584,0.5754,0.0635,0.1149,4.611000000000001,0.0,0.033,0.0,0.5306,0.5503,34.6672,34.7581,25.8577,25.9358,2.128,4.347,0.825,1.6840000000000002,False,1.570496948035e+18
