Pressure [dbar],StartTime,scan,Time,timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS,flag
1.006,2019-10-06 14:14:26,79.0,2019-10-06 14:14:29.231,3.2310000000000003,-106.84943999999999,16.782339999999998,1.0,29.5287,29.4863,57236.0,5.731635,0.0832,0.0405,98.9932,1065.5,0.0,2.3521,2.3308,0.0593,0.1149,4.6051,0.0,3.9241,0.0,2.353,2.3326,34.5792,34.6641,21.5707,21.6488,193.023,202.468,98.079,102.85600000000001,False
2.012,2019-10-06 14:14:26,153.0,2019-10-06 14:14:32.327,6.327000000000001,-106.84943999999999,16.782339999999998,2.0,29.5261,29.4836,57234.0,5.73136,0.0884,0.039,99.0299,406.07,0.0,2.3535,2.3329,0.0598,0.116,4.6068,0.0,3.6286,0.0,2.3485,2.3316,34.5789,34.664,21.5715,21.6497,192.425,202.408,97.771,102.821,False
3.0180000000000002,2019-10-06 14:14:26,284.0,2019-10-06 14:14:37.776,11.776,-106.84943999999999,16.78235,3.0,29.5248,29.4838,57232.0,5.731329,0.0842,0.0399,99.0082,346.77,0.0,2.3488,2.3307,0.0594,0.1148,4.6058,0.0,3.5498,0.0,2.3452,2.3291,34.5785,34.6633,21.5717,21.6492,192.274,202.081,97.69200000000001,102.655,False
4.024,2019-10-06 14:14:26,383.0,2019-10-06 14:14:41.900,15.9,-106.84943999999999,16.78236,4.0,29.5318,29.4909,57239.0,5.7320519999999995,0.0819,0.0396,99.0141,319.2,0.0,2.3486,2.3264,0.0592,0.1171,4.6061,0.0,3.5071,0.0,2.3418,2.3269,34.5778,34.6628,21.5689,21.6465,191.933,201.93900000000002,97.529,102.594,False
5.03,2019-10-06 14:14:26,502.0,2019-10-06 14:14:46.876,20.875999999999998,-106.84943999999999,16.78236,5.0,29.5334,29.491,57241.0,5.7320910000000005,0.0826,0.0392,99.0238,270.11,0.0,2.3389,2.3295,0.0592,0.115,4.6065,0.0,3.4434,0.0,2.3407,2.332,34.5777,34.6628,21.5684,21.6465,192.28900000000002,202.357,97.712,102.807,False
6.0360000000000005,2019-10-06 14:14:26,543.0,2019-10-06 14:14:48.578,22.578000000000003,-106.84943999999999,16.78236,6.0,29.5359,29.4944,57243.0,5.732483,0.0787,0.0398,99.0109,244.64,0.0,2.3395,2.3302,0.0589,0.1148,4.6059,0.0,3.4001,0.0,2.3462,2.3267,34.5773,34.6627,21.5674,21.6454,192.842,201.829,97.99700000000001,102.544,False
7.042000000000001,2019-10-06 14:14:26,577.0,2019-10-06 14:14:50.012,24.011999999999997,-106.84943999999999,16.78236,7.0,29.5349,29.4924,57243.0,5.732322,0.0807,0.0396,99.0154,218.65,0.0,2.3394,2.3322,0.0591,0.1148,4.6062,0.0,3.3503,0.0,2.3478,2.3279,34.5775,34.6627,21.5679,21.6461,192.861,202.113,98.005,102.685,False
8.048,2019-10-06 14:14:26,703.0,2019-10-06 14:14:55.232,29.232,-106.84943999999999,16.78236,8.0,29.536,29.4941,57244.0,5.732496,0.0805,0.0393,99.0218,192.52,0.0,2.3496,2.3274,0.059,0.1148,4.6064,0.0,3.2951,0.0,2.3479,2.3301,34.5772,34.6624,21.5673,21.6455,192.84799999999998,202.338,98.0,102.802,False
9.054,2019-10-06 14:14:26,743.0,2019-10-06 14:14:56.910,30.91,-106.84945,16.78236,9.0,29.5334,29.4923,57243.0,5.732401,0.0824,0.0397,99.013,215.65,0.0,2.342,2.3293,0.0592,0.1148,4.606,0.0,3.3435,0.0,2.3492,2.3301,34.5778,34.6628,21.5688,21.6464,192.918,202.407,98.03200000000001,102.835,False
10.06,2019-10-06 14:14:26,771.0,2019-10-06 14:14:58.104,32.104,-106.84946000000001,16.78236,10.0,29.5268,29.4863,57237.0,5.731914,0.0805,0.039,99.0284,176.64,0.0,2.3422,2.3303,0.059,0.1148,4.6067,0.0,3.2577,0.0,2.3486,2.3297,34.578,34.6635,21.5713,21.649,192.80200000000002,202.229,97.963,102.735,False
