Pressure [dbar],StartTime,scan,timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS,flag
110.686,2019-10-06 22:48:57,6991.0,291.262,-106.85148000000001,16.78584,110.0,14.893,14.8523,42445.0,4.250765,0.1617,0.0249,99.3781,0.32621999999999995,0.0,0.6062,0.6275,0.0672,0.1148,4.623,0.0,0.6421,0.0,0.5578,0.5849,34.6197,34.7131,25.7057,25.7866,3.176,7.2010000000000005,1.244,2.82,False
111.69200000000001,2019-10-06 22:48:57,7053.0,293.817,-106.85148000000001,16.785829999999997,111.0,14.6288,14.5931,42227.0,4.228969,0.1582,0.0243,99.3938,0.30551,0.0,0.5748,0.6005,0.0668,0.1146,4.6238,0.0,0.6204,0.0,0.5398,0.56,34.6551,34.7444,25.7903,25.8669,4.953,6.392,1.929,2.49,False
112.699,2019-10-06 22:48:57,7117.0,296.48900000000003,-106.85148000000001,16.78582,112.0,14.5698,14.5369,42167.0,4.2228449999999995,0.1495,0.0221,99.4483,0.28733000000000003,0.0,0.5415,0.5638,0.0659,0.1147,4.6264,0.0,0.6005,0.0,0.5384,0.5542,34.6519,34.738,25.8005,25.8741,6.354,7.047999999999999,2.4730000000000003,2.7430000000000003,False
113.705,2019-10-06 22:48:57,7147.0,297.745,-106.85148000000001,16.78582,113.0,14.5383,14.5054,42133.0,4.219444,0.1365,0.0234,99.4159,0.27058000000000004,0.0,0.5388,0.5577,0.0646,0.1148,4.6248,0.0,0.5812,0.0,0.5402,0.5551,34.6486,34.7345,25.8048,25.8782,6.531000000000001,7.33,2.54,2.85,False
114.712,2019-10-06 22:48:57,7171.0,298.753,-106.85148000000001,16.78582,114.0,14.519,14.487,42114.0,4.217546,0.1355,0.024,99.4027,0.24995,0.0,0.5385,0.5555,0.0645,0.1148,4.6242,0.0,0.5562,0.0,0.5412,0.556,34.6476,34.7331,25.8082,25.881,6.3870000000000005,7.336,2.483,2.852,False
115.719,2019-10-06 22:48:57,7195.0,299.769,-106.85148000000001,16.78582,115.0,14.5096,14.4765,42105.0,4.216289,0.1362,0.0242,99.3971,0.23237,0.0,0.5393,0.5554,0.0646,0.1145,4.6239,0.0,0.5338,0.0,0.5407,0.5559,34.6472,34.7306,25.8099,25.8814,5.9239999999999995,7.132000000000001,2.303,2.772,False
116.725,2019-10-06 22:48:57,7251.0,302.068,-106.85148000000001,16.785829999999997,116.0,14.5122,14.4766,42111.0,4.216742,0.1369,0.0235,99.4144,0.21074,0.0,0.5411,0.5563,0.0647,0.1145,4.6248,0.0,0.5043,0.0,0.5394,0.5545,34.6503,34.7343,25.8118,25.8843,5.569,6.766,2.165,2.6289999999999996,False
117.73200000000001,2019-10-06 22:48:57,7338.0,305.707,-106.85148000000001,16.78584,117.0,14.4933,14.4635,42107.0,4.21665,0.1371,0.024,99.4017,0.1958,0.0,0.5408,0.5556,0.0647,0.1145,4.6241,0.0,0.483,0.0,0.531,0.5478,34.6629,34.7447,25.8256,25.8952,3.4930000000000003,5.0760000000000005,1.357,1.972,False
118.738,2019-10-06 22:48:57,7376.0,307.308,-106.85148000000001,16.78584,118.0,14.4247,14.389,42056.0,4.211684,0.1367,0.0241,99.3994,0.18095999999999998,0.0,0.5383,0.5538,0.0647,0.1148,4.624,0.0,0.4606,0.0,0.5267,0.5425,34.6772,34.7654,25.8513,25.9271,3.312,4.58,1.286,1.777,False
119.745,2019-10-06 22:48:57,7406.0,308.538,-106.85148000000001,16.78584,119.0,14.3695,14.336,42006.0,4.206544999999999,0.1371,0.0234,99.417,0.17317000000000002,0.0,0.5341,0.5509,0.0647,0.1147,4.6249,0.0,0.4483,0.0,0.5232,0.5399,34.6805,34.7652,25.8657,25.9382,2.478,4.092,0.961,1.5859999999999999,False
120.751,2019-10-06 22:48:57,7432.0,309.622,-106.85148000000001,16.78584,120.0,14.2892,14.2529,41939.0,4.20014,0.1561,0.0252,99.3728,0.16034,0.0,0.5302,0.5468,0.0666,0.1146,4.6228,0.0,0.4273,0.0,0.5195,0.5362,34.6901,34.7803,25.8903,25.9676,2.0180000000000002,3.3510000000000004,0.7809999999999999,1.297,False
121.758,2019-10-06 22:48:57,7460.0,310.77099999999996,-106.85148000000001,16.78584,121.0,14.2471,14.2136,41911.0,4.197075,0.2167,0.028,99.3033,0.15041,0.0,0.5277,0.5434,0.0727,0.1148,4.6196,0.0,0.4103,0.0,0.5166,0.5324,34.7014,34.7869,25.9079,25.981,2.059,3.063,0.7959999999999999,1.1840000000000002,False
122.764,2019-10-06 22:48:57,7496.0,312.306,-106.85148000000001,16.78584,122.0,14.2029,14.1693,41870.0,4.193003,0.1963,0.0246,99.3855,0.14228,0.0,0.5231,0.5397,0.0706,0.1148,4.6234,0.0,0.3959,0.0,0.5146,0.5298,34.7024,34.7887,25.9181,25.9919,2.0340000000000003,2.9610000000000003,0.7859999999999999,1.1440000000000001,False
123.771,2019-10-06 22:48:57,7557.0,314.825,-106.85148000000001,16.78584,123.0,14.164,14.1314,41839.0,4.189678,0.178,0.0244,99.3906,0.13283,0.0,0.5167,0.5322,0.0688,0.1145,4.6236,0.0,0.3786,0.0,0.5114,0.5261,34.7084,34.7916,25.931,26.0021,1.6269999999999998,2.44,0.628,0.9420000000000001,False
124.777,2019-10-06 22:48:57,7614.0,317.189,-106.85148000000001,16.78584,124.0,14.1508,14.1176,41840.0,4.189836,0.2591,0.0319,99.2045,0.12742,0.0,0.5137,0.5287,0.0769,0.1148,4.615,0.0,0.3683,0.0,0.5095,0.5237,34.7214,34.8051,25.9438,26.0155,1.6219999999999999,2.291,0.626,0.884,False
125.78399999999999,2019-10-06 22:48:57,7662.0,319.203,-106.85148000000001,16.78584,125.0,14.1219,14.0895,41816.0,4.187346,0.3835,0.0372,99.0723,0.1197,0.0,0.5113,0.5258,0.0893,0.1147,4.6089,0.0,0.3533,0.0,0.5084,0.5225,34.7239,34.807,25.9519,26.0229,1.505,2.161,0.581,0.8340000000000001,False
126.791,2019-10-06 22:48:57,7701.0,320.843,-106.85148000000001,16.78584,126.0,14.11,14.077,41806.0,4.186385,0.383,0.0378,99.0591,0.11450999999999999,0.0,0.5104,0.5244,0.0893,0.1149,4.6082,0.0,0.3428,0.0,0.5083,0.5221,34.7258,34.8089,25.9559,26.0271,1.6469999999999998,2.136,0.635,0.8240000000000001,False
127.79700000000001,2019-10-06 22:48:57,7736.0,322.312,-106.85148000000001,16.78584,127.0,14.0853,14.0527,41784.0,4.184267,0.4031,0.0384,99.0432,0.10668,0.0,0.5095,0.5235,0.0913,0.1148,4.6075,0.0,0.3266,0.0,0.5082,0.5215,34.7268,34.8108,25.9619,26.0336,1.57,2.09,0.605,0.8059999999999999,False
128.804,2019-10-06 22:48:57,7770.0,323.721,-106.85148000000001,16.78584,128.0,14.0615,14.0298,41763.0,4.1822,0.4027,0.0381,99.0514,0.09503400000000001,0.0,0.5092,0.5232,0.0913,0.1148,4.6079,0.0,0.3012,0.0,0.5081,0.5212,34.7285,34.8119,25.9683,26.0393,1.61,2.017,0.62,0.777,False
129.81,2019-10-06 22:48:57,7807.0,325.23400000000004,-106.85148000000001,16.78584,129.0,14.0365,14.0044,41741.0,4.179963,0.3825,0.0381,99.0504,0.091698,0.0,0.5092,0.5225,0.0892,0.1148,4.6078,0.0,0.2936,0.0,0.5076,0.5208,34.7297,34.8135,25.9744,26.046,1.357,1.996,0.523,0.769,False
130.817,2019-10-06 22:48:57,7848.0,326.96299999999997,-106.85148000000001,16.78584,130.0,13.9986,13.9659,41706.0,4.176513,0.3796,0.0386,99.0391,0.083341,0.0,0.509,0.5221,0.0889,0.1148,4.6073,0.0,0.2742,0.0,0.5071,0.5205,34.7313,34.8158,25.9837,26.0559,1.4240000000000002,2.0,0.5479999999999999,0.77,False
131.82399999999998,2019-10-06 22:48:57,7892.0,328.80800000000005,-106.85148000000001,16.78584,131.0,13.9688,13.9362,41680.0,4.1739180000000005,0.3802,0.0385,99.0406,0.07624299999999999,0.0,0.5084,0.5217,0.089,0.1149,4.6074,0.0,0.257,0.0,0.507,0.5204,34.734,34.8182,25.992,26.064,1.486,1.96,0.5720000000000001,0.754,False
132.83,2019-10-06 22:48:57,7940.0,330.782,-106.85148000000001,16.78584,132.0,13.909,13.8771,41628.0,4.1689,0.3813,0.0378,99.0583,0.06788999999999999,0.0,0.508,0.5214,0.0891,0.1149,4.6082,0.0,0.2357,0.0,0.5071,0.5204,34.7384,34.8245,26.008,26.0812,1.479,1.976,0.568,0.759,False
133.83700000000002,2019-10-06 22:48:57,7985.0,332.68199999999996,-106.85148000000001,16.78584,133.0,13.7298,13.6961,41466.0,4.153055,0.3601,0.0372,99.0746,0.06439500000000001,0.0,0.508,0.5213,0.087,0.1148,4.609,0.0,0.2266,0.0,0.507,0.5201,34.7491,34.8402,26.0535,26.131,1.464,1.8880000000000001,0.56,0.723,False
134.844,2019-10-06 22:48:57,8027.0,334.397,-106.85148000000001,16.78584,134.0,13.6942,13.662,41433.0,4.149121,0.3197,0.0378,99.0576,0.058188,0.0,0.508,0.5213,0.0829,0.1148,4.6082,0.0,0.2097,0.0,0.507,0.5196,34.7499,34.8339,26.0616,26.1332,1.4769999999999999,1.8359999999999999,0.565,0.7020000000000001,False
135.85,2019-10-06 22:48:57,8066.0,336.06199999999995,-106.85148000000001,16.78584,135.0,13.6846,13.6524,41424.0,4.148257,0.3075,0.0372,99.0751,0.056665,0.0,0.5079,0.5209,0.0817,0.1148,4.609,0.0,0.2055,0.0,0.507,0.5193,34.7504,34.8341,26.0639,26.1354,1.4780000000000002,1.7919999999999998,0.565,0.685,False
136.857,2019-10-06 22:48:57,8107.0,337.73900000000003,-106.85148000000001,16.78584,136.0,13.6573,13.6252,41401.0,4.1459150000000005,0.2906,0.0371,99.0765,0.053711,0.0,0.5079,0.5205,0.0801,0.1148,4.609,0.0,0.1971,0.0,0.507,0.5192,34.7524,34.8365,26.0712,26.1429,1.479,1.831,0.565,0.7,False
137.863,2019-10-06 22:48:57,8152.0,339.62300000000005,-106.85148000000001,16.78584,137.0,13.6345,13.6023,41380.0,4.143816999999999,0.2835,0.038,99.0535,0.044292000000000005,0.0,0.5079,0.5202,0.0794,0.1148,4.608,0.0,0.1694,0.0,0.507,0.5193,34.7537,34.8372,26.0769,26.1482,1.48,1.82,0.565,0.695,False
138.87,2019-10-06 22:48:57,8190.0,341.207,-106.85148000000001,16.78584,138.0,13.6049,13.5725,41354.0,4.141217,0.281,0.038,99.0542,0.040774,0.0,0.5079,0.52,0.0791,0.1148,4.608,0.0,0.1587,0.0,0.507,0.5191,34.7557,34.8395,26.0846,26.1561,1.4280000000000002,1.807,0.546,0.69,False
139.877,2019-10-06 22:48:57,8222.0,342.535,-106.85148000000001,16.78584,139.0,13.5731,13.5405,41325.0,4.138362,0.2641,0.0379,99.0566,0.034006,0.0,0.5079,0.5201,0.0774,0.1148,4.6081,0.0,0.1369,0.0,0.5027,0.5192,34.7567,34.8414,26.092,26.1642,-1.849,1.858,-0.706,0.7090000000000001,False
140.88299999999998,2019-10-06 22:48:57,8258.0,344.041,-106.85148000000001,16.78584,140.0,13.4953,13.4621,41255.0,4.131839,0.2516,0.0381,99.0504,0.031874,0.0,0.5079,0.52,0.0762,0.1148,4.6078,0.0,0.1301,0.0,0.4996,0.5192,34.7616,34.8511,26.1117,26.1878,1.52,1.8130000000000002,0.579,0.691,False
141.89,2019-10-06 22:48:57,8313.0,346.325,-106.85146999999999,16.78584,141.0,13.3622,13.3294,41133.0,4.119286,0.2278,0.04,99.006,0.031020999999999996,0.0,0.5022,0.52,0.0738,0.1148,4.6057,0.0,0.1272,0.0,0.5047,0.5191,34.7665,34.8535,26.1428,26.2168,1.5430000000000001,1.8019999999999998,0.586,0.685,False
142.89700000000002,2019-10-06 22:48:57,8365.0,348.48800000000006,-106.85146,16.78584,142.0,13.2907,13.2587,41067.0,4.112521,0.1905,0.0403,98.999,0.032144,0.0,0.5037,0.5199,0.0701,0.1149,4.6054,0.0,0.1308,0.0,0.5058,0.5187,34.7692,34.8538,26.1593,26.2314,1.3780000000000001,1.6580000000000001,0.523,0.629,False
143.903,2019-10-06 22:48:57,8402.0,350.023,-106.85146999999999,16.78584,143.0,13.2743,13.2424,41052.0,4.110956,0.1775,0.0406,98.9906,0.028942000000000002,0.0,0.5058,0.5199,0.0688,0.1148,4.605,0.0,0.1202,0.0,0.5058,0.5182,34.7698,34.8535,26.1632,26.2345,1.2919999999999998,1.6740000000000002,0.49,0.635,False
144.91,2019-10-06 22:48:57,8435.0,351.436,-106.85148000000001,16.78584,144.0,13.2637,13.2322,41043.0,4.110036,0.1684,0.0408,98.9855,0.021814,0.0,0.5066,0.5196,0.0679,0.1148,4.6048,0.0,0.095,0.0,0.5057,0.5184,34.7704,34.8537,26.1659,26.2368,1.319,1.736,0.5,0.6579999999999999,False
145.917,2019-10-06 22:48:57,8470.0,352.892,-106.85148000000001,16.785829999999997,145.0,13.2583,13.2267,41038.0,4.109543,0.1679,0.0411,98.9769,0.021244,0.0,0.5067,0.5192,0.0678,0.1148,4.6044,0.0,0.0932,0.0,0.5058,0.5182,34.7708,34.8536,26.1672,26.2378,1.2990000000000002,1.639,0.493,0.622,False
146.923,2019-10-06 22:48:57,8509.0,354.50800000000004,-106.85148000000001,16.78582,146.0,13.2516,13.2199,41033.0,4.1089459999999995,0.1689,0.0411,98.977,0.016197,0.0,0.5066,0.5192,0.0679,0.1148,4.6044,0.0,0.0744,0.0,0.5057,0.5181,34.7712,34.8538,26.169,26.2394,1.315,1.663,0.499,0.63,False
