Pressure [dbar],StartTime,scan,timeS,longitude,latitude,depSMignore,t090C,t190C,c0uS/cm,c1S/m,flECO-AFL,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sbeox1V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mm/L,sbeox1Mm/L,sbeox0PS,sbeox1PS,flag
39.236,2019-10-08 13:20:29,2678.0,111.54299999999999,-106.80218,16.74924,39.0,28.2833,28.2272,55992.0,5.609057,0.1609,0.0664,98.3527,7.3384,0.0,2.3859,2.3612,0.0671,0.1148,4.5753,0.0,1.885,0.0,2.4344,2.3946,34.6148,34.7245,22.015,22.1158,209.261,216.342,104.223,107.714,False
40.242,2019-10-08 13:20:29,2755.0,114.74600000000001,-106.80218,16.74924,40.0,27.5077,27.46,55174.0,5.527235,0.1902,0.0741,98.1646,7.048,0.0,2.4291,2.386,0.07,0.1146,4.5666,0.0,1.8678,0.0,2.4705,2.4416,34.6116,34.7164,22.2656,22.3599,214.829,224.26,105.65,110.26799999999999,False
41.248999999999995,2019-10-08 13:20:29,2786.0,116.056,-106.80218,16.74924,41.0,27.1262,27.079,54764.0,5.486837,0.1978,0.0745,98.1542,6.7761,0.0,2.448,2.4111,0.0708,0.1148,4.5661,0.0,1.8509,0.0,2.4766,2.4528,34.6033,34.7127,22.3817,22.4792,217.331,226.48,106.2,110.65299999999999,False
42.255,2019-10-08 13:20:29,2817.0,117.325,-106.80218,16.74924,42.0,26.9943,26.9501,54624.0,5.471799,0.1878,0.0762,98.1143,6.4391,0.0,2.4627,2.4293,0.0698,0.1148,4.5643,0.0,1.829,0.0,2.4877,2.4613,34.6011,34.7015,22.4223,22.5119,218.709,227.929,106.639,111.116,False
43.261,2019-10-08 13:20:29,2916.0,121.461,-106.80218,16.74924,43.0,26.9552,26.9245,54588.0,5.467784,0.235,0.0791,98.0436,6.1201,0.0,2.4884,2.4639,0.0745,0.1148,4.561,0.0,1.8075,0.0,2.4789,2.4558,34.6049,34.6917,22.4376,22.5127,215.442,225.60299999999998,104.98,109.929,False
44.266999999999996,2019-10-08 13:20:29,2972.0,123.78299999999999,-106.80218,16.74924,44.0,26.56,26.5053,54181.0,5.430219,0.233,0.0799,98.0218,5.7798,0.0,2.4878,2.463,0.0743,0.1148,4.56,0.0,1.7829,0.0,2.4597,2.4288,34.6078,34.7364,22.5651,22.6791,215.567,224.372,104.355,108.596,False
45.273,2019-10-08 13:20:29,3000.0,124.95200000000001,-106.80218,16.74924,45.0,25.617,25.5488,53183.0,5.332013,0.2304,0.0866,97.8588,5.4711,0.0,2.4767,2.4574,0.074,0.1148,4.5524,0.0,1.7595,0.0,2.4525,2.4245,34.5951,34.7472,22.8493,22.9851,218.68599999999998,228.31599999999997,104.19200000000001,108.749,False
46.28,2019-10-08 13:20:29,3037.0,126.5,-106.80218,16.74924,46.0,25.0107,24.9619,52528.0,5.263801,0.2773,0.0855,97.8863,5.1735,0.0,2.4627,2.4365,0.0787,0.1148,4.5536,0.0,1.7356,0.0,2.4542,2.4312,34.5744,34.6933,23.0192,23.1239,222.602,232.38299999999998,104.961,109.556,False
47.286,2019-10-08 13:20:29,3116.0,129.779,-106.80218,16.74924,47.0,24.6792,24.6573,52154.0,5.226334,0.3205,0.0825,97.9573,4.8457,0.0,2.4534,2.4292,0.083,0.1148,4.557,0.0,1.7078,0.0,2.4574,2.4466,34.5506,34.6491,23.1016,23.1827,223.555,234.804,104.804,110.1,False
48.292,2019-10-08 13:20:29,3177.0,132.33,-106.80218,16.74924,48.0,24.3826,24.3359,51817.0,5.19123,0.3178,0.085,97.8991,4.5443,0.0,2.4582,2.4454,0.0828,0.1148,4.5542,0.0,1.6805,0.0,2.4532,2.439,34.5273,34.6344,23.173,23.2679,224.1,234.53400000000002,104.51299999999999,109.359,False
