,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,25,2019-10-03 13:31:35,744916.563599537,4.4364,1279.5396999999998,2828.7250000000004
1,[25],2019-10-03 13:31:35,744916.563599537,4.4364,1279.5396999999998,2828.7250000000004
2,[28],2019-10-04 11:01:39,744918.4594791667,4.1781999999999995,1375.1804000000002,3074.425
3,[29],2019-10-04 23:50:04,744918.9931018519,4.4235,1172.4138000000003,2621.004
4,[30],2019-10-05 08:39:43,744920.3609143519,4.9495000000000005,1570.6556,3497.1059999999998
5,[31],2019-10-05 14:03:02,744920.5854398148,6.035299999999999,1867.5778999999998,4127.896
6,[32],2019-10-05 21:38:22,744920.9016435185,4.100700000000001,1467.1161000000002,3278.642
7,[33],2019-10-06 14:14:26,744922.5933564815,3.4269000000000003,1277.9139,2817.3869999999997
8,[34],2019-10-06 19:38:21,744922.8182986111,1.9979,879.6099999999999,1945.229
9,[35],2019-10-06 22:48:57,744922.9506597222,3.8921,1366.4841,3034.7050000000004
10,[36],2019-10-07 01:47:02,744924.0743287037,4.227200000000001,1366.7175,3070.006
11,[37],2019-10-07 07:40:03,744924.3194791666,2.0193,882.7343999999999,1967.009
12,[38],2019-10-07 16:50:08,744924.7014814814,2.7379000000000002,1078.2688,2426.6220000000003
13,[39],2019-10-07 20:45:29,744924.8649189814,4.216799999999999,1658.1952,3765.645
14,[40],2019-10-08 01:04:04,744926.0444907408,3.2897,1070.1795,2445.58
15,[42],2019-10-08 07:04:45,744926.2949652778,2.9873000000000003,1173.662,2634.897
16,[43],2019-10-08 13:20:29,744926.5558912037,2.3507,980.4527,2180.0820000000003
17,[44],2019-10-08 15:59:43,744926.6664699074,3.3724000000000003,1371.9504,3059.9730000000004
18,[45],2019-10-08 18:55:51,744926.7887847222,1.8176999999999999,782.5113,1779.9009999999998
19,[46],2019-10-08 22:10:38,744926.9240509259,2.2252,880.2536,1985.226
20,[47],2019-10-09 01:10:36,744928.0490277777,3.9096,1467.7521000000002,3300.8689999999997
21,[48],2019-10-09 07:47:50,744928.3248842593,3.6037000000000003,1372.725,3096.0589999999997
22,[49],2019-10-09 11:32:27,744928.4808680556,2.8391,1177.8184999999999,2636.4240000000004
23,[50],2019-10-09 14:15:42,744928.5942361112,3.9346,1472.2893000000001,3322.799
24,[51],2019-10-09 19:13:01,744928.8007060185,3.218,1174.5655,2650.5060000000003
25,[52],2019-10-11 00:09:58,744932.0069212962,6.6882,1662.2503,3809.292
26,[53],2019-10-11 04:49:54,744932.2013194445,4.035899999999999,1173.468,2677.337
27,[54],2019-10-11 12:24:17,744932.516863426,3.3330999999999995,1077.6744,2451.654
28,[55],2019-10-11 19:08:20,744932.7974537037,3.3379000000000003,1366.1670000000001,3102.1140000000005
29,[56],2019-10-11 23:05:27,744932.9621180556,3.0772,1071.2458000000001,2441.642
30,[57],2019-10-12 02:30:37,744934.1045949074,3.3351,1170.3635000000002,2641.6189999999997
31,[58],2019-10-12 10:31:29,744934.4385300926,5.444100000000001,2148.1081999999997,4875.87
32,[59],2019-10-12 13:13:32,744934.5510648148,5.5899,2053.5796,4622.223999999999
33,[60],2019-10-12 19:49:39,744934.8261458334,3.2786999999999997,1461.8122999999998,3319.914
34,[61],2019-10-13 05:08:47,744936.2144328704,2.8427,1268.3547,2881.893
