,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,59,2018-04-21 15:39:15,743856.6522569444,43.56976900000001,722.4413999999999,218.65699999999998
1,[59],2018-04-21 15:39:15,743856.6522569444,43.56976900000001,722.4413999999999,218.65699999999998
2,[60],2018-04-22 10:12:45,743858.4255208333,49.582895,494.22339999999997,152.554
3,[61],2018-04-22 14:04:25,743858.586400463,56.585747000000005,648.3669,246.46599999999995
4,[62],2018-04-22 22:00:31,743858.917025463,51.930882,662.4409,243.89
5,[63],2018-04-23 14:00:59,743860.5840162036,51.863331,662.4267,214.067
6,[64],2018-04-24 14:03:01,743862.5854282407,30.980209000000002,631.2198999999999,392.11400000000003
7,[65],2018-04-24 21:04:47,743862.8783217593,41.555736,675.7710000000002,222.70099999999996
8,[66],2018-04-25 15:02:53,743864.6270023148,47.18198799999999,680.5393,239.47299999999996
9,[67],2018-04-26 00:07:04,743866.0049074074,50.791788,516.5119,184.123
10,[68],2018-04-26 06:06:44,743866.254675926,41.690963,666.8783999999999,232.44899999999998
11,[69],2018-04-26 12:04:27,743866.5030902778,44.024456,730.3894,230.957
12,[70],2018-04-26 18:56:09,743866.7889930556,46.447522,707.7860000000001,199.52799999999996
13,[71],2018-04-27 00:01:50,743868.0012731481,57.458093,706.8835999999999,207.39399999999998
14,[72],2018-04-27 09:44:07,743868.405636574,55.444939000000005,716.5942000000001,239.933
