Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag
24.149,2018-04-22 14:04:25,102.255,2455.0,-106.04,20.19066,24.0,22.9201,22.9199,5.036401000000001,5.036633,1.911,12.613,4.2713,5.4421,0.0,4.2713,0.637,2.3529,0.0,4.5281,0.0,2.0321,0.0,2.3528,34.5704,34.5723,23.6321,23.6336,5.621,171.604,79.889,False
25.155,2018-04-22 14:04:25,103.885,2494.0,-106.04002,20.19066,25.0,22.8058,22.8067,5.024928,5.023943,1.5762,12.6019,4.2832,4.597,0.0,4.2832,0.5254,2.3057,0.0,4.5287,0.0,1.9586,0.0,2.3056,34.5716,34.5632,23.6659,23.6593,5.512,168.27,78.183,False
26.162,2018-04-22 14:04:25,105.601,2535.0,-106.04002,20.19066,26.0,22.7271,22.7269,5.017094999999999,5.0171470000000005,1.5681,12.5855,4.3008,3.8531,0.0,4.3008,0.5227,2.281,0.0,4.529,0.0,1.8817,0.0,2.281,34.5729,34.5734,23.6894,23.6898,5.4805,167.30599999999998,77.63,False
27.168000000000003,2018-04-22 14:04:25,107.939,2592.0,-106.04002,20.19066,27.0,22.6119,22.6121,5.005226,5.005689,1.3974,12.5935,4.2922,3.2546,0.0,4.2922,0.4658,2.2317,0.0,3.3925,0.0,1.8088,0.0,2.2316,34.5716,34.5751,23.7213,23.7238,5.2809,161.208,74.65100000000001,False
28.174,2018-04-22 14:04:25,110.39200000000001,2650.0,-106.04002,20.19066,28.0,22.3466,22.3371,4.978166000000001,4.977798,1.3594,12.5779,4.3089,2.7269,0.0,4.3089,0.4531,2.1447,0.0,4.5354,0.0,1.732,0.0,2.1446,34.5712,34.5759,23.7962,23.8024,4.944,150.91,69.564,False
29.180999999999997,2018-04-22 14:04:25,112.51700000000001,2701.0,-106.04002,20.19066,29.0,21.7682,21.7432,4.918309,4.916588,1.0491,12.5541,4.3346,2.3251,0.0,4.3346,0.3497,1.921,0.0,4.5299,0.0,1.663,0.0,1.9209,34.5626,34.5691,23.9514,23.9632,3.7729,115.146,52.567,False
30.186999999999998,2018-04-22 14:04:25,114.12700000000001,2740.0,-106.04002,20.19066,30.0,19.867,19.7949,4.719101,4.713234,0.97067,12.495,4.3992,2.0069,0.0,4.3992,0.3236,1.5499,0.0,4.5325,0.0,1.599,0.0,1.5497,34.5028,34.514,24.4179,24.4455,2.72,82.977,36.586999999999996,False
31.193,2018-04-22 14:04:25,115.91799999999999,2783.0,-106.04002,20.19066,31.0,19.354,19.3456,4.667948,4.667289,0.8372799999999999,12.4679,4.4291,1.7412,0.0,4.4291,0.2791,1.371,0.0,4.5356,0.0,1.5373,0.0,1.3708,34.5045,34.506,24.5533,24.5566,2.5658,78.26,34.186,False
32.2,2018-04-22 14:04:25,118.208,2838.0,-106.04002,20.19066,32.0,18.7118,18.6909,4.601088,4.600395,1.5417,12.4373,4.4631,1.5341,0.0,4.4631,0.5139,1.1983,0.0,4.4678,0.0,1.4825,0.0,1.198,34.4807,34.4923,24.6986,24.7127,1.9821,60.45,26.093000000000004,False
33.205999999999996,2018-04-22 14:04:25,120.037,2882.0,-106.04002,20.19066,33.0,18.216,18.1993,4.553292,4.552213,0.64189,12.4203,4.4822,1.3172,0.0,4.4822,0.214,1.0318,0.0,4.4679,0.0,1.4161,0.0,1.0315,34.4927,34.4976,24.8316,24.8394,1.3601,41.474,17.742,False
34.211999999999996,2018-04-22 14:04:25,122.21700000000001,2934.0,-106.04002,20.19066,34.0,17.8566,17.8563,4.520521,4.52086,0.56572,12.415,4.488,1.1514,0.0,4.488,0.1886,0.8839,0.0,4.537,0.0,1.3576,0.0,0.8835,34.5167,34.5198,24.9384,24.9409,1.0811,32.961999999999996,14.008,False
