Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag
95.59,2018-04-17 15:03:16,272.253,6535.0,-107.0627,16.97816,95.0,14.685,14.6844,4.235601,4.23538,0.255,12.3398,4.5732,0.37198000000000003,0.0,4.5732,0.085,0.5164,0.0,4.5542,0.0,0.8676,0.0,0.5155,34.7296,34.7281,25.8352,25.8341,0.0603,1.838,0.736,False
96.596,2018-04-17 15:03:16,273.427,6563.0,-107.0627,16.97816,96.0,14.676,14.676,4.2346260000000004,4.23447,0.25495,12.3403,4.5726,0.34491,0.0,4.5726,0.085,0.5161,0.0,4.5049,0.0,0.8348,0.0,0.5152,34.7283,34.7269,25.8361,25.835,0.0599,1.824,0.73,False
97.603,2018-04-17 15:03:16,274.907,6599.0,-107.0627,16.97816,97.0,14.6701,14.6697,4.234094,4.2339199999999995,0.26928,12.3399,4.573,0.31819000000000003,0.0,4.573,0.0898,0.5156,0.0,4.5042,0.0,0.7997,0.0,0.5147,34.7283,34.727,25.8374,25.8365,0.0588,1.7919999999999998,0.7170000000000001,False
98.609,2018-04-17 15:03:16,281.096,6747.0,-107.0627,16.97816,98.0,14.7169,14.714,4.2388580000000005,4.238482,0.29914,12.3399,4.5731,0.28071,0.0,4.5731,0.0997,0.5152,0.0,4.5072,0.0,0.7466,0.0,0.5143,34.7297,34.7289,25.8284,25.8285,0.0585,1.781,0.7140000000000001,False
99.615,2018-04-17 15:03:16,283.029,6794.0,-107.0627,16.97816,99.0,14.6524,14.6518,4.2328589999999995,4.232711,0.24026999999999998,12.3395,4.5735,0.27560999999999997,0.0,4.5735,0.0801,0.5153,0.0,4.5209,0.0,0.7376,0.0,0.5144,34.732,34.7311,25.8441,25.8436,0.0581,1.771,0.708,False
100.62200000000001,2018-04-17 15:03:16,283.832,6813.0,-107.0627,16.97816,100.0,14.636,14.6358,4.231505,4.231330000000001,0.24303000000000002,12.3404,4.5725,0.26143,0.0,4.5725,0.081,0.5152,0.0,4.5067,0.0,0.7147,0.0,0.5143,34.7338,34.7324,25.8491,25.848,0.0536,1.6340000000000001,0.654,False
101.62899999999999,2018-04-17 15:03:16,284.592,6831.0,-107.0627,16.97816,101.0,14.508,14.5009,4.220338,4.219505000000001,0.34259,12.3504,4.5611,0.24836999999999998,0.0,4.5611,0.1142,0.5141,0.0,4.5068,0.0,0.6924,0.0,0.5133,34.7453,34.744,25.8856,25.8861,0.0477,1.452,0.58,False
102.635,2018-04-17 15:03:16,285.425,6851.0,-107.0627,16.97816,102.0,14.3819,14.38,4.209428,4.209066,0.47542,12.3584,4.552,0.23238000000000003,0.0,4.552,0.1585,0.5131,0.0,4.5071,0.0,0.6635,0.0,0.5123,34.7575,34.7559,25.922,25.9212,0.0456,1.3880000000000001,0.552,False
103.64200000000001,2018-04-17 15:03:16,295.019,7081.0,-107.06273,16.97816,103.0,14.3534,14.3572,4.206968,4.207338,0.58009,12.3607,4.5494,0.21758000000000002,0.0,4.5494,0.1934,0.5112,0.0,4.5112,0.0,0.6352,0.0,0.5104,34.76,34.76,25.93,25.9292,0.0427,1.2990000000000002,0.517,False
104.648,2018-04-17 15:03:16,307.545,7382.0,-107.06273999999999,16.97816,104.0,14.2693,14.2693,4.199231,4.199175,0.6247699999999999,12.3663,4.543,0.19873,0.0,4.543,0.2083,0.5105,0.0,4.5164,0.0,0.5956,0.0,0.5097,34.7637,34.7632,25.9508,25.9504,0.0419,1.275,0.506,False
