Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag
1.006,2018-04-19 06:07:15,-9.877,-236.0,-106.98,17.02068,1.0,27.0556,27.0616,5.417075,5.418111,0.11994,12.3671,4.5421,0.6146199999999999,0.0,4.5421,0.04,2.7405,0.0,4.5889,0.0,1.131,0.0,2.7405,34.2456,34.2486,22.132,22.1323,6.4366,196.792,97.98,False
2.012,2018-04-19 06:07:15,11.114,268.0,-106.98,17.02068,2.0,27.063,27.0618,5.418558999999999,5.418861,0.11612,12.3739,4.5344,0.3457,0.0,4.5344,0.0387,2.7446,0.0,4.5287,0.0,0.822,0.0,2.7446,34.2504,34.2534,22.1333,22.136,6.4467,197.09900000000002,98.148,False
3.0180000000000002,2018-04-19 06:07:15,16.596,399.0,-106.97998,17.02068,3.0,27.0637,27.0647,5.41878,5.419288,0.11546,12.3709,4.5378,0.20589000000000002,0.0,4.5378,0.0385,2.7445,0.0,4.5495,0.0,0.5762,0.0,2.7445,34.2511,34.2541,22.1337,22.1356,6.4514,197.243,98.221,False
4.024,2018-04-19 06:07:15,19.77,475.0,-106.97998,17.02068,4.0,27.0659,27.0664,5.419164,5.4196029999999995,0.11400999999999999,12.3685,4.5406,0.13177,0.0,4.5406,0.038,2.7436,0.0,4.5496,0.0,0.391,0.0,2.7436,34.252,34.2547,22.1337,22.1356,6.4446,197.03599999999997,98.12200000000001,False
5.03,2018-04-19 06:07:15,23.765,571.0,-106.97998,17.02068,5.0,27.063,27.0641,5.418972,5.419517,0.11289,12.3694,4.5396,0.10402,0.0,4.5396,0.0376,2.7456,0.0,4.5474,0.0,0.2924,0.0,2.7456,34.2524,34.2555,22.1351,22.137,6.4588,197.47099999999998,98.334,False
6.0360000000000005,2018-04-19 06:07:15,26.849,645.0,-106.97998,17.02066,6.0,27.0607,27.0619,5.418766000000001,5.419258,0.119,12.3676,4.5416,0.099704,0.0,4.5416,0.0397,2.7444,0.0,4.5463,0.0,0.2698,0.0,2.7444,34.2524,34.255,22.1359,22.1374,6.4484,197.15099999999998,98.171,False
7.042000000000001,2018-04-19 06:07:15,29.605,712.0,-106.97998,17.02066,7.0,27.064,27.0647,5.419256,5.419725,0.11890999999999999,12.3677,4.5414,0.07701799999999999,0.0,4.5414,0.0396,2.7433,0.0,4.545,0.0,0.1623,0.0,2.7433,34.2531,34.256,22.1354,22.1373,6.4464,197.08900000000003,98.146,False
8.048,2018-04-19 06:07:15,33.719,810.0,-106.97998,17.02066,8.0,27.0641,27.0649,5.419319000000001,5.419762,0.11962,12.367,4.5423,0.057163,0.0,4.5423,0.0399,2.7437,0.0,4.5435,0.0,0.0498,0.0,2.7437,34.2532,34.2558,22.1355,22.1372,6.4473,197.11599999999999,98.16,False
9.054,2018-04-19 06:07:15,36.604,879.0,-106.97996,17.02066,9.0,27.065,27.0651,5.419512999999999,5.419905,0.12493,12.3675,4.5416,0.052722000000000005,0.0,4.5416,0.0416,2.7436,0.0,4.5424,0.0,0.0207,0.0,2.7436,34.2536,34.2563,22.1356,22.1376,6.4553,197.361,98.28299999999999,False
10.06,2018-04-19 06:07:15,39.689,954.0,-106.97996,17.02065,10.0,27.0653,27.0657,5.419763,5.420179,0.12669,12.3678,4.5413,0.051221,0.0,4.5413,0.0422,2.7409,0.0,4.5415,0.0,0.0093,0.0,2.7409,34.2549,34.2576,22.1365,22.1385,6.4385,196.847,98.029,False
