Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag,Time
1.006,2018-04-15 05:12:33,62.166000000000004,1493.0,-106.98053999999999,17.01268,1.0,27.1182,27.1177,5.3776459999999995,9.081419,0.11767000000000001,18.3581,2.8251,0.27326999999999996,0.0,2.8251,0.0392,2.5049,0.0,1.693,0.0,0.523,0.0,2.5049,33.9202,108.4164,21.8672,96.4421,6.1399,187.77200000000002,93.369,False,2018-04-15 05:13:35.166
2.012,2018-04-15 05:12:33,68.908,1655.0,-106.98053999999999,17.01267,2.0,27.096,27.0939,5.42991,5.11182,0.12763,11.539,4.7475,0.018563999999999997,0.0,4.7475,0.0425,2.7314,0.0,3.5708,0.0,-0.0693,0.0,2.7314,34.3067,25.086,22.1652,12.5503,6.4195,196.26,97.82,False,2018-04-15 05:13:41.908
3.0180000000000002,2018-04-15 05:12:33,77.145,1852.0,-106.98053999999999,17.01266,3.0,27.1491,27.1465,5.42595,5.469912,0.11954000000000001,12.3686,4.5403,0.054091,0.0,4.5403,0.0399,2.754,0.0,4.7023,0.0,0.0292,0.0,2.754,34.2393,34.553,22.0975,22.3345,6.4525,197.28400000000002,98.37,False,2018-04-15 05:13:50.145
4.024,2018-04-15 05:12:33,82.868,1990.0,-106.98053999999999,17.01266,4.0,27.1359,27.1393,5.425092,5.448622,0.1297,12.3738,4.5345,0.051592,0.0,4.5345,0.0432,2.7527,0.0,4.4628,0.0,0.0109,0.0,2.7527,34.2426,34.4073,22.1044,22.2272,6.4694,197.801,98.609,False,2018-04-15 05:13:55.868
5.03,2018-04-15 05:12:33,88.48700000000001,2125.0,-106.98053999999999,17.01266,5.0,26.9943,26.9592,5.419351,5.427428,0.13896,12.3777,4.5301,0.050555,0.0,4.5301,0.0463,2.7663,0.0,4.4644,0.0,0.0042,0.0,2.7663,34.3058,34.3894,22.1971,22.2713,6.5377,199.86900000000003,99.45100000000001,False,2018-04-15 05:14:01.487
6.0360000000000005,2018-04-15 05:12:33,90.70299999999999,2178.0,-106.98053999999999,17.01266,6.0,26.8729,26.8654,5.4150480000000005,5.422293,0.14893,12.3794,4.5282,0.050671,0.0,4.5282,0.0496,2.7873,0.0,4.4653,0.0,0.0049,0.0,2.7873,34.3647,34.4219,22.2801,22.3257,6.5969,201.66299999999998,100.182,False,2018-04-15 05:14:03.703
7.042000000000001,2018-04-15 05:12:33,95.844,2301.0,-106.98053999999999,17.01266,7.0,27.047,26.9954,5.4218589999999995,5.423732,0.15117,12.3747,4.5335,0.050671,0.0,4.5335,0.0504,2.7687,0.0,4.4668,0.0,0.0049,0.0,2.7687,34.2842,34.3356,22.1642,22.2194,6.5112,199.065,99.12200000000001,False,2018-04-15 05:14:08.844
8.048,2018-04-15 05:12:33,99.681,2393.0,-106.98056000000001,17.01266,8.0,27.0704,27.0186,5.422721,5.423386,0.14659,12.373,4.5355,0.050671,0.0,4.5355,0.0489,2.7636,0.0,4.4675,0.0,0.0049,0.0,2.7636,34.2728,34.3158,22.1483,22.1971,6.5058,198.905,99.073,False,2018-04-15 05:14:12.681
9.054,2018-04-15 05:12:33,103.21700000000001,2478.0,-106.98056000000001,17.01266,9.0,26.8686,26.9167,5.415109999999999,5.41862,0.15162,12.3775,4.5303,0.050671,0.0,4.5303,0.0505,2.7911,0.0,4.4689,0.0,0.0049,0.0,2.7911,34.3674,34.3568,22.2838,22.2605,6.6243,202.5,100.59200000000001,False,2018-04-15 05:14:16.217
10.06,2018-04-15 05:12:33,107.631,2584.0,-106.98056000000001,17.01266,10.0,26.5941,26.6004,5.406961,5.408116000000001,0.17045,12.3839,4.5231,0.050671,0.0,4.5231,0.0568,2.8158,0.0,4.4709,0.0,0.0049,0.0,2.8158,34.5129,34.5165,22.4804,22.4811,6.7116,205.13099999999997,101.538,False,2018-04-15 05:14:20.631
