,111.694
StartTime,2018-04-19 02:15:57
timeS,424.515
scan,10189.0
longitude,-106.98056000000001
latitude,17.01268
depSMignore,111.0
t090C,14.1772
t190C,14.1771
c0S/m,4.191115
c1S/m,4.191091
flSP,0.6148
CStarAt0,12.3656
CStarTr0,4.5438
par,0.050671
modError,0.0
v0,4.5438
v1,0.2049
v2,0.5137
v3,0.0
v4,4.6285
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,0.5129
sal00,34.7686
sal11,34.7685
sigma-�00,25.9743
sigma-�11,25.9742
sbeox0Mg/L,0.0545
sbox0Mm/Kg,1.66
sbeox0PS,0.6579999999999999
flag,False
Time,2018-04-19 02:23:01.515000
