,50.305
StartTime,2018-04-19 06:07:15
timeS,245.956
scan,5904.0
longitude,-106.97996
latitude,17.02054
depSMignore,50.0
t090C,21.8476
t190C,21.8525
c0S/m,4.8932970000000005
c1S/m,4.893776
flSP,1.4344
CStarAt0,12.4587
CStarTr0,4.4394
par,0.050671
modError,0.0
v0,4.4394
v1,0.4781
v2,2.4561
v3,0.0
v4,4.5906
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.456
sal00,34.2954
sal11,34.2953
sigma-�00,23.7277
sigma-�11,23.7263
sbeox0Mg/L,6.2937
sbox0Mm/Kg,192.123
sbeox0PS,87.62799999999999
flag,False
Time,2018-04-19 06:11:20.956000
