,46.28
StartTime,2018-04-19 18:05:49
timeS,130.22
scan,3126.0
longitude,-106.98013999999999
latitude,17.02058
depSMignore,46.0
t090C,23.4275
t190C,23.4207
c0S/m,5.054724
c1S/m,5.053848
flSP,0.40562
CStarAt0,12.4087
CStarTr0,4.4951
par,117.1
modError,0.0
v0,4.4951
v1,0.1352
v2,2.5803
v3,0.0
v4,4.5406
v5,0.0
v6,3.3647
v7,0.0
sbeox0V,2.5803
sal00,34.3068
sal11,34.3053
sigma-�00,23.2871
sigma-�11,23.288
sbeox0Mg/L,6.3682
sbox0Mm/Kg,194.48
sbeox0PS,91.17399999999999
flag,False
Time,2018-04-19 18:07:59.220000
