Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag,Time
40.243,2018-04-20 11:01:56.000,218.8,5252.0,-106.97898,16.984379999999998,40.0,23.8761,23.9011,5.130091,5.13261,0.15481,12.3621,4.5478,0.0501,0.0,4.5478,0.0516,2.7731,0.0,4.4397,0.0,0.0,0.0,2.7731,34.5329,34.5325,23.3268,23.3191,6.9037,210.826,99.745,False,2018-04-20 11:05:34.800
41.248999999999995,2018-04-20 11:01:56.000,219.695,5274.0,-106.97898,16.984379999999998,41.0,23.7207,23.7202,5.1136349999999995,5.113435,0.19501,12.3652,4.5443,0.0501,0.0,4.5443,0.065,2.7649,0.0,4.4372,0.0,0.0,0.0,2.7649,34.5286,34.5274,23.3693,23.3685,6.8918,210.454,99.303,False,2018-04-20 11:05:35.695
42.255,2018-04-20 11:01:56.000,220.453,5292.0,-106.97898,16.984379999999998,42.0,23.5873,23.5876,5.099531,5.099407,0.16199000000000002,12.3661,4.5433,0.0501,0.0,4.5433,0.054,2.7619,0.0,4.4383,0.0,0.0,0.0,2.7619,34.525,34.5238,23.4057,23.4047,6.9023,210.766,99.221,False,2018-04-20 11:05:36.453
43.262,2018-04-20 11:01:56.000,221.18,5309.0,-106.97898,16.984379999999998,43.0,23.4864,23.4841,5.088483999999999,5.0881099999999995,0.17094,12.3652,4.5443,0.0501,0.0,4.5443,0.057,2.7569,0.0,4.4434,0.0,0.0,0.0,2.7569,34.5192,34.5182,23.4308,23.4306,6.9065,210.891,99.105,False,2018-04-20 11:05:37.180
44.268,2018-04-20 11:01:56.000,222.265,5335.0,-106.97898,16.984370000000002,44.0,23.413,23.4118,5.08075,5.080737999999999,0.19495,12.3649,4.5446,0.0501,0.0,4.5446,0.065,2.7589,0.0,4.4459,0.0,0.0,0.0,2.7589,34.5172,34.5181,23.4507,23.4517,6.947,212.123,99.55799999999999,False,2018-04-20 11:05:38.265
45.273999999999994,2018-04-20 11:01:56.000,228.465,5484.0,-106.97898,16.984360000000002,45.0,23.5717,23.564,5.098318,5.097405999999999,0.16773,12.3629,4.5469,0.0501,0.0,4.5469,0.0559,2.7424,0.0,4.454,0.0,0.0,0.0,2.7424,34.527,34.526,23.4119,23.4134,6.8193,208.23,98.00299999999999,False,2018-04-20 11:05:44.465
46.28,2018-04-20 11:01:56.000,229.385,5506.0,-106.97898,16.984360000000002,46.0,23.2125,23.18,5.057507,5.053429,0.19698,12.3655,4.544,0.0501,0.0,4.544,0.0657,2.7252,0.0,4.456,0.0,0.0,0.0,2.7252,34.4955,34.4897,23.4924,23.4974,6.812,207.993,97.27,False,2018-04-20 11:05:45.385
47.286,2018-04-20 11:01:56.000,230.347,5529.0,-106.97898,16.984360000000002,47.0,22.9532,22.9472,5.029711,5.028852,0.23510999999999999,12.3679,4.5411,0.0501,0.0,4.5411,0.0784,2.7139,0.0,4.4581,0.0,0.0,0.0,2.7139,34.4851,34.4832,23.5593,23.5596,6.8194,208.204,96.929,False,2018-04-20 11:05:46.347
48.292,2018-04-20 11:01:56.000,232.575,5583.0,-106.97898,16.984370000000002,48.0,22.9878,22.9426,5.034,5.028891000000001,0.26319000000000004,12.3663,4.5431,0.0501,0.0,4.5431,0.0877,2.715,0.0,4.4625,0.0,0.0,0.0,2.715,34.4906,34.4868,23.5536,23.5637,6.8436,208.94299999999998,97.334,False,2018-04-20 11:05:48.575
49.299,2018-04-20 11:01:56.000,235.953,5664.0,-106.97898,16.984379999999998,49.0,22.7391,22.7616,5.005362,5.007442,0.26191,12.3681,4.541,0.0501,0.0,4.541,0.0873,2.6681,0.0,2.5164,0.0,0.0,0.0,2.6681,34.4647,34.463,23.605,23.5972,6.6256,202.278,93.81,False,2018-04-20 11:05:51.953
50.305,2018-04-20 11:01:56.000,237.08900000000003,5691.0,-106.97898,16.984379999999998,50.0,22.1372,22.1295,4.937007,4.935721,0.37356,12.3713,4.5374,0.0501,0.0,4.5374,0.1245,2.638,0.0,0.4797,0.0,0.0,0.0,2.6379,34.4085,34.4045,23.7328,23.7319,6.6682,203.553,93.383,False,2018-04-20 11:05:53.089
51.31100000000001,2018-04-20 11:01:56.000,238.227,5718.0,-106.97898,16.984379999999998,51.0,21.9153,21.9124,4.911918,4.911385,0.37933,12.3732,4.5353,0.0501,0.0,4.5353,0.1264,2.6261,0.0,0.4504,0.0,0.0,0.0,2.6261,34.3877,34.3858,23.779,23.7784,6.6904,204.22099999999998,93.314,False,2018-04-20 11:05:54.227
52.317,2018-04-20 11:01:56.000,239.753,5755.0,-106.97898,16.984370000000002,52.0,21.8251,21.8226,4.90179,4.901298000000001,0.41765,12.3746,4.5337,0.0501,0.0,4.5337,0.1392,2.6211,0.0,0.421,0.0,0.0,0.0,2.6211,34.3794,34.3775,23.7979,23.7971,6.699,204.481,93.28,False,2018-04-20 11:05:55.753
53.324,2018-04-20 11:01:56.000,243.554,5846.0,-106.97898,16.984360000000002,53.0,21.9558,21.9459,4.917403,4.916208999999999,0.42912,12.3734,4.535,0.0501,0.0,4.535,0.143,2.6282,0.0,0.3962,0.0,0.0,0.0,2.6281,34.3978,34.3963,23.7755,23.7771,6.7006,204.535,93.529,False,2018-04-20 11:05:59.554
54.33,2018-04-20 11:01:56.000,246.69299999999998,5922.0,-106.97898,16.984360000000002,54.0,21.4845,21.5565,4.8628480000000005,4.870388,0.39574000000000004,12.3766,4.5313,0.0501,0.0,4.5313,0.1319,2.5808,0.0,0.3679,0.0,0.0,0.0,2.5808,34.3425,34.3446,23.8638,23.8454,6.5323,199.37900000000002,90.387,False,2018-04-20 11:06:02.693
55.336000000000006,2018-04-20 11:01:56.000,247.618,5944.0,-106.97898,16.984360000000002,55.0,20.9323,20.9241,4.802154,4.800739,0.45993999999999996,12.3798,4.5278,0.0501,0.0,4.5278,0.1533,2.5604,0.0,0.3607,0.0,0.0,0.0,2.5604,34.3013,34.2965,23.9831,23.9817,6.5461,199.77599999999998,89.65899999999999,False,2018-04-20 11:06:03.618
56.342,2018-04-20 11:01:56.000,248.53599999999997,5966.0,-106.97896999999999,16.984360000000002,56.0,20.6207,20.6088,4.768814,4.767069,0.5808300000000001,12.3845,4.5224,0.0501,0.0,4.5224,0.1936,2.5394,0.0,0.3543,0.0,0.0,0.0,2.5393,34.2842,34.2797,24.054,24.0538,6.4783,197.69299999999998,88.223,False,2018-04-20 11:06:04.536
57.349,2018-04-20 11:01:56.000,249.995,6001.0,-106.97896000000001,16.984360000000002,57.0,20.3068,20.2877,4.735515,4.733281,0.7530399999999999,12.3872,4.5193,0.0501,0.0,4.5193,0.251,2.477,0.0,0.3555,0.0,0.0,0.0,2.4769,34.2684,34.2658,24.1256,24.1286,6.278,191.56900000000002,85.00299999999999,False,2018-04-20 11:06:05.995
58.355,2018-04-20 11:01:56.000,252.59,6063.0,-106.97896999999999,16.984360000000002,58.0,19.9713,19.9568,4.70056,4.698262000000001,0.8754299999999999,12.3886,4.5178,0.0501,0.0,4.5178,0.2918,2.3922,0.0,0.3528,0.0,0.0,0.0,2.3921,34.2562,34.2493,24.2048,24.2033,6.0615,184.949,81.562,False,2018-04-20 11:06:08.590
59.361000000000004,2018-04-20 11:01:56.000,254.99900000000002,6121.0,-106.97898,16.984360000000002,59.0,19.5031,19.4959,4.648103,4.647201,0.7992199999999999,12.3847,4.5222,0.0501,0.0,4.5222,0.2664,2.2854,0.0,0.352,0.0,0.0,0.0,2.2853,34.2076,34.2061,24.2895,24.2902,5.7255,174.683,76.357,False,2018-04-20 11:06:10.999
60.367,2018-04-20 11:01:56.000,256.9,6167.0,-106.97898,16.984360000000002,60.0,19.2574,19.2493,4.621416,4.62038,0.75467,12.3854,4.5214,0.0501,0.0,4.5214,0.2516,2.2062,0.0,0.3614,0.0,0.0,0.0,2.206,34.188,34.1861,24.3377,24.3383,5.4631,166.667,72.52,False,2018-04-20 11:06:12.900
61.373999999999995,2018-04-20 11:01:56.000,259.471,6228.0,-106.97898,16.984360000000002,61.0,19.1663,19.111,4.611127,4.605575,0.8629600000000001,12.3834,4.5237,0.0501,0.0,4.5237,0.2877,2.1603,0.0,0.8258,0.0,0.0,0.0,2.1601,34.177,34.1764,24.3524,24.366,5.4669,166.78099999999998,72.437,False,2018-04-20 11:06:15.471
