Cast,StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,sbeox0V,sal00,sal11,sigma-?00,sigma-?11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,Time
42,2018-04-15 05:12:33,309.212,7422,-107.00062,16.90049,114,14.1668,14.1647,4.190473,4.190245,0.6679,12.3663,4.543,0.050671,0.5078,34.7708,34.7705,25.9783,25.9785,0.0345,1.051,0.416,2018-04-15 05:17:42.212000
43,2018-04-15 15:06:02,397.156,9533,-107.01708,16.91628,107,14.2512,14.2523,4.197706,4.197694,0.78175,12.3707,4.5381,0.17321,0.5095,34.7646,34.7636,25.9555,25.9544,0.0414,1.261,0.501,2018-04-15 05:19:10.156000
44,2018-04-15 22:01:43,455.338,10929,-107.01528,16.92706,103,14.3237,14.3197,4.203995,4.203469,0.65176,12.3684,4.5407,0.33127,0.5115,34.7592,34.758,25.9357,25.9356,0.0461,1.404,0.558,2018-04-15 05:20:08.338000
45,2018-04-16 15:03:02,311.367,7474,-107.03418,16.9438,101,14.1901,14.1779,4.192217,4.19093,0.66884,12.3673,4.5419,0.22986,0.5097,34.7713,34.7704,25.9734,25.9752,0.041,1.25,0.495,2018-04-15 05:17:44.367000
46,2018-04-17 15:03:16,309.43,7427,-107.06274,16.97817,105,14.1867,14.1864,4.191544,4.191401,0.66976,12.368,4.5411,0.17983,0.5096,34.7665,34.7654,25.9705,25.9697,0.0412,1.254,0.497,2018-04-15 05:17:42.430000
47,2018-04-17 21:04:08,431.915,10367,-107.05556,16.9769,111,14.2876,14.2775,4.20075,4.200263,0.67998,12.3682,4.5409,0.34956,0.5109,34.7584,34.763,25.943,25.9487,0.0445,1.356,0.539,2018-04-15 05:19:44.915000
48,2018-04-18 15:03:03,373.09,8955,-107.07448,16.98672,113,14.1134,14.1123,4.183999,4.183857,0.57147,12.3639,4.5458,0.17006,0.5117,34.7592,34.7589,25.9806,25.9806,0.0486,1.48,0.586,2018-04-15 05:18:46.090000
49,2018-04-18 22:05:25,426.742,10243,-107.05446,16.9959,109,14.117,14.1169,4.184672,4.184641,0.6139,12.3681,4.5411,0.50459,0.5131,34.7639,34.7637,25.9833,25.9832,0.0534,1.627,0.644,2018-04-15 05:19:39.742000
50,2018-04-19 02:15:57,424.515,10189,-106.98056,17.01268,111,14.1772,14.1771,4.191115,4.191091,0.6148,12.3656,4.5438,0.050671,0.5129,34.7686,34.7685,25.9743,25.9742,0.0545,1.66,0.658,2018-04-15 05:19:37.515000
51,2018-04-19 06:07:15,384.889,9238,-106.97994,17.02058,119,14.1739,14.1656,4.191375,4.190546,0.74391,12.3676,4.5416,0.050671,0.5109,34.7707,34.7705,25.9769,25.9785,0.0462,1.408,0.558,2018-04-15 05:18:57.889000
52,2018-04-19 12:06:26,247.587,5943,-106.98002,17.0206,109,14.1328,14.1309,4.186945,4.186587,0.78336,12.3658,4.5437,0.050671,0.512,34.7708,34.7692,25.9853,25.9845,0.0501,1.526,0.604,2018-04-15 05:16:40.587000
53,2018-04-19 14:16:42,297.976,7152,-106.98009,17.02056,108,14.2088,14.2045,4.193797,4.193403,0.70214,12.3694,4.5395,0.079486,0.5119,34.7662,34.7664,25.9657,25.9667,0.0495,1.508,0.598,2018-04-15 05:17:30.976000
54,2018-04-19 18:05:49,261.07,6267,-106.98009,17.02057,107,14.4795,14.4871,4.218874,4.219653,0.59387,12.3669,4.5424,0.88844,0.5118,34.755,34.7553,25.8994,25.898,0.0491,1.497,0.597,2018-04-15 05:16:54.070000
55,2018-04-19 23:59:38,415.376,9970,-106.96682,16.9775,108,14.2562,14.2502,4.197888,4.197091,0.54566,12.3732,4.5353,0.095177,0.5148,34.7614,34.7594,25.9519,25.9516,0.0578,1.759,0.698,2018-04-15 05:19:28.376000
56,2018-04-20 06:06:48,404.187,9701,-106.97886,16.98432,105,14.2331,14.2309,4.196141,4.195829,0.62575,12.3766,4.5314,0.050671,0.5152,34.7673,34.7664,25.9613,25.961,0.0578,1.76,0.698,2018-04-15 05:19:17.187000
57,2018-04-20 11:01:56,353.138,8476,-106.97898,16.98438,107,14.1258,14.1254,4.186414,4.186315,0.79011,12.3735,4.5348,0.0501,0.5118,34.7729,34.7725,25.9884,25.9881,0.0491,1.494,0.592,2018-04-15 05:18:26.138000
58,2018-04-20 22:34:17,329.203,7902,-107.01744,17.04942,124,13.9526,13.9521,4.169895,4.169878,0.51885,12.3673,4.5419,0.17722,0.511,34.7687,34.769,26.022,26.0223,0.0452,1.376,0.543,2018-04-15 05:18:02.203000
