Cast,StartTime,flSP,CStarTr0,sbox0Mm/Kg
42,2018-04-15 05:12:33,1.04146285714286,4.4923380952381,154.764
43,2018-04-15 15:06:02,0.835784782608696,4.4911652173913,168.805695652174
44,2018-04-15 22:01:43,,,
45,2018-04-16 15:03:02,,,
46,2018-04-17 15:03:16,,,
47,2018-04-17 21:04:08,,,
48,2018-04-18 15:03:03,,,
49,2018-04-18 22:05:25,,,
50,2018-04-19 02:15:57,,,
51,2018-04-19 06:07:15,,,
52,2018-04-19 12:06:26,,,
53,2018-04-19 14:16:53,,,
54,2018-04-19 18:05:49,,,
55,2018-04-19 23:59:38,,,
56,2018-04-20 06:06:48,,,
57,2018-04-20 11:01:56,,,
58,2018-04-20 22:34:17,,,
