Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par,scan,nbin,flag
73.0,2017-01-08 01:08:51,72.555,16.539820000000002,-107.14606,19.6818,19.6807,19.6685,34.5502,34.5581,1024.821,24.5019,0.39276,28.084,227.50867000000002,0.1339,96.7079,3.0369,1.8299,6.907,0.014703,5034.0,51.0,False
74.0,2017-01-08 01:08:51,73.54899999999999,16.539820000000002,-107.14606,19.4845,19.4866,19.4711,34.5665,34.5732,1024.8892,24.5655,0.37588,27.004,228.30246,0.1326,96.7386,3.0674,1.8216,6.905,0.014781,5083.0,47.0,False
75.0,2017-01-08 01:08:51,74.543,16.539820000000002,-107.14606,19.3315,19.3308,19.318,34.5758,34.5849,1024.9403,24.6121,0.36851,22.771,228.92666,0.1344,96.6962,3.1333,1.8095,6.903,0.014268000000000001,5130.0,48.0,False
76.0,2017-01-08 01:08:51,75.536,16.539820000000002,-107.14606,18.7669,18.7629,18.7535,34.6239,34.6331,1025.1259,24.7928,0.33371999999999996,19.799,231.237,0.1436,96.4754,3.1996,1.7898,6.903,0.014251,5181.0,52.0,False
77.0,2017-01-08 01:08:51,76.53,16.539820000000002,-107.14606,18.6273,18.6226,18.6138,34.6184,34.6259,1025.1614,24.8238,0.31529,13.392999999999999,231.84179,0.1338,96.7106,3.3171,1.7625,6.903,0.014209999999999999,5229.0,44.0,False
78.0,2017-01-08 01:08:51,77.524,16.539820000000002,-107.14606,18.4252,18.4222,18.4116,34.6338,34.6425,1025.2284,24.8862,0.33863000000000004,11.092,232.68715,0.1374,96.6243,3.3978,1.7499,6.899,0.014141999999999998,5277.0,49.0,False
79.0,2017-01-08 01:08:51,78.517,16.539820000000002,-107.14606,18.2368,18.2357,18.2232,34.6466,34.6535,1025.2896,24.9428,0.36577,7.456,233.48278,0.1442,96.4586,3.4775,1.7352,6.898,0.014140999999999999,5327.0,52.0,False
80.0,2017-01-08 01:08:51,79.51100000000001,16.539820000000002,-107.14606,18.0927,18.0909,18.079,34.6511,34.6617,1025.3333,24.982,0.38334,4.843999999999999,234.10292,0.1426,96.499,3.5514,1.7205,6.898,0.014113999999999998,5374.0,42.0,False
81.0,2017-01-08 01:08:51,80.505,16.539820000000002,-107.14606,17.9411,17.9373,17.9273,34.6651,34.6726,1025.3859,25.03,0.41333000000000003,3.2760000000000002,234.74446,0.1475,96.3786,3.6037,1.708,6.898,0.014113999999999998,5416.0,40.0,False
82.0,2017-01-08 01:08:51,81.498,16.539820000000002,-107.14606,17.8115,17.8094,17.7976,34.6804,34.6894,1025.4339,25.0735,0.33224000000000004,2.227,235.29021,0.1476,96.3768,3.6354,1.6991,6.896,0.014113999999999998,5462.0,56.0,False
83.0,2017-01-08 01:08:51,82.492,16.53983,-107.14606,17.6852,17.6758,17.6712,34.687,34.7108,1025.4742,25.1093,0.22863000000000003,1.445,235.83768999999998,0.1343,96.6973,3.6439,1.6984,6.893,0.014087,5528.0,58.0,False
84.0,2017-01-08 01:08:51,83.486,16.539820000000002,-107.14606,17.3622,17.3578,17.3482,34.6965,34.7048,1025.5644,25.1947,0.22876999999999997,1.526,237.26143,0.1301,96.799,3.6555,1.6751,6.893,0.014115,5571.0,35.0,False
85.0,2017-01-08 01:08:51,84.48,16.539820000000002,-107.14606,17.1823,17.1786,17.1682,34.7106,34.7188,1025.623,25.2487,0.2421,1.446,238.04697000000002,0.1282,96.8457,3.6661,1.6565,6.893,0.014084000000000001,5609.0,45.0,False
86.0,2017-01-08 01:08:51,85.473,16.539820000000002,-107.14606,17.0969,17.0934,17.0828,34.7155,34.7236,1025.6516,25.2728,0.24353000000000002,1.3659999999999999,238.42395,0.1276,96.8606,3.6666,1.6498,6.891,0.014008000000000001,5661.0,54.0,False
87.0,2017-01-08 01:08:51,86.46700000000001,16.539820000000002,-107.14606,17.0581,17.0571,17.0437,34.7115,34.7196,1025.6623,25.279,0.2369,1.229,238.6063,0.127,96.8761,3.6674,1.6407,6.888999999999999,0.013800999999999999,5708.0,41.0,False
