Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,par,scan,nbin,flag
69.0,2017-01-09 03:09:31,68.58,16.52356,-107.1133,19.5338,19.533,19.5213,34.5695,34.5776,1024.8568,24.5551,0.45575,32.6,228.09259,0.1466,96.4005,0.0342,0.0442,0.0098643,4420.0,37.0,False
70.0,2017-01-09 03:09:31,69.574,16.52356,-107.1133,19.3373,19.3347,19.3248,34.585,34.594,1024.9239,24.6176,0.4936,25.365,228.88804,0.1483,96.3614,0.0343,0.0444,0.0098391,4463.0,53.0,False
71.0,2017-01-09 03:09:31,70.568,16.52356,-107.1133,19.0589,19.0535,19.0463,34.6067,34.6152,1025.0164,24.7055,0.53525,18.734,230.02492,0.1564,96.1649,0.0342,0.044,0.0099512,4515.0,49.0,False
72.0,2017-01-09 03:09:31,71.561,16.52356,-107.1133,18.7991,18.7976,18.7864,34.618,34.6264,1025.0957,24.7802,0.48839,11.952,231.10871,0.1606,96.0653,0.0342,0.0438,0.009865700000000002,4558.0,37.0,False
73.0,2017-01-09 03:09:31,72.555,16.52356,-107.1133,18.5081,18.5053,18.4954,34.6416,34.6502,1025.1916,24.8714,0.47201000000000004,7.699,232.31757000000002,0.157,96.1522,0.0342,0.0436,0.0099615,4597.0,43.0,False
74.0,2017-01-09 03:09:31,73.54899999999999,16.52356,-107.1133,18.4562,18.5359,18.4433,34.6484,34.6424,1025.2143,24.8897,0.48886999999999997,4.19,232.53046,0.154,96.2234,0.0343,0.0435,0.010023,4658.0,72.0,False
75.0,2017-01-09 03:09:31,74.543,16.52356,-107.1133,18.3412,18.3337,18.3282,34.6444,34.6544,1025.2444,24.9153,0.45558999999999994,4.164,233.03315,0.1583,96.1205,0.0342,0.0434,0.010054,4718.0,45.0,False
76.0,2017-01-09 03:09:31,75.536,16.52356,-107.1133,18.1159,18.1091,18.1029,34.658,34.6676,1025.3152,24.9815,0.43583999999999995,3.8139999999999996,233.99132999999998,0.1554,96.1885,0.0342,0.0431,0.010284,4760.0,41.0,False
77.0,2017-01-09 03:09:31,76.53,16.52356,-107.1133,17.6549,17.6411,17.6419,34.6914,34.7018,1025.4586,25.12,0.34439000000000003,2.983,235.96621000000002,0.1517,96.2795,0.0342,0.0431,0.01011,4805.0,46.0,False
78.0,2017-01-09 03:09:31,77.524,16.52356,-107.1133,17.3363,17.3327,17.3233,34.7102,34.7187,1025.5548,25.2115,0.25895,1.905,237.355,0.1343,96.6979,0.0342,0.043,0.010013,4848.0,38.0,False
79.0,2017-01-09 03:09:31,78.517,16.52356,-107.1133,17.1896,17.1851,17.1765,34.7154,34.7237,1025.5986,25.2507,0.26633,1.9269999999999998,238.00592999999998,0.1312,96.7728,0.0342,0.0428,0.010129,4886.0,42.0,False
80.0,2017-01-09 03:09:31,79.51100000000001,16.52356,-107.11331000000001,17.1864,17.1313,17.1732,34.7118,34.7279,1025.6009,25.2486,0.27604,1.692,238.02649,0.1285,96.8379,0.0342,0.0426,0.0099659,4944.0,73.0,False
81.0,2017-01-09 03:09:31,80.505,16.52356,-107.11332,17.1062,17.1038,17.0928,34.7129,34.7196,1025.6254,25.2686,0.24908000000000002,1.4169999999999998,238.38644,0.1268,96.8796,0.0342,0.0423,0.010042,5009.0,49.0,False
82.0,2017-01-09 03:09:31,81.498,16.52356,-107.11332,17.0175,17.0127,17.004,34.7154,34.7239,1025.6529,25.2916,0.219,1.401,238.78407,0.1275,96.8631,0.0342,0.0422,0.0099729,5050.0,39.0,False
83.0,2017-01-09 03:09:31,82.492,16.52356,-107.11331000000001,16.8806,16.8777,16.867,34.7243,34.7325,1025.6967,25.3309,0.2018,1.275,239.39156,0.126,96.9,0.0342,0.0421,0.009933299999999999,5091.0,41.0,False
84.0,2017-01-09 03:09:31,83.486,16.52354,-107.1133,16.7617,16.7587,16.748,34.7306,34.7388,1025.7342,25.3638,0.18447,1.27,239.92427,0.1234,96.9609,0.0342,0.0421,0.0098991,5132.0,42.0,False
85.0,2017-01-09 03:09:31,84.48,16.52355,-107.1133,16.6687,16.6659,16.655,34.7394,34.7478,1025.7672,25.3923,0.16372,1.2209999999999999,240.336,0.1231,96.9696,0.0341,0.042,0.0098652,5180.0,53.0,False
86.0,2017-01-09 03:09:31,85.473,16.52356,-107.11331000000001,16.5062,16.4979,16.4923,34.751,34.7602,1025.8188,25.4393,0.13772,1.147,241.06585,0.1182,97.0883,0.0341,0.0418,0.009893299999999999,5234.0,50.0,False
