Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par,scan,nbin,flag
78.0,2017-01-11 14:03:16,77.524,16.5512,-107.0181,19.3135,19.3368,19.2994,34.6,34.6102,1024.9766,24.6353,0.41408999999999996,34.099000000000004,228.96424,0.1459,96.4193,0.54232,4691.0,36.0,False
79.0,2017-01-11 14:03:16,78.517,16.5512,-107.0181,18.9248,18.9249,18.9109,34.6121,34.6192,1025.0899,24.7438,0.36764,17.923,230.58321,0.1448,96.4436,0.50133,4720.0,26.0,False
80.0,2017-01-11 14:03:16,79.51100000000001,16.5512,-107.0181,18.6175,18.6174,18.6035,34.6327,34.6395,1025.1879,24.8372,0.34753,11.520999999999999,231.8617,0.1523,96.2638,0.46353,4746.0,28.0,False
81.0,2017-01-11 14:03:16,80.505,16.5512,-107.0181,18.5144,18.5135,18.5003,34.642,34.6491,1025.2254,24.8702,0.37166,10.802,232.28975,0.1439,96.4668,0.42808999999999997,4778.0,42.0,False
82.0,2017-01-11 14:03:16,81.498,16.5512,-107.0181,18.9097,18.8757,18.8952,34.6028,34.6179,1025.0997,24.7404,0.47908999999999996,10.259,230.6634,0.1425,96.4998,0.39542,4863.0,99.0,False
83.0,2017-01-11 14:03:16,82.492,16.5512,-107.0181,18.2334,18.2557,18.2191,34.6391,34.6433,1025.3021,24.9378,0.32687,11.595,233.51119,0.1416,96.5208,0.37105,4918.0,33.0,False
84.0,2017-01-11 14:03:16,83.486,16.5512,-107.0181,17.9153,17.913,17.901,34.6715,34.6806,1025.4103,25.0412,0.32542,8.048,234.84816,0.1404,96.55,0.34474,4947.0,27.0,False
85.0,2017-01-11 14:03:16,84.479,16.5512,-107.0181,17.7241,17.7269,17.7098,34.6899,34.6978,1025.4757,25.1021,0.31478,4.227,235.66083999999998,0.138,96.6084,0.31851,4982.0,44.0,False
86.0,2017-01-11 14:03:16,85.473,16.5512,-107.0181,17.9945,18.0974,17.9798,34.6535,34.6533,1025.3857,25.0079,0.37629,3.3960000000000004,234.52964,0.1406,96.5464,0.29384,5070.0,99.0,False
87.0,2017-01-11 14:03:16,86.46700000000001,16.5512,-107.0181,17.1951,17.2378,17.1807,34.7087,34.7093,1025.6273,25.2442,0.21325,4.796,237.9907,0.1305,96.7904,0.2775,5124.0,30.0,False
88.0,2017-01-11 14:03:16,87.46,16.5512,-107.0181,17.0556,17.0535,17.0411,34.7148,34.7246,1025.6698,25.2821,0.25,3.696,238.61248999999998,0.1283,96.8426,0.2598,5150.0,25.0,False
89.0,2017-01-11 14:03:16,88.454,16.5512,-107.0181,16.8883,16.888,16.8738,34.7281,34.7363,1025.7243,25.332,0.28015,1.774,239.35037999999997,0.1282,96.847,0.24299,5176.0,30.0,False
90.0,2017-01-11 14:03:16,89.448,16.5512,-107.0181,16.6647,16.6674,16.6501,34.7529,34.7721,1025.8006,25.4036,0.30083000000000004,1.325,240.3329,0.1273,96.8689,0.22779000000000002,5219.0,54.0,False
91.0,2017-01-11 14:03:16,90.441,16.5512,-107.0181,16.5582,16.4874,16.5435,34.7603,34.7651,1025.8357,25.4342,0.28502,1.409,240.81145,0.1269,96.877,0.21343,5295.0,90.0,False
92.0,2017-01-11 14:03:16,91.435,16.5512,-107.0181,16.258,16.2135,16.2433,34.7559,34.767,1025.9067,25.5004,0.18633,1.145,242.21139,0.1263,96.893,0.19993,5366.0,38.0,False
93.0,2017-01-11 14:03:16,92.429,16.5512,-107.0181,16.0913,16.0907,16.0766,34.77,34.7768,1025.9607,25.5498,0.18908,1.5290000000000001,242.96401,0.1249,96.9262,0.18765,5392.0,26.0,False
94.0,2017-01-11 14:03:16,93.42200000000001,16.5512,-107.0181,16.0304,16.0294,16.0156,34.7687,34.7763,1025.9781,25.5627,0.20967,1.496,243.25207000000003,0.1262,96.8957,0.17519,5420.0,31.0,False
95.0,2017-01-11 14:03:16,94.416,16.5512,-107.0181,16.0585,16.0517,16.0435,34.7649,34.772,1025.9731,25.5533,0.26126,1.143,243.12686000000002,0.1291,96.8229,0.1628,5487.0,97.0,False
96.0,2017-01-11 14:03:16,95.41,16.5512,-107.0181,15.8026,15.7941,15.7876,34.7633,34.7772,1026.035,25.6104,0.30093000000000003,1.001,244.33617999999998,0.1314,96.7695,0.15500999999999998,5560.0,46.0,False
97.0,2017-01-11 14:03:16,96.40299999999999,16.5512,-107.0181,15.6355,15.6335,15.6205,34.7776,34.7864,1026.0884,25.6592,0.23435999999999998,1.147,245.10592000000003,0.1313,96.7714,0.14681,5598.0,30.0,False
98.0,2017-01-11 14:03:16,97.397,16.5512,-107.0181,15.5208,15.5209,15.5057,34.7872,34.7948,1026.1262,25.6923,0.20684,1.122,245.63727999999998,0.1272,96.8709,0.13896,5625.0,24.0,False
99.0,2017-01-11 14:03:16,98.39,16.5512,-107.0181,15.4743,15.474,15.4591,34.7865,34.7939,1026.1406,25.7023,0.20546,1.0859999999999999,245.86099,0.126,96.8993,0.13078,5649.0,24.0,False
100.0,2017-01-11 14:03:16,99.384,16.5512,-107.0181,15.5087,15.5131,15.4932,34.7807,34.7889,1026.1328,25.6901,0.25791,0.9890000000000001,245.70656,0.1285,96.838,0.12162,5716.0,121.0,False
101.0,2017-01-11 14:03:16,100.37799999999999,16.5512,-107.0181,15.472,15.4789,15.4565,34.7766,34.7846,1026.1423,25.6951,0.22366,0.899,245.88912000000002,0.1274,96.8656,0.11475999999999999,5804.0,33.0,False
102.0,2017-01-11 14:03:16,101.37100000000001,16.5512,-107.0181,15.3513,15.3465,15.3356,34.7722,34.7805,1026.1705,25.7187,0.28029,0.917,246.47683999999998,0.1286,96.8358,0.10808,5831.0,27.0,False
