Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,ph,par,scan,nbin,flag
43.0,2017-01-08 01:08:51,42.74100000000001,16.539820000000002,-107.14603999999999,25.1256,25.1136,25.1163,34.1789,34.1886,1022.8681,22.6826,1.2465,148.269,207.43343000000002,0.2022,95.0695,1.6385,2.2546,6.936,0.024173,3581.0,43.0,False
44.0,2017-01-08 01:08:51,43.735,16.53983,-107.14603999999999,24.5974,24.5845,24.588,34.1903,34.1964,1023.0407,22.8506,1.1994,140.637,209.26676,0.1958,95.2221,1.6972,2.2203,6.936,0.022956999999999998,3626.0,49.0,False
45.0,2017-01-08 01:08:51,44.729,16.539839999999998,-107.14606,24.3122,24.3121,24.3026,34.2105,34.2199,1023.1458,22.9513,1.1552,123.32600000000001,210.24672,0.1853,95.4744,1.7315,2.208,6.934,0.021808,3680.0,55.0,False
46.0,2017-01-08 01:08:51,45.723,16.539839999999998,-107.14606,24.1584,24.1502,24.1487,34.2659,34.2754,1023.2377,23.0388,0.9762700000000001,122.605,210.71962000000002,0.1815,95.5651,1.7546,2.1913,6.933,0.021024,3732.0,45.0,False
47.0,2017-01-08 01:08:51,46.716,16.539839999999998,-107.14605,23.6227,23.6055,23.613,34.2883,34.2984,1023.4168,23.2133,0.87723,125.999,212.62013,0.1741,95.7393,1.8244,2.1537,6.932,0.020065,3775.0,41.0,False
48.0,2017-01-08 01:08:51,47.71,16.539839999999998,-107.14603999999999,23.2324,23.2269,23.2226,34.3095,34.3167,1023.5509,23.343,0.8469700000000001,109.3,214.01616,0.1705,95.8272,1.9298,2.1198,6.931,0.019742,3818.0,46.0,False
49.0,2017-01-08 01:08:51,48.70399999999999,16.539839999999998,-107.14605,23.006,23.0005,22.9961,34.3443,34.353,1023.647,23.4346,0.84359,97.524,214.80287,0.1668,95.9163,1.9928,2.1014,6.931,0.018887,3866.0,48.0,False
50.0,2017-01-08 01:08:51,49.698,16.539839999999998,-107.14606,22.8712,22.8696,22.8611,34.3615,34.3697,1023.7032,23.4864,0.7833,96.32,215.27872999999997,0.1607,96.0623,2.0161,2.0946,6.931,0.018444,3919.0,54.0,False
51.0,2017-01-08 01:08:51,50.692,16.539839999999998,-107.14606,22.8581,22.8577,22.8478,34.373,34.3802,1023.7199,23.4988,0.66483,94.839,215.31148,0.1573,96.1433,2.0476,2.0738,6.93,0.018219,3967.0,40.0,False
52.0,2017-01-08 01:08:51,51.68600000000001,16.539839999999998,-107.14603999999999,22.8508,22.8491,22.8402,34.3822,34.3898,1023.7334,23.5079,0.68129,97.083,215.32582999999997,0.1564,96.1652,2.0565,2.0666,6.928,0.017393000000000002,4009.0,47.0,False
53.0,2017-01-08 01:08:51,52.678999999999995,16.539839999999998,-107.14606,22.7953,22.786,22.7846,34.3946,34.4013,1023.763,23.5332,0.76413,98.979,215.51478999999998,0.1563,96.1691,2.0468,2.0679,6.9270000000000005,0.01705,4073.0,68.0,False
54.0,2017-01-08 01:08:51,53.673,16.539839999999998,-107.14606,22.778,22.7778,22.7671,34.3916,34.3992,1023.77,23.5358,0.62038,97.649,215.5839,0.1548,96.2043,2.0545,2.0576,6.9270000000000005,0.016965,4122.0,37.0,False
55.0,2017-01-08 01:08:51,54.667,16.539839999999998,-107.14606,22.7818,22.7814,22.7707,34.3936,34.402,1023.7748,23.5363,0.62831,97.335,215.56679,0.1545,96.2105,2.0574,2.0535,6.926,0.016891999999999997,4157.0,37.0,False
56.0,2017-01-08 01:08:51,55.661,16.539839999999998,-107.14606,22.6332,22.6211,22.622,34.4174,34.4255,1023.8395,23.5966,0.68294,98.367,216.08945,0.1544,96.2122,2.0538,2.0527,6.9239999999999995,0.01658,4204.0,55.0,False
57.0,2017-01-08 01:08:51,56.655,16.539839999999998,-107.14606,22.2623,22.2552,22.251,34.4299,34.4388,1023.9587,23.7112,0.5649,92.17399999999999,217.46877,0.1478,96.3731,2.0744,2.0411,6.922000000000001,0.016021,4258.0,49.0,False
58.0,2017-01-08 01:08:51,57.648999999999994,16.539820000000002,-107.14606,22.1104,22.1058,22.0989,34.4313,34.4394,1024.0068,23.7549,0.5401699999999999,83.59,218.04472,0.145,96.4391,2.1628,2.0189,6.922000000000001,0.015875,4304.0,47.0,False
59.0,2017-01-08 01:08:51,58.641999999999996,16.539820000000002,-107.14606,21.9152,21.9047,21.9037,34.4433,34.453,1024.0749,23.8185,0.53027,78.862,218.77412,0.1468,96.3959,2.221,2.0079,6.922000000000001,0.01569,4357.0,56.0,False
60.0,2017-01-08 01:08:51,59.636,16.539839999999998,-107.14606,21.5266,21.519,21.5149,34.4768,34.4863,1024.2126,23.9516,0.46521,74.041,220.22633,0.1413,96.5281,2.2776,1.9912,6.92,0.015597999999999999,4408.0,48.0,False
