Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,par,scan,nbin,flag
50.0,2017-01-11 04:05:00,49.698,16.6147,-107.02453999999999,25.7266,25.7216,25.7156,34.2433,34.2141,1022.7622,22.5468,1.9087,158.05700000000002,205.28766000000002,0.232,94.3645,0.0086094,3220.0,67.0,False
51.0,2017-01-11 04:05:00,50.692,16.6147,-107.02453999999999,24.6347,24.6252,24.6238,34.3123,34.3225,1023.1521,22.9318,1.3767,147.374,208.96768,0.2166,94.7296,0.008653399999999999,3274.0,43.0,False
52.0,2017-01-11 04:05:00,51.685,16.6147,-107.02453999999999,24.2883,24.279,24.2773,34.3255,34.3371,1023.27,23.0453,1.2272,121.625,210.176,0.2036,95.0377,0.008657600000000001,3315.0,42.0,False
53.0,2017-01-11 04:05:00,52.678999999999995,16.6147,-107.02453,23.7412,23.6163,23.7301,34.3563,34.3764,1023.4594,23.2301,1.1427,111.391,212.09779,0.193,95.2881,0.0087401,3370.0,60.0,False
54.0,2017-01-11 04:05:00,53.673,16.6147,-107.02452,23.2231,23.2257,23.212,34.3379,34.3455,1023.6012,23.3673,0.9499,100.905,214.00984,0.1868,95.437,0.008811200000000002,3418.0,36.0,False
55.0,2017-01-11 04:05:00,54.667,16.6147,-107.02452,22.7666,22.7593,22.7555,34.368,34.3791,1023.7596,23.5211,0.87108,91.238,215.66123,0.1836,95.5151,0.0092465,3450.0,32.0,False
56.0,2017-01-11 04:05:00,55.661,16.6147,-107.02452,22.7089,22.769,22.6977,34.3881,34.3867,1023.7952,23.5523,1.0362,79.263,215.85492999999997,0.1768,95.6771,0.0090606,3507.0,91.0,False
57.0,2017-01-11 04:05:00,56.655,16.6147,-107.02452,22.2762,22.2642,22.2649,34.3834,34.3902,1023.9191,23.6716,0.73231,87.274,217.48782999999997,0.171,95.8157,0.009454899999999999,3592.0,54.0,False
58.0,2017-01-11 04:05:00,57.648,16.6147,-107.02452,21.6998,21.6985,21.6885,34.4083,34.4163,1024.104,23.8517,0.6573,71.377,219.65426000000002,0.1665,95.923,0.0094279,3628.0,29.0,False
59.0,2017-01-11 04:05:00,58.641999999999996,16.6147,-107.02452,21.2586,21.2541,21.2473,34.4451,34.4539,1024.2579,24.0011,0.59919,60.912,221.31875,0.1662,95.9299,0.0098044,3654.0,25.0,False
60.0,2017-01-11 04:05:00,59.636,16.6147,-107.02452,20.8798,20.8755,20.8684,34.4945,34.5039,1024.4031,24.1416,0.5737,54.293,222.74046,0.1611,96.0519,0.0095385,3681.0,33.0,False
61.0,2017-01-11 04:05:00,60.63,16.6147,-107.02452,20.9403,20.7904,20.9287,34.4868,34.5108,1024.3851,24.1194,0.74763,45.1,222.51248999999999,0.1581,96.1247,0.009687200000000002,3739.0,78.0,False
62.0,2017-01-11 04:05:00,61.623999999999995,16.6147,-107.02452,20.3124,20.2899,20.3009,34.5339,34.5409,1024.5942,24.3236,0.5471699999999999,48.114,224.95531,0.1547,96.2056,0.0097762,3803.0,46.0,False
63.0,2017-01-11 04:05:00,62.617,16.6147,-107.02452,20.1133,20.1119,20.1016,34.547,34.5531,1024.6615,24.3864,0.59745,35.715,225.74334,0.1518,96.2751,0.0098184,3855.0,60.0,False
64.0,2017-01-11 04:05:00,63.611000000000004,16.6147,-107.02452,20.0207,20.0172,20.009,34.5504,34.5576,1024.6928,24.4133,0.49604,32.661,226.11587000000003,0.1505,96.3083,0.0098677,3912.0,44.0,False
65.0,2017-01-11 04:05:00,64.605,16.6147,-107.02452,19.7544,19.7546,19.7426,34.5692,34.5767,1024.7816,24.4974,0.44133999999999995,32.143,227.18048,0.1497,96.3259,0.009943299999999999,3948.0,35.0,False
