sample id,Year,Station,Depth,Pressure [dbar],Flux (mg/m2/day),CN total,CN organic,Total C flux (mg C/m2/day),Total C flux (umol C/m2/day),Organic C flux (mg C/m2/day),Organic C flux (umol C/m2/day),Protein flux (umol C/m2/day)
1-1_60m_+p,2017,P1,60,60.0,88.65132562,,,,,,,
2-2_50m_+p,2017,P1,50,50.0,190.8767912,,,,,,,
3-3_150m_+p,2017,P1,150,150.0,83.15257603,7.64885640260119,6.80101053224957,2.37551194216587,197.959328513823,2.17726210868461,181.438509057051,2.84143376974317
1-5_100m_+p,2017,P1,100,100.0,127.9433857,0.355555555459447,,,,,,
1-5_150m_+p,2017,P1,150,150.0,132.0557482,,,,,,,
3-7_90m_+p,2017,P1,90,90.0,103.7328318,,,,,,,
3-7_355m_+p,2017,P1,355,355.0,52.10180487,1.86304674098295,,,,,,
2-6_110m_+p,2017,P1,110,110.0,109.2859583,0.79698738814768,,,,,,
2-6_132m_+p,2017,P1,132,132.0,40.74176943,0.480001705567726,,,,,,
4-4_700m_+p,2017,P1,700,700.0,32.16404374,0.194402540852152,,,,,,
1-8_73m_+p,2017,P1,73,73.0,68.1893743,,,,,,,
1-8_120m_+p,2017,P1,120,120.0,60.64650195,1.8883064501643,,,,,,
2-9_74m_+p_top,2017,P1,74,74.0,38.13104837,19.8624665327979,22.2771308148611,0.89666182643292,74.72181886941,1.32957111802758,110.797593168965,
2-9_94m_+p,2017,P1,94,94.0,17.18357041,,,,,,,
3-10_68m_+p,2017,P1,68,68.0,92.05884388,14.3156438222367,12.9614693862591,2.19206966035865,182.672471696554,2.12177386572676,176.814488810563,0.620619515098972
3-10_168m_+p,2017,P1,168,168.0,48.55500417,6.28877176483684,5.9652201118816,5.39501286667061,449.584405555884,5.18437848409334,432.031540341111,0.936480274925665
1-12_73m_+p,2017,P2,73,73.0,81.78751095,24.0214198873816,18.1786971830986,1.43250334165189,119.37527847099,2.03416289552556,169.51357462713,
1-12_148m_+p,2017,P2,148,148.0,90.82039063,25.8590609994665,19.7702717332467,1.43283314912754,119.402762427295,1.32232450014019,110.193708345016,
2-14_100m_+p,2017,P2,100,100.0,138.4426437,0.841857064890993,,,,,,
2-14_150m_+p,2017,P2,150,150.0,70.65449111,5.08319764329202,,,,,,
3-15_120m_+p,2017,P2,120,120.0,129.1017662,,,,,,,
3-15_179m_+p,2017,P2,179,179.0,62.81986415,,,,,,,
1-16_113m_+p,2017,P2,113,113.0,92.04438506,,,,,,,
1-16_140m_+p,2017,P2,140,140.0,119.9515607,1.27155785224221,,,,,,
2-17_100m_+p,2017,P2,100,100.0,111.1657614,,,,,,,
2-17_150m_+p,2017,P2,150,150.0,56.4248001,,,,,,,
3-18_120m_+p,2017,P2,120,120.0,139.1207513,,,,,,,
3-18_180m_+p,2017,P2,180,180.0,41.10025186,1.37888098597617,,,,,,
4-13_265m_top+P,2017,P2,265,265.0,10.19766882,7.37626720965203,5.64738272452598,1.10602488087191,92.1687400726593,0.828830860507312,69.0692383756093,
4-13_965m_top+p2,2017,P2,965,965.0,17.82170147,,,,,,,
1-19_119m_+p,2017,P2,119,119.0,79.71774684,,,,,,,
1-19_159m_+p,2017,P2,159,159.0,61.53991313,,,,,,,
2-20_312m_+p,2017,P2,312,312.0,40.90035685,,,,,,,
2-20_412m_+p,2017,P2,412,412.0,16.13711754,,,,,,,
3-21_365m_+p,2017,P2,365,365.0,36.05092706,9.72221009161247,7.99314285714286,3.5354430809948,294.620256749566,3.47769543896914,289.807953247428,0.130020498235879
3-21_452m_+p,2017,P2,452,452.0,51.64578176,12.1779066475912,9.52024803643196,2.79019430584123,232.516192153436,1.96315848404831,163.596540337359,
4-22_59m_+p,2017,P2,59,59.0,64.57753223,,,,,,,
4-22_69m_+p,2017,P2,69,69.0,133.1442223,8.32639319276804,7.34765137670876,8.18326818988064,681.939015823386,6.78334661696259,565.278884746882,
