sample id,Year,Station,Depth,Flux (mg/m2/day),C flux organic,Trap type
1-1_60m_+p,2017,P1,60,88.65132562,,cone
2-2_50m_ctl,2017,P1,50,,,cone
2-2_50m_+p,2017,P1,50,190.8767912,,cone
2-2_50m_top,2017,P1,50,,,cone
2-2_320m_netwash,2017,P1,320,,,net
3-3_150m_ctl,2017,P1,150,,,net
3-3_150m_+p,2017,P1,150,159.3757707,53.60557055,net
3-3_150m_top,2017,P1,150,,,net
3-3_150m_abvtop1,2017,P1,150,,,net
3-3_150m_abvtop2,2017,P1,150,,,net
3-3_150m_abvtop3,2017,P1,150,,,net
3-3_150m_abvtop4,2017,P1,150,,,net
1-5_100m_+p,2017,P1,100,127.9433857,,cone
1-5_100m_top,2017,P1,100,,45.62906039,cone
1-5_150m_+p,2017,P1,150,132.0557482,,cone
1-5_150m_top,2017,P1,150,,82.12926293,cone
3-7_90m_ctl,2017,P1,90,,,cone
3-7_90m_+p,2017,P1,90,103.7328318,,cone
3-7_90m_top,2017,P1,90,,55.80971782,cone
3-7_355m_ctl,2017,P1,355,,,net
3-7_355m_+p,2017,P1,355,52.10180487,,net
3-7_355m_top,2017,P1,355,,169.7946237,net
3-7_355m_netwash,2017,P1,355,,,net
2-6_110m_+p,2017,P1,110,109.2859583,,cone
2-6_110m_top,2017,P1,110,,69.76744055,cone
2-6_132m_ctl,2017,P1,132,,,net
2-6_132m_+p,2017,P1,132,40.74176943,,net
2-6_132m_top,2017,P1,132,,45.19916753,net
2-6_132m_netwash1,2017,P1,132,,,net
2-6_132m_netwash2,2017,P1,132,,,net
2-6_132m_netwash3,2017,P1,132,,,net
4-4_700m_ctl,2017,P1,700,,,net
4-4_700m_+p,2017,P1,700,32.16404374,,net
4-4_700m_top,2017,P1,700,,39.43923292,net
4-4_700m_netwash1,2017,P1,700,,,net
4-4_700m_netwash2,2017,P1,700,,,net
4-11_265m_ctl,2017,P1,265,,,net
4-11_265m_topnw1,2017,P1,265,,,net
4-11_265m_topnw2,2017,P1,265,,,net
4-11_265m_topnw3,2017,P1,265,,,net
4-11_265m_topnw4,2017,P1,265,,,net
4-11_265m_topnw5,2017,P1,265,,,net
4-11_265m_topnw6,2017,P1,265,,,net
4-11_265m_swimmers,2017,P1,265,,,net
1-8_73m_+p,2017,P1,73,68.1893743,,cone
1-8_73m_top,2017,P1,73,,,cone
1-8_120m_ctl,2017,P1,120,,,cone
1-8_120m_+p,2017,P1,120,60.64650195,,cone
1-8_120m_top,2017,P1,120,,140.8612533,cone
1-8_120m_swimmers,2017,P1,120,,,cone
2-9_74m_ctl,2017,P1,74,,,cone
2-9_74m_+p_top,2017,P1,74,38.13104837,52.62885675,cone
2-9_94m_ctl,2017,P1,94,,,net
2-9_94m_+p,2017,P1,94,17.18357041,,net
2-9_94m_topnw1,2017,P1,94,,,net
2-9_94m_topnw3,2017,P1,94,,,net
2-9_94m_topnw5,2017,P1,94,,,net
2-9_94m_topnw7,2017,P1,94,,,net
3-10_68m_ctl,2017,P1,68,,,cone
3-10_68m_+p,2017,P1,68,92.05884388,44.18219015,cone
3-10_68m_top,2017,P1,68,,447.2271782,cone
3-10_168m_ctl,2017,P1,168,,,net
3-10_168m_+p,2017,P1,168,48.55500417,185.4257014,net
3-10_168m_+p_fw,2017,P1,168,,,net
3-10_168m_topnw1,2017,P1,168,,,net
3-10_168m_topnw3,2017,P1,168,,,net
3-10_168m_topnw5,2017,P1,168,,,net
1-12_73m_ctl,2017,P2,73,,,cone
1-12_73m_+p,2017,P2,73,81.78751095,103.0642534,cone
1-12_148m_ctl,2017,P2,148,,,cone
1-12_148m_+p,2017,P2,148,90.82039063,66.99777467,cone
2-14_100m_ctl,2017,P2,100,,,cone
2-14_100m_+p,2017,P2,100,138.4426437,,cone
2-14_100m_top,2017,P2,100,,37.5761124,cone
2-14_150m_ctl,2017,P2,150,,,net
2-14_150m_+p,2017,P2,150,70.65449111,,net
2-14_150m_top,2017,P2,150,,,net
2-14_150m_netwash1,2017,P2,150,,,net
2-14_150m_netwash2,2017,P2,150,,,net
2-14_150m_netwash3,2017,P2,150,,,net
3-15_120m_ctl,2017,P2,120,,,cone
3-15_120m_+p,2017,P2,120,129.1017662,,cone
3-15_120m_top,2017,P2,120,,136.9401816,cone
3-15_179m_ctl,2017,P2,179,,,net
3-15_179m_+p,2017,P2,179,62.81986415,,net
3-15_179m_top,2017,P2,179,,,net
3-15_179m_netwash1,2017,P2,179,,,net
3-15_179m_netwash2,2017,P2,179,,,net
1-16_113m_ctl,2017,P2,113,,,cone
1-16_113m_+p,2017,P2,113,92.04438506,,cone
1-16_113m_top,2017,P2,113,,,cone
1-16_140m_ctl,2017,P2,140,,,cone
1-16_140m_+p,2017,P2,140,119.9515607,,cone
1-16_140m_top,2017,P2,140,,,cone
2-17_100m_ctl,2017,P2,100,,,cone
2-17_100m_+p,2017,P2,100,111.1657614,,cone
2-17_100m_top,2017,P2,100,,115.678228,cone
2-17_150m_ctl,2017,P2,150,,,net
2-17_150m_+p,2017,P2,150,56.4248001,,net
2-17_150m_top,2017,P2,150,,22.80088017,net
2-17_150m_top1of2,2017,P2,150,,,net
2-17_150m_top2of2,2017,P2,150,,,net
2-17_150m_nw1,2017,P2,150,,,net
2-17_150m_nw2,2017,P2,150,,,net
3-18_120m_ctl,2017,P2,120,,,cone
3-18_120m_+p,2017,P2,120,139.1207513,,cone
3-18_120m_top,2017,P2,120,,165.7955664,cone
3-18_180m_ctl,2017,P2,180,,,net
3-18_180m_+p,2017,P2,180,41.10025186,,net
3-18_180m_top,2017,P2,180,,86.97380591,net
3-18_180m_netwash,2017,P2,180,,,net
4-13_265m_ctl,2017,P2,265,,,net
4-13_265m_top+P,2017,P2,265,10.19766882,39.36946586,net
4-13_265m_nw1,2017,P2,265,,,net
4-13_265m_nw2,2017,P2,265,,,net
4-13_265m_nw3,2017,P2,265,,,net
4-13_265m_pteropod,2017,P2,265,,,net
4-13_265m_krill,2017,P2,265,,,net
4-13_965m_ctl1,2017,P2,965,,,net
4-13_965m_ctl2,2017,P2,965,,,net
4-13_965m_top+p1,2017,P2,965,,11.90918431,net
4-13_965m_top+p2,2017,P2,965,17.82170147,,net
4-13_965m_nw1,2017,P2,965,,,net
4-13_965m_nw2,2017,P2,965,,,net
4-13_965m_nw3,2017,P2,965,,,net
4-13_965m_nw4,2017,P2,965,,,net
4-13_965m_nw5,2017,P2,965,,,net
1-19_119m_ctl,2017,P2,119,,,cone
1-19_119m_+p,2017,P2,119,79.71774684,,cone
1-19_119m_top,2017,P2,119,,,cone
1-19_159m_+p,2017,P2,159,61.53991313,,cone
1-19_159m_top,2017,P2,159,,58.77958173,cone
2-20_312m_ctl,2017,P2,312,,,net
2-20_312m_+p,2017,P2,312,40.90035685,,net
2-20_312m_top,2017,P2,312,,,net
2-20_312m_netwash1,2017,P2,312,,,net
2-20_312m_netwash2,2017,P2,312,,,net
2-20_412m_ctl,2017,P2,412,,,net
2-20_412m_+p,2017,P2,412,16.13711754,,net
2-20_412m_netwash1,2017,P2,412,,,net
2-20_412m_netwash2,2017,P2,412,,,net
2-20_412m_netwash3,2017,P2,412,,,net
3-21_365m_ctl,2017,P2,365,,,net
3-21_365m_+p,2017,P2,365,36.05092706,58.74844704,net
3-21_365m_top,2017,P2,365,,,net
3-21_365m_netwash1,2017,P2,365,,,net
3-21_365m_netwash2,2017,P2,365,,,net
3-21_365m_netwash3,2017,P2,365,,,net
3-21_452m_ctl,2017,P2,452,,,net
3-21_452m_+p,2017,P2,452,51.64578176,46.10680329,net
3-21_452m_top,2017,P2,452,,40.05351149,net
3-21_452m_netwash1,2017,P2,452,,,net
3-21_452m_netwash2,2017,P2,452,,,net
4-22_59m_ctl,2017,P2,59,,,cone
4-22_59m_+p,2017,P2,59,64.57753223,,cone
4-22_59m_jelly+p,2017,P2,59,,,cone
4-22_69m_ctl,2017,P2,69,,,cone
4-22_69m_+p,2017,P2,69,133.1442223,310.23331,cone
4-22_69m_top,2017,P2,69,,,cone
