Station,Type,Date,Longitude,Latitude,Pr [db],Depth [m],Temp [C],Sal [PSU],Sigma-0,Fluor [ug/L],Attn [1/m],Trans [%],Par,O2 [umol/kg],O2 [%],Bottle,Bottle nitrite
KM1919-20,P3 (73),B,10/17/19,-109.90766,21.94326,301.841,299.743,10.47,34.705,26.646,0.0639,0.07,98.265,1.00E-12,1.09,0.4,1
,P3 (73),B,10/17/19,-109.90766,21.94326,301.762,299.664,10.471,34.705,26.646,0.0644,0.07,98.268,1.00E-12,0.96,0.35,2
,P3 (73),B,10/17/19,-109.90768,21.94326,301.118,299.025,10.489,34.704,26.643,0.0641,0.071,98.247,1.00E-12,0.97,0.36,3
,P3 (73),B,10/17/19,-109.90766,21.94328,301.938,299.839,10.473,34.703,26.645,0.0637,0.069,98.284,1.00E-12,0.88,0.32,4
,P3 (73),B,10/17/19,-109.90766,21.94328,301.324,299.229,10.47,34.704,26.646,0.0644,0.071,98.244,1.00E-12,0.9,0.33,5
,P3 (73),B,10/17/19,-109.90766,21.94328,301.572,299.475,10.47,34.704,26.646,0.0634,0.07,98.274,1.00E-12,1.09,0.4,6
,P3 (73),B,10/17/19,-109.90764,21.94332,252.584,250.858,11.263,34.749,26.538,0.0619,0.072,98.216,1.00E-12,0.96,0.36,7
,P3 (73),B,10/17/19,-109.90764,21.94332,252.266,250.542,11.263,34.749,26.538,0.0594,0.072,98.215,1.00E-12,0.96,0.36,8
,P3 (73),B,10/17/19,-109.90764,21.94332,251.542,249.824,11.267,34.749,26.537,0.0594,0.073,98.187,1.00E-12,0.96,0.36,9
,P3 (73),B,10/17/19,-109.90764,21.94332,252.411,250.687,11.264,34.749,26.538,0.0622,0.072,98.211,1.00E-12,0.92,0.34,10
,P3 (73),B,10/17/19,-109.90764,21.94332,252.362,250.638,11.265,34.749,26.538,0.0619,0.073,98.191,1.00E-12,0.91,0.34,11
,P3 (73),B,10/17/19,-109.90764,21.94332,251.564,249.846,11.267,34.749,26.537,0.0597,0.073,98.2,1.00E-12,0.9,0.34,12
,P3 (73),B,10/17/19,-109.90764,21.9433,123.588,122.782,13.507,34.785,26.127,0.1184,0.067,98.336,1.00E-12,1.07,0.42,13
,P3 (73),B,10/17/19,-109.90764,21.9433,122.317,121.52,13.538,34.785,26.12,0.1276,0.067,98.333,1.00E-12,1.12,0.44,14
,P3 (73),B,10/17/19,-109.90764,21.9433,123.794,122.986,13.51,34.784,26.126,0.1172,0.068,98.306,1.00E-12,1.06,0.42,15
,P3 (73),B,10/17/19,-109.90764,21.9433,122.914,122.112,13.54,34.785,26.12,0.1194,0.067,98.336,1.00E-12,1.06,0.41,16
,P3 (73),B,10/17/19,-109.90763,21.9433,122.621,121.821,13.546,34.783,26.117,0.1354,0.067,98.336,1.00E-12,0.96,0.37,17
,P3 (73),B,10/17/19,-109.90766,21.94326,100.867,100.215,14.55,34.682,25.827,0.2415,0.071,98.253,1.00E-12,5.54,2.21,18
,P3 (73),B,10/17/19,-109.90766,21.94322,56.741,56.38,17.353,34.043,24.698,1.3031,0.131,96.786,1.00E-12,206.22,86.52,19
,P3 (73),B,10/17/19,-109.90765,21.94322,57.119,56.756,17.326,34.04,24.702,1.3482,0.131,96.791,1.00E-12,206.9,86.76,20
,P3 (73),B,10/17/19,-109.90766,21.94322,56.564,56.205,17.353,34.043,24.698,1.4583,0.13,96.795,1.00E-12,205.64,86.28,21
,P3 (73),B,10/17/19,-109.90766,21.94322,56.65,56.29,17.349,34.042,24.699,1.4244,0.132,96.756,1.00E-12,205.88,86.38,22
,P3 (73),B,10/17/19,-109.90766,21.94322,57.075,56.712,17.331,34.04,24.701,1.3531,0.131,96.783,1.00E-12,206.74,86.71,23
,P3 (73),B,10/17/19,-109.90766,21.94316,11.88,11.806,27.654,34.669,22.259,0.1523,0.103,97.471,6.09E-01,198.42,100.04,24
