,Station,Year,Depth (m),Pressure [dbar],Trap type,Chamber,Incubation,Flux (mg/m2/day),C:N organic,Org C flux (umol C/m2/day),Protein flux (ug/m2/day),Carbon protein flux (umol C/m2/day),N production rate (nM N/day),Adjusted N prod (nM N/day),Ctl bottle N2 production (nM/day),Babbin N production rates  (nM N/day),d15N,d13C,N/C,zoop C (umol C/m2/day),timeS,longitude,latitude,depSMlignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
0,P2,2018,100,100,net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.4,NULL,NULL,NULL,NULL,338.06199999999995,-106.979,16.984379999999998,100,14.3394,14.3388,4.205782,4.205596,0.61439,12.3722,4.5364,0.0501,0,4.5364,0.2048,0.5153,0.0,4.6119,0,0.0,0,0.5143,34.7629,34.7617,25.9352,25.9343,0.0561,1.709,0.679
1,P2,2018,151,151,cone,particles,NO2,59.93179319,12.3127516778524,114.4817664,NULL,NULL,10.0,4.07,4.2,21.1,NULL,-27.65,0.0812166139757982,NULL,397.723,-106.97898,16.984379999999998,151,13.0664,13.0654,4.0884730000000005,4.088405000000001,0.13707,12.3522,4.5591,0.0501,0,4.5591,0.0457,0.5103,0.0,4.5715,0,0.0,0,0.5094,34.7981,34.7984,26.2273,26.2277,0.0424,1.2919999999999998,0.501
2,P2,2018,151,151,cone,control,NO2,NULL,58.1495726495727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-27.97,0.0171970309399574,NULL,397.723,-106.97898,16.984379999999998,151,13.0664,13.0654,4.0884730000000005,4.088405000000001,0.13707,12.3522,4.5591,0.0501,0,4.5591,0.0457,0.5103,0.0,4.5715,0,0.0,0,0.5094,34.7981,34.7984,26.2273,26.2277,0.0424,1.2919999999999998,0.501
3,P2,2018,121,121,cone,particles,NO2,140.2346446,25.7815533980582,142.1919526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-27.27,0.0387874223310112,NULL,367.569,-106.97898,16.984379999999998,121,13.7658,13.7679,4.153685,4.153891000000001,0.38976,12.3583,4.5522,0.0501,0,4.5522,0.1299,0.5118,0.0,4.6154,0,0.0,0,0.5109,34.7878,34.7878,26.0757,26.0752,0.0469,1.429,0.562
4,P2,2018,121,121,cone,control,NO2,NULL,76.4009433962264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-28.18,0.0130888436130148,NULL,367.569,-106.97898,16.984379999999998,121,13.7658,13.7679,4.153685,4.153891000000001,0.38976,12.3583,4.5522,0.0501,0,4.5522,0.1299,0.5118,0.0,4.6154,0,0.0,0,0.5109,34.7878,34.7878,26.0757,26.0752,0.0469,1.429,0.562
5,P2,2018,147,147,net,top,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
6,P2,2018,147,147,net,top,none,135.5691057,NULL,6.088336976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-27.82,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
7,P2,2018,147,147,net,particles,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.76782743,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
8,P2,2018,147,147,net,control,S,NULL,20.0629370629371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-30.84,0.0498431509236667,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
9,P2,2018,147,147,net,netwash,na,NULL,9.29615547106041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-24.66,0.107571350663516,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
10,P2,2018,147,147,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
11,P2,2018,147,147,net,netwash,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394.254,-106.97898,16.984379999999998,147,13.1489,13.1495,4.096598,4.09671,0.14918,12.3516,4.5597,0.0501,0,4.5597,0.0497,0.5104,0.0,4.6001,0,0.0,0,0.5095,34.8014,34.8019,26.2132,26.2134,0.0424,1.291,0.501
