Pressure [dbar],timeS,longitude,latitude,depSMlignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS
1.0,31.714,-106.979,16.98438,1,26.891,26.4595,5.392432,16.441289,0.10843,13.0223,3.9959,0.050168,0,3.9959,0.0361,2.6468,0,0.6295,0,0.0006,0,2.6468,34.1915,237.4446,22.1436,224.7598,5.6145,171.657,85.2
2.0,41.104,-106.97898,16.98437,2,26.8769,26.9744,5.414921,3.079106,0.10816,12.5543,4.6255,0.050085,0,4.6255,0.036,2.4906,0,4.4581,0,-0.0001,0,2.4906,34.3619,-10.5195,22.2765,-22.761,6.0677,185.486,92.149
3.0,49.914,-106.97897,16.98437,3,26.8888,26.8858,5.414856,5.429178,0.11793,12.316,4.5511,0.0501,0,4.5511,0.0393,2.7794,0,4.4446,0,0,0,2.7794,34.3524,34.4565,22.2657,22.345,6.5317,199.672,99.211
4.0,51.789,-106.97896,16.98437,4,26.9041,26.9053,5.41532,5.435216,0.11185,12.3644,4.5452,0.0501,0,4.5452,0.0373,2.739,0,4.3428,0,0,0,2.739,34.344,34.4851,22.2546,22.3604,6.4483,197.126,97.966
5.0,53.221,-106.97896,16.98438,5,26.9042,26.9053,5.415237,5.431615,0.11244,12.3648,4.5448,0.0501,0,4.5448,0.0375,2.7404,0,4.3431,0,0,0,2.7404,34.3431,34.4592,22.2539,22.341,6.451,197.209,98.006
6.0,55.5,-106.97896,16.98438,6,26.904,26.9051,5.415086,5.427043,0.11776,12.3657,4.5437,0.0501,0,4.5437,0.0393,2.7397,0,4.3437,0,0,0,2.7397,34.3419,34.4264,22.2531,22.3164,6.4552,197.337,98.069
7.0,58.222,-106.97896,16.98438,7,26.9024,26.9033,5.414902,5.42314,0.11647,12.3645,4.5451,0.0501,0,4.5451,0.0388,2.7431,0,4.3443,0,0,0,2.7431,34.3414,34.3995,22.2533,22.2968,6.4593,197.462,98.129
8.0,60.842,-106.97896,16.98438,8,26.9004,26.9011,5.414676,5.420466,0.11791,12.3654,4.5441,0.0501,0,4.5441,0.0393,2.7434,0,4.3449,0,0,0,2.7434,34.341,34.3817,22.2537,22.2842,6.4627,197.565,98.176
9.0,63.218,-106.97896,16.98436,9,26.8986,26.8996,5.414502,5.418718,0.12687,12.3644,4.5452,0.0501,0,4.5452,0.0423,2.7421,0,4.346,0,0,0,2.7421,34.3408,34.3702,22.2542,22.2761,6.4631,197.576,98.179
10.0,65.316,-106.97896,16.98436,10,26.8977,26.8981,5.414517,5.417743,0.1198,12.3646,4.545,0.0501,0,4.545,0.0399,2.7417,0,4.3466,0,0,0,2.7417,34.3412,34.364,22.2549,22.2719,6.458,197.422,98.101
11.0,69.002,-106.97896,16.98438,11,26.9006,26.901,5.414825,5.416919,0.11476,12.365,4.5445,0.0501,0,4.5445,0.0383,2.7434,0,4.348,0,0,0,2.7434,34.341,34.3556,22.2539,22.2648,6.4701,197.793,98.29
12.0,103.396,-106.979,16.98437,12,26.9006,26.9009,5.414788,5.415043,0.11126,12.3638,4.5459,0.0501,0,4.5459,0.0371,2.7449,0,3.9502,0,0,0,2.7449,34.3404,34.342,22.2535,22.2547,6.4644,197.617,98.202
13.0,162.673,-106.979,16.98438,13,26.9026,26.9031,5.415029,5.415282,0.10381,12.364,4.5457,0.0501,0,4.5457,0.0346,2.735,0,4.3985,0,0,0,2.735,34.3404,34.3418,22.2529,22.2538,6.4497,197.167,97.982
14.0,162.583,-106.979,16.98436,14,26.8935,26.8924,5.41502,5.415183,0.11253,12.364,4.5457,0.0501,0,4.5457,0.0375,2.7449,0,4.395,0,0,0,2.7449,34.3467,34.3487,22.2607,22.2626,6.4878,198.332,98.55
15.0,167.04,-106.979,16.98436,15,26.8933,26.8936,5.415009,5.415252,0.10547,12.364,4.5457,0.0501,0,4.5457,0.0352,2.7416,0,4.4018,0,0,0,2.7417,34.3466,34.348,22.2607,22.2617,6.4518,197.232,98.003
16.0,168.755,-106.979,16.98436,16,26.8882,26.8886,5.414757,5.414992,0.10248,12.3642,4.5455,0.0501,0,4.5455,0.0342,2.7405,0,4.402,0,0,0,2.7405,34.3482,34.3495,22.2636,22.2645,6.4753,197.948,98.351
17.0,169.689,-106.979,16.98437,17,26.8652,26.8628,5.413429,5.4135,0.12775,12.3648,4.5448,0.0501,0,4.5448,0.0426,2.7498,0,4.4033,0,0,0,2.7498,34.3555,34.3577,22.2765,22.2789,6.5135,199.115,98.899
18.0,170.723,-106.979,16.98438,18,26.755,26.7546,5.40746,5.407646,0.10677,12.3654,4.5441,0.0501,0,4.5441,0.0356,2.7558,0,4.4046,0,0,0,2.7558,34.3942,34.3958,22.3407,22.342,6.5407,199.933,99.151
