,Total PTMs,Cys carb.,Met oxi.,Asp deam.,Glut deam.,Lys hydr,Pro hydr,Lys meth.,Arg meth.
50-55,478,61,178,29,1,48,68,44,49
55-60,368,47,129,19,0,35,55,50,33
60-65,319,20,111,26,1,27,57,37,40
65-70,372,32,131,29,1,27,72,36,44
70-75,256,26,90,15,5,28,37,22,33
75-80,212,13,70,22,1,16,32,29,29
80-85,195,5,66,18,6,16,35,21,28
85-90,133,4,38,22,5,7,22,8,27
90-95,85,9,26,20,2,2,15,3,8
95-100,19,3,2,11,2,0,0,0,1
total,2437,220,841,211,24,206,393,250,292
rel,1.53270440251572,0.138364779874214,0.528930817610063,0.132704402515723,0.015094339622642,0.129559748427673,0.247169811320755,0.157232704402516,0.183647798742138
