Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 233_JA4_265m_0.3_SKQ17_P2,Area 233_JA4_265m_0.3_SKQ17_P2,#Peptides,#Unique,#Spec 233_JA4_265m_0.3_SKQ17_P2,PTM,Avg. Mass,Description
3,392872,NP_85m_PROKKA_14278,234.81,53,53,2.52E5,76,1,106,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,392873,NP_300m_PROKKA_22657,234.81,53,53,2.52E5,76,1,106,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,404139,ETNP_140m_PROKKA_69877,221.02,44,44,2.35E4,57,1,89,Carbamidomethylation; Oxidation (M),35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,404150,ETNP_180m_PROKKA_32538,217.81,53,53,1.68E5,61,1,89,Carbamidomethylation; Oxidation (M),39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
17,393336,NP_300m_PROKKA_02121,217.39,36,36,9.09E4,46,1,76,Carbamidomethylation; Oxidation (M),39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
25,392072,gi|54036848,201.25,11,11,1.01E9,8,8,51,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
52,392754,NP_300m_PROKKA_06204,188.87,26,26,2.3E7,8,6,18,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
52,392755,ETNP_120m_particle_PROKKA_168206,188.87,26,26,2.3E7,8,6,18,Carbamidomethylation; Oxidation (M),39375,Bacterial extracellular solute-binding protein
52,392756,ETNP_120m_PROKKA_307121,188.87,26,26,2.3E7,8,6,18,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
52,392757,ETNP_140m_PROKKA_80561,188.87,26,26,2.3E7,8,6,18,Carbamidomethylation; Oxidation (M),39385,Bacterial extracellular solute-binding protein
39,392780,NP_300m_PROKKA_05383,172.42,47,47,8.07E6,14,7,21,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
39,392781,ETNP14_120maa_PROKKA_113527,172.42,47,47,8.07E6,14,7,21,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
39,392782,ETNP_120m_PROKKA_05595,172.42,47,47,8.07E6,14,7,21,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
39,392783,ETNP_160m_PROKKA_33848,172.42,47,47,8.07E6,14,7,21,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
39,392784,ETNP_140m_PROKKA_123038,172.42,47,47,8.07E6,14,7,21,Carbamidomethylation; Deamidation (NQ),36427,General L-amino acid-binding periplasmic protein AapJ precursor
37,404155,ETNP_110m_PROKKA_39770,160.03,74,74,3.63E6,16,5,19,,16208,Phasin protein
37,404156,NP_300m_PROKKA_12723,160.03,56,56,3.63E6,16,5,19,,22261,Phasin protein
37,404157,SAR11cell_DLNKFFIG_08103,160.03,56,56,3.63E6,16,5,19,,22375,hypothetical protein
37,404158,ETNP_120m_particle_PROKKA_230148,160.03,56,56,3.63E6,16,5,19,,22375,Phasin protein
50,56,WP_018047900,153.52,7,7,1.96E6,10,1,11,,133487,hypothetical protein Nitrospina sp AB-629-B18
31,393246,ETNP_120m_free_PROKKA_319751,147.78,19,19,1.88E7,19,7,22,,63774,Multicopper oxidase
71,393266,NP_300m_PROKKA_19608,146.89,20,20,7.51E6,5,3,13,Carbamidomethylation,39249,Bacterial extracellular solute-binding protein
56,392559,ETNP_120m_free_PROKKA_225216,143.37,34,34,2.27E6,10,3,14,Carbamidomethylation,32779,General L-amino acid-binding periplasmic protein AapJ precursor
56,392560,ETNP_140m_PROKKA_10452,143.37,31,31,2.27E6,10,3,14,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
56,392562,ETNP_160m_PROKKA_119323,143.37,31,31,2.27E6,10,3,14,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
56,392564,NP_300m_PROKKA_13658,143.37,31,31,2.27E6,10,3,14,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
56,392565,ETNP_300m_PROKKA_105808,143.37,31,31,2.27E6,10,3,14,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
56,392566,ETNP_180m_PROKKA_126275,143.37,31,31,2.27E6,10,3,14,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
56,392567,ETNP_120m_PROKKA_168017,143.37,31,31,2.27E6,10,3,14,Carbamidomethylation,36148,General L-amino acid-binding periplasmic protein AapJ precursor
