Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
6,10413,PMM1483,265.84,27,27,4.23E8,30,30,57,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
1,9880,PMM1436,261.69,44,44,9.08E9,41,41,433,Cation:Fe[II]; Oxidation (M); Deamidation (NQ),57441,| groEL | chaperonin GroEL
9,9877,PMM1485,255.19,26,26,5.64E8,23,23,48,Carbamidomethylation; Oxidation (M); Deamidation (NQ),122908,| rpoB | DNA-directed RNA polymerase subunit beta
35,10485,PMM0226,241.62,32,32,1.66E8,13,13,24,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66746,| ftsH2 | cell division protein FtsH2
7,16009,PMM0642,241.34,38,38,1.57E9,17,17,58,Oxidation (M); Deamidation (NQ),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
4,10114,PMM1508,239.19,45,45,7.68E8,27,27,66,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ),43622,| tuf | elongation factor Tu
15,9717,PMM1088,239.05,27,27,3.37E8,19,19,38,Oxidation (M); Methylation(KR),93427,| clpC | ClpC
3,10505,PMM1309,238.86,48,48,1.67E9,19,19,67,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ),39151,| ftsZ | cell division protein FtsZ
12,12823,PMM1287,227.35,31,31,2.38E8,20,20,42,,79939,| PMM1287 | hypothetical protein
57,10111,PMM0743,227.13,24,24,8.57E7,12,12,17,Carbamidomethylation; Cation:Fe[II]; Oxidation (M),68885,| ftsH1 | FtsH ATP-dependent protease-like protein
27,10593,PMM1438,226.56,38,38,2.52E8,13,13,28,Cation:Fe[II]; Oxidation (M),51980,| atpB | F0F1 ATP synthase subunit beta
21,9922,PMM0661,220.77,25,25,2.29E8,14,14,32,Carbamidomethylation; Deamidation (NQ),90662,| nrdJ | ribonucleotide reductase (class II)
44,13311,PMM1492,215.25,29,29,1.7E8,11,11,22,Carbamidomethylation; Oxidation (M),52999,| nusA | transcription elongation factor NusA
2,16023,PMM0407,210.44,35,35,5.89E8,9,9,69,Carbamidomethylation; Cation:Fe[II]; Oxidation (M),34981,| cysK1 | O-acetylserine (thiol)-lyase A
24,16015,PMM0483,204.68,44,44,3.67E8,14,14,30,Carbamidomethylation; Oxidation (M),46265,| hemL | glutamate-1-semialdehyde aminotransferase
5,9777,PMM1704,204.57,27,27,1.23E9,12,12,59,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ); Methylation(KR),68244,| dnaK | molecular chaperone DnaK
43,12795,PMM1063,197.62,28,28,9.51E7,15,15,22,Carbamidomethylation; Deamidation (NQ); Methylation(KR),96574,| gyrA | DNA gyrase subunit A
29,12807,PMM1264,197.21,21,21,3.45E8,10,10,28,Oxidation (M); Deamidation (NQ),67227,| ftsH3 | cell division protein FtsH3
22,16045,PMM1535,195.84,40,40,7.21E8,12,12,32,Oxidation (M); Deamidation (NQ),34282,| rpoA | DNA-directed RNA polymerase subunit alpha
14,10236,PMM1484,195.36,34,34,2.78E8,18,18,39,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ); Methylation(KR),72380,| rpoC1 | DNA-directed RNA polymerase subunit gamma
54,9842,PMM1712,194.65,20,20,7.76E7,14,14,19,Carbamidomethylation; Cation:Fe[II]; Deamidation (NQ); Methylation(KR),105952,| uvrA | excinuclease ABC subunit A
25,16029,PMM0208,193.26,28,28,4.17E8,10,10,27,Carbamidomethylation,45899,| eno | enolase
46,16025,PMM0311,191.97,27,27,2.93E8,7,7,22,Carbamidomethylation; Oxidation (M); Deamidation (NQ),45083,| metK | S-adenosylmethionine synthetase
45,10009,PMM1509,190.55,18,18,9.93E7,9,9,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ),75690,| fusA | elongation factor G
28,16076,PMM1113,188.87,61,61,1.94E8,11,11,26,Carbamidomethylation; Cation:Fe[II]; Oxidation (M); Deamidation (NQ),26550,| PMM1113 | two-component response regulator
31,10147,PMM1191,188.58,20,20,3E8,14,13,27,Carbamidomethylation; Cation:Fe[II]; Deamidation (NQ),78668,| pnp | polynucleotide phosphorylase/polyadenylase
