Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja02-20170410,Area etnp-ja02-20170410,#Peptides,#Unique,#Spec etnp-ja02-20170410,PTM,Avg. Mass,Description
3,133820,ETNP_90,289.73,89,89,,57,0,111,Oxidation (M); Deamidation (NQ); Formylation; Dehydration; Phosphorylation (STY); 3 more,11111,Photosystem II 12 kDa extrinsic protein
3,133821,ETNP_100,289.73,76,76,,57,0,111,Oxidation (M); Deamidation (NQ); Formylation; Dehydration; Phosphorylation (STY); 3 more,13052,Photosystem II 12 kDa extrinsic protein precursor
3,133822,ETNP_120,289.73,76,76,,57,0,111,Oxidation (M); Deamidation (NQ); Formylation; Dehydration; Phosphorylation (STY); 3 more,13052,Photosystem II 12 kDa extrinsic protein precursor
3,133823,ETNP_140,289.73,76,76,,57,0,111,Oxidation (M); Deamidation (NQ); Formylation; Dehydration; Phosphorylation (STY); 3 more,13052,Photosystem II 12 kDa extrinsic protein precursor
2,133826,ETNP_120,277.97,76,76,7.95E7,53,29,109,Oxidation (M); Deamidation (NQ); Formylation; Methylation(others); Sodium adduct; 3 more,13019,Photosystem II 12 kDa extrinsic protein precursor
2,133827,ETNP_90,277.97,76,76,7.95E7,53,29,109,Oxidation (M); Deamidation (NQ); Formylation; Methylation(others); Sodium adduct; 3 more,13019,Photosystem II 12 kDa extrinsic protein precursor
2,133828,ETNP_100,277.97,76,76,7.95E7,53,29,109,Oxidation (M); Deamidation (NQ); Formylation; Methylation(others); Sodium adduct; 3 more,13019,Photosystem II 12 kDa extrinsic protein precursor
6,133824,ETNP_160,275.56,76,76,5.42E6,53,8,94,Oxidation (M); Deamidation (NQ); Dehydration; Phosphorylation (STY); Sodium adduct; Tyrosine oxidation to 2-aminotyrosine,13076,Photosystem II 12 kDa extrinsic protein precursor
6,133825,ETNP_110,275.56,76,76,5.42E6,53,8,94,Oxidation (M); Deamidation (NQ); Dehydration; Phosphorylation (STY); Sodium adduct; Tyrosine oxidation to 2-aminotyrosine,13042,Photosystem II 12 kDa extrinsic protein precursor
1,101767,54036848,238.60,12,12,7.82E8,21,15,147,Deamidation (NQ); Formylation; Methylation(KR); Dehydration; Sulfation; 15 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
9,133923,NP_100,236.33,72,72,3.62E7,39,39,68,Deamidation (NQ); Sodium adduct; Mutation,7685,Photosystem I reaction center subunit IV
