Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja02-20170410,Area etnp-ja02-20170410,#Peptides,#Unique,#Spec etnp-ja02-20170410,PTM,Avg. Mass,Description
4,133820,ETNP_90,290.27,89,89,,58,0,103,Oxidation (M),11111,Photosystem II 12 kDa extrinsic protein
4,133821,ETNP_100,290.27,76,76,,58,0,103,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
4,133822,ETNP_120,290.27,76,76,,58,0,103,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
4,133823,ETNP_140,290.27,76,76,,58,0,103,Oxidation (M),13052,Photosystem II 12 kDa extrinsic protein precursor
7,133826,ETNP_120,277.74,76,76,7.62E7,52,27,97,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
7,133827,ETNP_90,277.74,76,76,7.62E7,52,27,97,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
7,133828,ETNP_100,277.74,76,76,7.62E7,52,27,97,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
7,133828,ETNP_100,277.74,76,76,7.62E7,52,27,97,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
8,133824,ETNP_160,276.15,76,76,5.42E6,54,8,90,Oxidation (M),13076,Photosystem II 12 kDa extrinsic protein precursor
8,133825,ETNP_110,276.15,76,76,5.42E6,54,8,90,Oxidation (M),13042,Photosystem II 12 kDa extrinsic protein precursor
15,133923,NP_100,233.91,72,72,3.56E7,36,36,60,,7685,Photosystem I reaction center subunit IV
15,133924,ETNP_140,233.91,72,72,3.56E7,36,36,60,,7685,Photosystem I reaction center subunit IV
15,133925,ETNP_110,233.91,72,72,3.56E7,36,36,60,,7685,Photosystem I reaction center subunit IV
15,133926,ETNP_100,233.91,72,72,3.56E7,36,36,60,,7671,Photosystem I reaction center subunit IV
15,133927,ETNP_120,233.91,72,72,3.56E7,36,36,60,,7685,Photosystem I reaction center subunit IV
15,133926,ETNP_100,233.91,72,72,3.56E7,36,36,60,,7671,Photosystem I reaction center subunit IV
5,102239,ETNP_140,228.17,93,93,3.86E7,67,3,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102240,ETNP_110,228.17,93,93,3.86E7,67,3,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102246,ETNP14_68,228.17,93,93,3.86E7,67,3,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102241,ETNP_100,228.17,93,93,3.86E7,67,3,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102244,NP_85,228.17,93,93,3.86E7,67,3,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
5,102248,ETNP_90,228.17,93,93,3.86E7,67,3,100,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
6,102245,ETNP_140,226.84,93,93,2.63E7,67,3,99,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
6,102242,ETNP_90,226.84,93,93,2.63E7,67,3,99,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
6,102247,ETNP_100,226.84,93,93,2.63E7,67,3,99,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
6,102243,ETNP_110,226.84,93,93,2.63E7,67,3,99,Carbamidomethylation; Oxidation (M),12780,hypothetical protein
19,133819,ETNP_90,226.75,57,57,,37,0,55,Oxidation (M),29344,Photosystem II manganese-stabilizing polypeptide precursor
17,133818,ETNP_100,226.20,59,59,3.16E5,38,1,57,Oxidation (M),29257,Photosystem II manganese-stabilizing polypeptide precursor
25,102211,ETNP_120,226.15,68,68,2.32E7,34,23,47,Carbamidomethylation; Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
25,102211,ETNP_120,226.15,68,68,2.32E7,34,23,47,Carbamidomethylation; Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
25,102210,ETNP_90,226.15,68,68,2.32E7,34,23,47,Carbamidomethylation; Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
16,133817,ETNP_90,224.44,65,65,3.78E6,39,11,57,,29123,Photosystem II manganese-stabilizing polypeptide precursor
9,102719,ETNP_120,217.91,73,73,4.41E7,51,41,78,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
