Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja04-20170410,Area etnp-ja04-20170410,#Peptides,#Unique,#Spec etnp-ja04-20170410,PTM,Avg. Mass,Description
5,134117,ETNP14_68,276.97,66,66,,115,0,161,Carbamidomethylation; Oxidation (M),39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,134086,NP_85,276.24,68,68,,126,0,173,Carbamidomethylation; Oxidation (M),39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,134087,NP_125,276.24,68,68,,126,0,173,Carbamidomethylation; Oxidation (M),39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,134093,ETNP14_68,275.48,67,67,,124,0,171,Carbamidomethylation; Oxidation (M),39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,134068,ETNP14_120,275.11,63,63,,111,0,155,Carbamidomethylation; Oxidation (M),39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,134069,ETNP14_68,275.11,63,63,,111,0,155,Carbamidomethylation; Oxidation (M),39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,134204,SAR11,273.96,67,67,,120,0,165,Carbamidomethylation; Oxidation (M),39865,Monocarboxylate 2-oxoacid-binding periplasmic protein
3,134217,NP_85,273.41,72,72,2.52E5,121,1,166,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,134218,NP_300,273.41,72,72,2.52E5,121,1,166,Carbamidomethylation; Oxidation (M),39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,134392,NP_125,270.17,62,62,,95,0,135,Carbamidomethylation; Oxidation (M),39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,134394,NP_85,270.17,62,62,,95,0,135,Carbamidomethylation; Oxidation (M),39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,152226,ETNP_100,266.16,65,65,,101,0,145,Carbamidomethylation; Oxidation (M),39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,152223,ETNP_120,265.86,52,52,,92,0,132,Carbamidomethylation; Oxidation (M),39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,152227,ETNP_120,264.59,68,68,,97,0,137,Carbamidomethylation; Oxidation (M),39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,134393,ETNP14_120,264.19,60,60,,84,0,122,Carbamidomethylation; Oxidation (M),39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,134216,NP_100,262.47,71,71,,108,0,151,Carbamidomethylation; Oxidation (M),31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,134391,NP_300,262.15,69,69,,98,0,138,Carbamidomethylation; Oxidation (M),39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
20,134067,ETNP14_120,260.69,60,60,,84,0,121,Carbamidomethylation; Oxidation (M),31627,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,152232,ETNP_140,259.82,56,56,,88,0,130,Carbamidomethylation; Oxidation (M),35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,152222,ETNP_120,259.81,77,77,,91,0,133,Carbamidomethylation; Oxidation (M),28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,134239,NP_300,257.78,53,53,9.09E4,85,1,125,Carbamidomethylation; Oxidation (M),39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
