Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 378,Area 378,#Peptides,#Unique,#Spec 378,PTM,Avg. Mass,Description
1,2,54036848,141.55,11,11,1.57E8,8,6,27,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,19,XP_003061104,100.04,20,20,3.4E7,21,9,26,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
4,587,ETNP14_120,75.37,8,8,9.37E5,7,2,9,Carbamidomethylation,42383,Bacterial actin-related protein
3,187,ETNP_90,68.17,11,11,1.46E6,9,2,11,Oxidation (M),33070,Bacterial actin-related protein
5,1,|#CONTAM#TRYP_PIG|,65.72,32,32,2.66E8,7,7,8,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
10,5,XP_003062500,61.98,12,12,2.27E6,6,4,6,,49730,alpha tubulin  Micromonas pusilla CCMP1545
10,6,XP_003058621,61.98,12,12,2.27E6,6,4,6,,49730,alpha tubulin  Micromonas pusilla CCMP1545
11,327514,|#CONTAM#KCRM_HUMAN|,58.56,7,7,3.62E6,5,5,5,,43101,sp|#CONTAM#KCRM_HUMAN|
16,1719,ETNP_120,56.60,6,6,1.1E6,3,2,3,,46030,Enolase
16,1720,ETNP_180,56.60,6,6,1.1E6,3,2,3,,46033,Enolase
16,1808,ETNP14_120,56.60,6,6,1.1E6,3,2,3,,46954,Enolase
9,292,ETNP_70,56.09,10,10,7.07E4,6,1,7,,41848,Bacterial actin-related protein
6,1276,CAN98337.1,52.24,3,3,1.87E4,3,1,8,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
6,1326,WP_010203998.1,52.24,3,3,1.87E4,3,1,8,,91159,ATP-dependent Clp protease ATP-binding protein [Salinibacterium sp. PAMC 21357]
6,1345,WP_009773213.1,52.24,3,3,1.87E4,3,1,8,,91110,ATP-dependent Clp protease ATP-binding protein [marine actinobacterium PHSC20C1]
6,1274,WP_012182355.1,52.24,3,3,1.87E4,3,1,8,,92767,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
6,1402,ActinobacteriaREDSEAS09_EJKBNLBD_00950,52.24,3,3,1.87E4,3,1,8,,93125,ATP-dependent Clp protease ATP-binding subunit ClpC1
6,1403,ActinobacteriaREDSEAS14_EEFFFEGA_01239,52.24,3,3,1.87E4,3,1,8,,93125,ATP-dependent Clp protease ATP-binding subunit ClpC1
6,1275,WP_012184686.1,52.24,3,3,1.87E4,3,1,8,,93571,ATP-dependent Clp protease ATP-binding protein [Salinispora arenicola]
8,66184,KUK91024,51.25,3,3,3.63E5,3,1,8,,98076,ATP-dependent chaperone ClpB Marinimicrobia bacterium 46_43
8,66185,KUK53663,51.25,3,3,3.63E5,3,1,8,,98076,ATP-dependent chaperone ClpB Marinimicrobia bacterium 46_47
7,1338,WP_012180368.1,50.75,3,3,2.06E5,3,1,8,,93872,ATP-dependent chaperone ClpB [Salinispora arenicola]
14,165850,ABQ30995.1,46.10,5,5,1.85E6,3,3,3,,32540,transcriptional regulator  LysR family [Acidiphilium cryptum JF-5]
21,165590,ETNP_70,46.07,6,6,2.42E6,2,2,2,,17889,hypothetical protein
15,486,ACA20889.1,45.17,6,6,4.52E5,3,1,3,,51709,ATP synthase F1  beta subunit [Methylobacterium sp. 4-46]
13,698,ABI78817.1,45.06,6,6,2.86E5,3,1,3,,50900,ATP synthase F1  beta subunit [Hyphomonas neptunium ATCC 15444]
13,643,EAQ04302.1,45.06,6,6,2.86E5,3,1,3,,49849,ATP synthase subunit B [Pseudooceanicola batsensis HTCC2597]
13,508,WP_035334816.1,45.06,6,6,2.86E5,3,1,3,,53997,MULTISPECIES: F0F1 ATP synthase subunit beta [Dokdonia]
13,510,WP_013750419.1,45.06,6,6,2.86E5,3,1,3,,53933,ATP synthase subunit beta [Dokdonia sp. 4H-3-7-5]
13,435,ABG33014.1,45.06,6,6,2.86E5,3,1,3,,50569,ATP synthase F1  beta subunit [Roseobacter denitrificans OCh 114]
13,642,ADH90757.1,45.06,6,6,2.86E5,3,1,3,,50826,ATP synthase F1  beta subunit [Starkeya novella DSM 506]
13,699,ABS63085.1,45.06,6,6,2.86E5,3,1,3,,51256,ATP synthase F1  beta subunit [Parvibaculum lavamentivorans DS-1]
