Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 371,Area 371,#Peptides,#Unique,#Spec 371,PTM,Avg. Mass,Description
1,2,54036848,179.12,9,9,2.43E8,14,10,41,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,1,|#CONTAM#TRYP_PIG|,145.63,39,39,4.64E8,9,9,15,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
4,1276,CAN98337.1,88.34,3,3,2.73E6,5,1,8,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
5,1402,ActinobacteriaREDSEAS09_EJKBNLBD_00950,87.51,3,3,1.93E4,5,1,7,,93125,ATP-dependent Clp protease ATP-binding subunit ClpC1
5,1403,ActinobacteriaREDSEAS14_EEFFFEGA_01239,87.51,3,3,1.93E4,5,1,7,,93125,ATP-dependent Clp protease ATP-binding subunit ClpC1
8,132,|#CONTAM#K1C9_HUMAN|,75.07,5,5,4.24E5,3,3,3,,62129,sp|#CONTAM#K1C9_HUMAN|
10,166,|#CONTAM#K2C1_HUMAN|,53.24,5,5,2.24E5,2,2,2,Carbamidomethylation,65886,sp|#CONTAM#K2C1_HUMAN|
7,2143,ETNP_120,49.54,20,20,1.67E7,2,2,4,,5568,hypothetical protein
7,2142,ETNP_180,49.54,20,20,1.67E7,2,2,4,,5568,hypothetical protein
27,661,|#CONTAM#K1C10_HUMAN|,38.92,3,3,2.91E5,1,1,1,,59519,sp|#CONTAM#K1C10_HUMAN|
51,2147,CBE69591,33.79,2,2,1.74E6,1,1,1,,58424,Indole-3-pyruvate decarboxylase Indolepyruvate decarboxylase Candidatus Methylomirabilis oxyfera
51,1617,WP_015349883,33.79,0,0,1.74E6,1,1,1,,202176,polyketide synthase Myxococcus stipitatus
52,86463,ETNP_120,31.63,5,5,5.98E4,1,1,1,,16142,hypothetical protein
53,91891,ETNP_100,30.89,7,7,2.21E4,1,1,1,,12084,hypothetical protein
54,91893,WP_031441904,29.87,1,1,4.73E4,1,1,1,,121603,hypothetical protein  Arenibacter algicola
55,56592,ETNP_180,28.57,5,5,1.56E6,1,1,1,,17234,phosphodiesterase YaeI
55,56594,ETNP_160,28.57,5,5,1.56E6,1,1,1,,19125,phosphodiesterase YaeI
55,56595,ETNP_120,28.57,4,4,1.56E6,1,1,1,,21367,phosphodiesterase YaeI
55,56596,ETNP_300,28.57,3,3,1.56E6,1,1,1,,27069,putative metallophosphoesterase
55,56597,ETNP_120,28.57,3,3,1.56E6,1,1,1,,27069,putative metallophosphoesterase
56,91894,ETNP_160,28.36,1,1,1.24E5,1,1,1,,75149,Polyribonucleotide nucleotidyltransferase
40,91960,ETNP14_120,27.26,5,5,1.47E5,1,1,1,,28826,Methyltransferase domain protein
57,91972,WP_011131643.1,26.41,1,1,4.22E4,1,1,1,,93039,DNA gyrase subunit A [Prochlorococcus marinus]
13,42704,CAN91477.1,25.86,2,2,6.13E7,1,1,2,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
58,3181,ETNP14_120,24.78,6,6,6.11E5,1,1,1,,25268,lipid-A-disaccharide synthase
60,45594,ETNP_120,23.21,3,3,5.28E4,1,1,1,,66765,putative DNA double-strand break repair Rad50 ATPase
61,86493,NP_125,22.98,10,10,5.22E6,1,1,1,,9946,Dual-specificity RNA methyltransferase RlmN
61,86494,ETNP_100,22.98,6,6,5.22E6,1,1,1,,18578,putative dual-specificity RNA methyltransferase RlmN
61,86495,ETNP_140,22.98,5,5,5.22E6,1,1,1,,21139,putative dual-specificity RNA methyltransferase RlmN
61,86496,ETNP_120,22.98,4,4,5.22E6,1,1,1,,24074,putative dual-specificity RNA methyltransferase RlmN
61,86497,ETNP_180,22.98,4,4,5.22E6,1,1,1,,26940,putative dual-specificity RNA methyltransferase RlmN
61,86498,ETNP_160,22.98,4,4,5.22E6,1,1,1,,28256,putative dual-specificity RNA methyltransferase RlmN
61,86499,NP_85,22.98,2,2,5.22E6,1,1,1,,42483,putative dual-specificity RNA methyltransferase RlmN
61,86500,ETNP_90,22.98,2,2,5.22E6,1,1,1,,42387,putative dual-specificity RNA methyltransferase RlmN
62,92005,ETNP14_120,22.00,3,3,9.17E5,1,1,1,,36406,hypothetical protein
64,92013,EJK77089,21.36,2,2,1.83E5,1,1,1,,48434,hypothetical protein THAOC_01102  Thalassiosira oceanica
65,92014,ETNP_120,21.22,5,5,1.35E4,1,1,1,,16865,hypothetical protein
65,92015,ETNP_120,21.22,5,5,1.35E4,1,1,1,,16865,hypothetical protein
65,92016,ETNP_140,21.22,5,5,1.35E4,1,1,1,,16865,hypothetical protein
65,92017,ETNP_300,21.22,5,5,1.35E4,1,1,1,,16865,hypothetical protein
66,92018,WP_013109360.1,21.04,10,10,0E0,1,1,1,,13428,hypothetical protein [Planctopirus limnophila]
31,45400,ACA18983.1,20.92,2,2,0E0,1,1,1,,89382,ABC transporter related [Methylobacterium sp. 4-46]
42,57639,virus_CCADEAMM_33148,20.70,0,0,1.26E4,1,1,1,,198902,hypothetical protein
39,91959,ETNP_120,20.66,3,3,2.21E6,1,1,1,,25273,hypothetical protein
68,92024,WP_012624293,20.52,4,4,0E0,1,1,1,,50370,histidine kinase Desulfovibrio desulfuricans
69,5740,WP_013559382,20.36,6,6,4.09E3,1,1,1,Oxidation (M),33021,hypothetical protein Anaerolinea thermophila
