Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 373,Area 373,#Peptides,#Unique,#Spec 373,PTM,Avg. Mass,Description
1,2,54036848,220.99,9,9,3.96E8,13,9,41,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,3,ETNP_100,207.21,37,37,9.22E7,27,27,39,,9588,hypothetical protein
2,4,ETNP_100,180.18,89,89,7.55E7,28,28,41,Oxidation (M),5311,hypothetical protein
8,1,|#CONTAM#TRYP_PIG|,130.82,31,31,9.81E7,14,14,17,Carbamidomethylation,24409,sp|#CONTAM#TRYP_PIG|
5,42,ETNP_100,130.77,64,64,2.32E6,16,4,20,,7412,Core histone H2A/H2B/H3/H4
7,9,XP_003062035,126.35,38,38,3.47E5,14,1,18,,12701,predicted protein  Micromonas pusilla CCMP1545
7,10,XP_003058519,126.35,38,38,3.47E5,14,1,18,,12701,predicted protein  Micromonas pusilla CCMP1545
7,11,XP_003055512,126.35,38,38,3.47E5,14,1,18,,12701,histone H2B  Micromonas pusilla CCMP1545
7,13,ETNP_70,126.35,36,36,3.47E5,14,1,18,,13742,Core histone H2A/H2B/H3/H4
7,12,XP_003080759,126.35,35,35,3.47E5,14,1,18,,13731,histone H2B ISS  Ostreococcus tauri
7,14,XP_003082252,126.35,32,32,3.47E5,14,1,18,,15314,histone H2B ISS  Ostreococcus tauri
7,15,ETNP_70,126.35,29,29,3.47E5,14,1,18,,16840,Core histone H2A/H2B/H3/H4
4,19,XP_003061104,124.84,23,23,1.62E6,23,4,26,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
9,74,ETNP_90,123.38,33,33,1.77E6,13,1,17,,13120,Core histone H2A/H2B/H3/H4
9,75,ETNP_70,123.38,33,33,1.77E6,13,1,17,,13147,Core histone H2A/H2B/H3/H4
11,294,ETNP_90,118.36,29,29,2.48E5,11,2,14,,12542,Core histone H2A/H2B/H3/H4
18,292,ETNP_70,116.48,11,11,1.53E6,8,2,10,,41848,Bacterial actin-related protein
21,312,XP_002179551,114.19,26,26,,9,0,9,,12629,histone H2B isoform 1a  Phaeodactylum tricornutum CCAP 1055
21,313,XP_002179210,114.19,26,26,,9,0,9,,12629,histone H2B isoform 1b  Phaeodactylum tricornutum CCAP 1055
21,327,EJK69581,114.19,25,25,,9,0,9,,12922,hypothetical protein THAOC_09149  Thalassiosira oceanica
21,328,EJK60528,114.19,25,25,,9,0,9,,12922,hypothetical protein THAOC_19091  Thalassiosira oceanica
21,329,EJK52561,114.19,25,25,,9,0,9,,12922,hypothetical protein THAOC_28149  Thalassiosira oceanica
21,332,EJK74337,114.19,18,18,,9,0,9,,17560,hypothetical protein THAOC_03988  Thalassiosira oceanica
21,340,EJK52043,114.19,12,12,,9,0,9,,27028,hypothetical protein THAOC_28729 partial  Thalassiosira oceanica
21,343,EJK62506,114.19,10,10,,9,0,9,,32474,hypothetical protein THAOC_16881  Thalassiosira oceanica
22,702,ETNP_120,112.19,10,10,1.65E6,8,1,8,,23591,Core histone H2A/H2B/H3/H4
22,702,ETNP_120,112.19,10,10,1.65E6,8,1,8,,23591,Core histone H2A/H2B/H3/H4
22,702,ETNP_120,112.19,10,10,1.65E6,8,1,8,,23591,Core histone H2A/H2B/H3/H4
6,5,XP_003062500,111.12,28,28,3.34E6,18,15,18,Carbamidomethylation,49730,alpha tubulin  Micromonas pusilla CCMP1545
6,6,XP_003058621,111.12,28,28,3.34E6,18,15,18,Carbamidomethylation,49730,alpha tubulin  Micromonas pusilla CCMP1545
16,582,ETNP_70,110.90,34,34,2.45E6,11,5,12,,13534,Core histone H2A/H2B/H3/H4
26,622,ETNP_90,102.57,22,22,1.52E5,7,1,7,,12758,Core histone H2A/H2B/H3/H4
10,49,ETNP_100,101.92,47,47,1.32E6,12,1,14,,11381,Core histone H2A/H2B/H3/H4
14,35,XP_002179286,99.87,47,47,7.18E5,12,3,13,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
14,37,EJK69577,99.87,47,47,7.18E5,12,3,13,,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
14,36,XP_002179505,99.87,47,47,7.18E5,12,3,13,,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
14,38,EJK72475,99.87,41,41,7.18E5,12,3,13,,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
14,39,EJK63755,99.87,13,13,7.18E5,12,3,13,,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
13,60,XP_003063038,93.73,47,47,4.52E5,12,1,13,,11395,predicted protein  Micromonas pusilla CCMP1545
13,61,ETNP_70,93.73,47,47,4.52E5,12,1,13,,11395,Core histone H2A/H2B/H3/H4
13,62,XP_003061514,93.73,47,47,4.52E5,12,1,13,,11395,histone H4  Micromonas pusilla CCMP1545
13,58,ETNP_120,93.73,47,47,4.52E5,12,1,13,,11365,Core histone H2A/H2B/H3/H4
13,59,XP_003061756,93.73,47,47,4.52E5,12,1,13,,11395,predicted protein  Micromonas pusilla CCMP1545
13,63,XP_003059520,93.73,47,47,4.52E5,12,1,13,,11395,predicted protein  Micromonas pusilla CCMP1545
13,73,ETNP_90,93.73,47,47,4.52E5,12,1,13,,11367,Core histone H2A/H2B/H3/H4
13,71,ETNP_70,93.73,47,47,4.52E5,12,1,13,,11367,Core histone H2A/H2B/H3/H4
13,72,ETNP14_68,93.73,47,47,4.52E5,12,1,13,,11367,Core histone H2A/H2B/H3/H4
13,65,XP_003074685,93.73,17,17,4.52E5,12,1,13,,31136,Histone H4 ISS  Ostreococcus tauri
12,187,ETNP_90,91.73,23,23,3.1E5,12,1,14,Carbamidomethylation,33070,Bacterial actin-related protein
25,1551,Verrucomicrobia_HGEPPPGB_01890,85.80,2,2,1.65E5,5,1,8,,97280,Chaperone protein ClpB
24,924,NP_300,85.80,3,3,,5,0,8,,96223,Chaperone protein ClpB
24,1068,WP_013260433,85.80,3,3,,5,0,8,,96155,chaperone protein ClpB gamma proteobacterium HdN1
24,983,ACL71908.1,85.80,3,3,,5,0,8,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
24,948,WP_011376136.1,85.80,3,3,,5,0,8,,97126,chaperone protein ClpB [Prochlorococcus marinus]
24,843,WP_014707596,85.80,3,3,,5,0,8,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
24,940,BAI70784.1,85.80,3,3,,5,0,8,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
24,1067,WP_009773391.1,85.80,3,3,,5,0,8,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
24,998,WP_001210050,85.80,3,3,,5,0,8,,95142,chaperone protein ClpB Acinetobacter baumannii
24,999,ADI91587.1,85.80,3,3,,5,0,8,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
24,957,WP_011132214.1,85.80,3,3,,5,0,8,,97364,chaperone protein ClpB [Prochlorococcus marinus]
24,936,ACJ00008.1,85.80,3,3,,5,0,8,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
20,621,ETNP_60,79.27,33,33,,8,0,9,,13283,Core histone H2A/H2B/H3/H4
27,536,EJK48130,78.21,18,18,9.82E5,6,6,6,Carbamidomethylation,18750,hypothetical protein THAOC_33105  Thalassiosira oceanica
27,238,XP_003061754,78.21,23,23,9.82E5,6,6,6,Carbamidomethylation,15356,histone H3  Micromonas pusilla CCMP1545
27,239,XP_003059221,78.21,23,23,9.82E5,6,6,6,Carbamidomethylation,15356,predicted protein  Micromonas pusilla CCMP1545
27,492,XP_003057560,78.21,23,23,9.82E5,6,6,6,Carbamidomethylation,15436,histone H3  Micromonas pusilla CCMP1545
27,237,XP_003061708,78.21,23,23,9.82E5,6,6,6,Carbamidomethylation,15356,predicted protein  Micromonas pusilla CCMP1545
27,241,ETNP_100,78.21,17,17,9.82E5,6,6,6,Carbamidomethylation,21085,Core histone H2A/H2B/H3/H4
27,240,XP_003082036,78.21,19,19,9.82E5,6,6,6,Carbamidomethylation,18865,Histones H3 and H4 ISS  Ostreococcus tauri
27,245,XP_003079482,78.21,15,15,9.82E5,6,6,6,Carbamidomethylation,23974,Histones H3 and H4 ISS  Ostreococcus tauri
15,180,ETNP_100,77.53,53,53,9.41E5,12,6,12,Carbamidomethylation,14624,Tubulin/FtsZ family  GTPase domain
17,365,ETNP_100,76.71,34,34,4.55E5,9,2,10,,13678,Core histone H2A/H2B/H3/H4
23,503,XP_002183424,76.26,12,12,,7,0,8,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
23,504,XP_002183295,76.26,12,12,,7,0,8,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
23,505,XP_002182221,76.26,12,12,,7,0,8,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
31,77,XP_002180656,69.64,8,8,1.04E5,4,1,4,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
19,432,XP_003074279,69.50,10,10,1.81E6,9,3,9,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
30,1090,XP_003059832,64.38,16,16,4.97E4,4,2,5,,14583,histone H2A  Micromonas pusilla CCMP1545
30,1091,XP_003074738,64.38,16,16,4.97E4,4,2,5,,14945,H2a Histone H2A probable IC  Ostreococcus tauri
32,692,XP_002185049,61.07,14,14,1.45E6,4,4,4,Oxidation (M),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
32,691,EJK77863,61.07,14,14,1.45E6,4,4,4,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
32,693,EJK58168,61.07,14,14,1.45E6,4,4,4,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
32,694,ETNP_90,61.07,13,13,1.45E6,4,4,4,Oxidation (M),18514,EF hand
41,779,XP_002181593,56.74,5,5,1.08E6,3,3,3,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
41,780,XP_002186303,56.74,5,5,1.08E6,3,3,3,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
40,214,ETNP_110,51.41,33,33,3.88E5,3,3,3,Carbamidomethylation,8846,Photosystem I iron-sulfur center
40,216,ETNP_100,51.41,33,33,3.88E5,3,3,3,Carbamidomethylation,8846,Photosystem I iron-sulfur center
40,218,ETNP_90,51.41,33,33,3.88E5,3,3,3,Carbamidomethylation,8846,Photosystem I iron-sulfur center
40,218,ETNP_90,51.41,33,33,3.88E5,3,3,3,Carbamidomethylation,8846,Photosystem I iron-sulfur center
40,215,ETNP14_68,51.41,33,33,3.88E5,3,3,3,Carbamidomethylation,8846,Photosystem I iron-sulfur center
40,216,ETNP_100,51.41,33,33,3.88E5,3,3,3,Carbamidomethylation,8846,Photosystem I iron-sulfur center
78,786,EJK75097,50.79,6,6,2.75E5,2,2,2,,29103,hypothetical protein THAOC_03193  Thalassiosira oceanica
78,97479,XP_002180309,50.79,5,5,2.75E5,2,2,2,,32602,oxygen-evolving enhancer protein 1 precursor  Phaeodactylum tricornutum CCAP 1055
108,1518,Verrucomicrobia_HGEPPPGB_02534,50.76,2,2,5.12E4,1,1,1,,70188,Chaperone protein HtpG
108,1647,WP_015403860,50.76,2,2,5.12E4,1,1,1,,70179,molecular chaperone of HSP90 family Desulfocapsa sulfexigens
108,1630,ETNP_70,50.76,2,2,5.12E4,1,1,1,,73971,Chaperone protein HtpG
108,1296,ETNP14_68,50.76,4,4,5.12E4,1,1,1,,43142,Chaperone protein HtpG
108,1464,KUK50408,50.76,2,2,5.12E4,1,1,1,,65827,Chaperone protein HtpG Marinimicrobia bacterium 46_47
108,1463,KUK91805,50.76,2,2,5.12E4,1,1,1,,72315,molecular chaperone of HSP90 family Marinimicrobia bacterium 46_43
108,1473,BAI71019.1,50.76,2,2,5.12E4,1,1,1,,69461,molecular chaperone [Azospirillum sp. B510]
108,1481,ACI99809.1,50.76,2,2,5.12E4,1,1,1,,69559,molecular chaperone hSP90 family  putative [Rhodospirillum centenum SW]
108,1349,EJK51577,50.76,2,2,5.12E4,1,1,1,,80646,hypothetical protein THAOC_29237  Thalassiosira oceanica
77,1387,ETNP_120,50.56,22,22,8.99E5,2,2,2,,9575,hypothetical protein
77,1218,ETNP_180,50.56,13,13,8.99E5,2,2,2,,15582,hypothetical protein
212,1679,ETNP_120,43.15,2,2,2.47E5,1,1,1,,83676,ATP-dependent Clp protease ATP-binding subunit ClpA
65,113346,ETNP14_120,42.82,6,6,3.95E5,2,2,2,,29235,Flagellin
65,113349,ETNP14_120,42.82,6,6,3.95E5,2,2,2,,28288,Flagellin
33,1270,XP_002178567,38.84,6,6,2.2E5,4,4,4,,72266,ER luminal binding protein precursor  Phaeodactylum tricornutum CCAP 1055
37,113350,WP_025046961,37.93,2,2,2.08E5,2,2,3,,125422,chromosome segregation protein SMC Sulfitobacter mediterraneus
213,113351,virus_CCADEAMM_37360,35.97,3,3,9.05E3,1,1,1,Oxidation (M),32484,hypothetical protein
302,113355,ETNP_150,35.57,5,5,2.42E5,1,1,1,,21662,hypothetical protein
302,113356,ETNP_120,35.57,4,4,2.42E5,1,1,1,,24506,hypothetical protein
302,113358,CAN98364.1,35.57,0,0,2.42E5,1,1,1,,199406,hypothetical protein predicted by Glimmer/Critica [Sorangium cellulosum So ce56]
215,113357,EJK47965,35.52,4,4,3.57E5,1,1,1,,22219,hypothetical protein THAOC_33280  Thalassiosira oceanica
34,77060,XP_003074830,35.47,0,0,3.18E5,2,2,3,,1268732,COG3321 Polyketide synthase modules and related proteins ISS  Ostreococcus tauri
54,113385,ETNP14_120,35.16,2,2,8.26E5,2,2,2,,55812,ATP synthase subunit alpha
303,113359,ETNP_120,34.56,19,19,4.9E5,1,1,1,,5594,hypothetical protein
55,113389,ETNP_100,34.22,12,12,4.74E5,2,1,2,,13601,hypothetical protein
55,113390,ETNP_140,34.22,12,12,4.74E5,2,1,2,,13571,hypothetical protein
55,113391,ETNP_110,34.22,6,6,4.74E5,2,1,2,,28806,hypothetical protein
55,113392,ETNP14_120,34.22,5,5,4.74E5,2,1,2,,35660,hypothetical protein
55,113393,ETNP_160,34.22,5,5,4.74E5,2,1,2,,35727,hypothetical protein
55,113394,ETNP_100,34.22,4,4,4.74E5,2,1,2,,40412,hypothetical protein
66,97503,ETNP_120,34.18,3,3,2.82E6,1,1,2,,30958,Alpha-ketoglutarate-dependent taurine dioxygenase
214,113354,WP_051891908,34.01,1,1,1.28E5,1,1,1,,125823,hypothetical protein  Arenibacter algicola
79,2542,ETNP_70,33.27,13,13,1.7E5,2,1,2,,12114,hypothetical protein
52,471,ETNP_90,33.20,12,12,1.02E5,1,1,1,,10903,10 kDa chaperonin
52,278,ETNP14_68,33.20,12,12,1.02E5,1,1,1,,10831,10 kDa chaperonin
52,573,WP_011127384,33.20,12,12,1.02E5,1,1,1,,10841,molecular chaperone GroES Synechococcus
52,462,WP_011130818,33.20,12,12,1.02E5,1,1,1,,10889,molecular chaperone GroES Prochlorococcus
52,229,CAK24425.1,33.20,12,12,1.02E5,1,1,1,,10774,10 kDa chaperonin (Protein Cpn10) (groES protein) [Synechococcus sp. WH 7803]
52,230,ETNP_90,33.20,10,10,1.02E5,1,1,1,,12346,10 kDa chaperonin
52,279,ETNP_160,33.20,10,10,1.02E5,1,1,1,,12462,10 kDa chaperonin
52,280,ETNP_90,33.20,10,10,1.02E5,1,1,1,,12462,10 kDa chaperonin
52,226,ETNP14_68,33.20,12,12,1.02E5,1,1,1,,10829,10 kDa chaperonin
52,330,ETNP14_68,33.20,12,12,1.02E5,1,1,1,,10831,10 kDa chaperonin
52,519,WP_038546438,33.20,12,12,1.02E5,1,1,1,,10843,chaperonin Synechococcus sp KORDI-100
304,1837,ACL65363.1,32.83,10,10,1.89E5,1,1,1,,10792,ribosomal protein S19 [Anaeromyxobacter dehalogenans 2CP-1]
56,113408,XP_002182083,32.80,3,3,3.58E5,2,2,2,,65154,predicted protein  Phaeodactylum tricornutum CCAP 1055
68,113450,ETNP_120,32.46,7,7,9.56E5,2,2,2,,26593,hypothetical protein
216,97545,ETNP_120,31.90,6,6,9.02E4,1,1,1,,13769,50S ribosomal protein L7/L12
216,97521,ETNP_70,31.90,12,12,9.02E4,1,1,1,,6590,50S ribosomal protein L7/L12
216,97524,ETNP_120,31.90,6,6,9.02E4,1,1,1,,12994,50S ribosomal protein L7/L12
216,97524,ETNP_120,31.90,6,6,9.02E4,1,1,1,,12994,50S ribosomal protein L7/L12
216,97499,ETNP_100,31.90,6,6,9.02E4,1,1,1,,12827,50S ribosomal protein L7/L12
216,97500,ETNP14_68,31.90,6,6,9.02E4,1,1,1,,12827,50S ribosomal protein L7/L12
216,97501,ETNP14_120,31.90,6,6,9.02E4,1,1,1,,12827,50S ribosomal protein L7/L12
216,97502,ETNP_90,31.90,6,6,9.02E4,1,1,1,,12827,50S ribosomal protein L7/L12
216,97522,ETNP_90,31.90,6,6,9.02E4,1,1,1,,12899,50S ribosomal protein L7/L12
216,97544,ADB27487,31.90,6,6,9.02E4,1,1,1,,13340,50S ribosomal protein L7 L12 chloroplast  Thalassiosira oceanica CCMP1005
305,113370,EJK60477,31.76,10,10,8.83E4,1,1,1,,9968,hypothetical protein THAOC_19166 partial  Thalassiosira oceanica
305,113371,EJK66158,31.76,7,7,8.83E4,1,1,1,,13269,hypothetical protein THAOC_12933  Thalassiosira oceanica
305,113372,XP_002186418,31.76,7,7,8.83E4,1,1,1,,13375,predicted protein  Phaeodactylum tricornutum CCAP 1055
83,2146,ACL65389.1,31.53,11,11,1.3E6,2,2,2,,9705,ribosomal protein S16 [Anaeromyxobacter dehalogenans 2CP-1]
146,2424,WP_015442418,31.35,15,15,3.5E5,1,1,1,,7824,hypothetical protein Ilumatobacter coccineus
118,1932,ETNP14_68,31.30,1,1,9.71E5,1,1,1,,59892,NADP-dependent malic enzyme
118,2164,NP_30,31.30,2,2,9.71E5,1,1,1,,36643,NADP-dependent malic enzyme
118,2004,ETNP14_68,31.30,1,1,9.71E5,1,1,1,,83881,NADP-dependent malic enzyme
306,97504,ETNP_70,30.83,8,8,1.66E5,1,1,1,,10701,hypothetical protein
307,113381,ETNP_70,30.80,2,2,8.78E4,1,1,1,,44990,Serine--tRNA ligase
217,113369,ETNP14_68,30.78,10,10,7.91E4,1,1,1,,10312,Guanylate kinase
217,113380,ETNP14_68,30.78,5,5,7.91E4,1,1,1,,22394,Guanylate kinase
218,1039,ETNP_120,30.76,4,4,8.94E4,1,1,1,,28624,hypothetical protein
38,113383,CAI88023.1,29.55,1,1,9.75E5,1,1,3,,85573,conserved protein of unknown function [Pseudoalteromonas haloplanktis TAC125]
38,113386,ETNP_60,29.55,3,3,9.75E5,1,1,3,,29286,hypothetical protein
38,113399,ETNP_60,29.55,5,5,9.75E5,1,1,3,,17752,Taurine--pyruvate aminotransferase
35,2683,WP_011397844,29.19,0,0,4.54E5,2,2,3,,624616,Rhs family protein Hahella chejuensis
69,113457,XP_003058693,29.08,1,1,2.05E5,2,2,2,,203692,voltage-gated ion channel superfamily  Micromonas pusilla CCMP1545
149,113387,XP_003058337,28.75,1,1,1E5,1,1,1,,122001,predicted protein  Micromonas pusilla CCMP1545
149,113403,XP_003057408,28.75,1,1,1E5,1,1,1,,82684,glycosyltransferase family 66 protein partial  Micromonas pusilla CCMP1545
219,113397,ETNP_120,28.53,5,5,7.8E5,1,1,1,,16388,Tetratricopeptide repeat protein
219,113398,XP_003064531,28.53,2,2,7.8E5,1,1,1,,47732,predicted protein  Micromonas pusilla CCMP1545
219,113400,ETNP_120,28.53,3,3,7.8E5,1,1,1,,29932,ABC transporter ATP-binding protein uup
219,113401,ACB26226.1,28.53,1,1,7.8E5,1,1,1,,86994,diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s) [Methylobacterium radiotolerans JCM 2831]
219,113411,ACB26251.1,28.53,4,4,7.8E5,1,1,1,,21522,dephospho-CoA kinase [Methylobacterium radiotolerans JCM 2831]
219,113412,ETNP_70,28.53,3,3,7.8E5,1,1,1,,24521,WD domain  G-beta repeat
219,113413,ETNP_120,28.53,2,2,7.8E5,1,1,1,,34928,3-hydroxyadipyl-CoA dehydrogenase
219,113414,EHR75700,28.53,2,2,7.8E5,1,1,1,,48520,putative L-fuculose phosphate aldolase UW MGII
219,113415,ETNP14_68,28.53,1,1,7.8E5,1,1,1,,82471,hypothetical protein
308,113416,ETNP14_120,28.01,1,1,5.83E4,1,1,1,,83472,Outer membrane protein assembly factor BamA precursor
308,113417,ETNP14_120,28.01,1,1,5.83E4,1,1,1,,89956,Outer membrane protein assembly factor BamA precursor
308,113418,ETNP14_120,28.01,1,1,5.83E4,1,1,1,,89834,Outer membrane protein assembly factor BamA precursor
29,113368,virus_ANPENILN_00460,27.88,1,1,1.54E5,1,1,5,,234570,hypothetical protein
112,113396,WP_015349159,27.33,0,0,4.97E5,1,1,1,,496103,non-ribosomal peptide synthetase Myxococcus stipitatus
309,113423,ETNP14_120,27.29,1,1,4.32E4,1,1,1,,64462,Proteasome-associated ATPase
220,113402,ETNP_160,27.27,2,2,5.32E4,1,1,1,,43305,Putative isomerase YitF
86,113541,ETNP_70,26.84,5,5,1.38E5,2,1,2,,32714,putative ATPase YjoB
86,113560,ETNP14_68,26.84,3,3,1.38E5,2,1,2,,52471,putative ATPase YjoB
86,113561,ETNP_90,26.84,3,3,1.38E5,2,1,2,,52443,putative ATPase YjoB
71,4086,EJK45927,26.83,3,3,5.51E4,2,2,2,,71988,hypothetical protein THAOC_35434 partial  Thalassiosira oceanica
28,113421,ETNP14_68,26.83,5,5,5.19E5,1,1,6,,17919,Murein tetrapeptide carboxypeptidase
28,113422,ETNP_100,26.83,3,3,5.19E5,1,1,6,,34368,putative murein peptide carboxypeptidase
109,113395,WP_015345994,26.63,1,1,3.66E5,1,1,1,,108099,isoleucyl-tRNA synthetase Myxococcus stipitatus
315,113441,XP_002180695,26.51,1,1,8.4E4,1,1,1,,105834,predicted protein  Phaeodactylum tricornutum CCAP 1055
150,42704,CAN91477.1,26.44,2,2,2.01E7,1,1,1,,56854,hypothetical protein sce1319 [Sorangium cellulosum So ce56]
50,113549,BAJ32818.1,26.25,0,0,1.66E5,2,1,2,,680135,putative modular polyketide synthase [Kitasatospora setae KM-6054]
223,1217,ETNP14_120,26.18,2,2,2.81E5,1,1,1,,62277,Chaperone protein DnaK
85,113527,ETNP14_68,26.04,12,12,1.71E5,2,2,2,Oxidation (M),14722,Alpha/beta hydrolase family protein
147,113379,ETNP14_68,26.02,5,5,4.74E5,1,1,1,,19475,hypothetical protein
147,113424,ETNP14_120,26.02,3,3,4.74E5,1,1,1,,27931,Aerobic cobaltochelatase subunit CobS
47,113493,EAQ01559.1,26.02,0,0,,2,0,2,,1009089,calcium binding hemolysin protein  putative [Pseudooceanicola batsensis HTCC2597]
221,113404,WP_052303634,25.99,2,2,9.37E4,1,1,1,,65951,hypothetical protein Pirellula staleyi
310,113425,ETNP_120,25.89,13,13,4.65E4,1,1,1,,7007,hypothetical protein
310,113427,ETNP_300,25.89,4,4,4.65E4,1,1,1,,20562,TPR repeat-containing protein YrrB
310,113428,WP_051847269,25.89,3,3,4.65E4,1,1,1,,31171,hypothetical protein Synechococcus sp KORDI-100
310,113429,ETNP_90,25.89,3,3,4.65E4,1,1,1,,36315,hypothetical protein
120,113373,ETNP_120,25.73,1,1,3.32E5,1,1,1,,79848,Peptidase M16 inactive domain protein
120,113374,ETNP_180,25.73,1,1,3.32E5,1,1,1,,79848,Peptidase M16 inactive domain protein
120,113375,ETNP_160,25.73,1,1,3.32E5,1,1,1,,79848,Peptidase M16 inactive domain protein
