Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja14-20170531,Area etnp-ja14-20170531,#Peptides,#Unique,#Spec etnp-ja14-20170531,PTM,Avg. Mass,Description
1,276240,54036848,179.38,11,11,5.07E8,10,7,31,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
12,276241,|#CONTAM#TRYP_PIG|,130.05,39,39,4.59E8,10,10,19,Carbamidomethylation; Oxidation (M),24409,sp|#CONTAM#TRYP_PIG|
2,290260,NP_85,125.27,33,33,1.77E7,30,30,31,Carbamidomethylation; Oxidation (M),49419,Selenate reductase subunit beta
2,290259,ETNP14_68,125.27,33,33,1.77E7,30,30,31,Carbamidomethylation; Oxidation (M),49437,Selenate reductase subunit beta
2,66225,WP_018047899,125.27,33,33,1.77E7,30,30,31,Carbamidomethylation; Oxidation (M),49419,hypothetical protein Nitrospina sp AB-629-B18
3,276252,NP_85,117.18,33,33,,22,0,24,,36415,General L-amino acid-binding periplasmic protein AapJ precursor
8,66245,XP_003062500,113.11,20,20,1.87E6,19,9,20,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
8,66246,XP_003058621,113.11,20,20,1.87E6,19,9,20,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
8,66247,XP_003080933,113.11,19,19,1.87E6,19,9,20,Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
8,66248,XP_003082284,113.11,20,20,1.87E6,19,9,20,Oxidation (M),50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
6,317277,ETNP_120,111.41,26,26,,19,0,21,,36943,General L-amino acid-binding periplasmic protein AapJ precursor
6,276345,SAR11,111.41,25,25,,19,0,21,,38010,Putative amino-acid ABC transporter-binding protein YhdW
6,276346,SAR11,111.41,25,25,,19,0,21,,38368,Putative amino-acid ABC transporter-binding protein YhdW
6,290208,ETNP14_120,111.41,42,42,,19,0,21,,22868,General L-amino acid-binding periplasmic protein AapJ precursor
6,340703,ETNP_150,111.41,42,42,,19,0,21,,22939,General L-amino acid-binding periplasmic protein AapJ precursor
4,276337,NP_100,111.41,27,27,,19,0,21,,35769,General L-amino acid-binding periplasmic protein AapJ precursor
5,276333,ETNP14_68,110.99,28,28,6.85E3,19,1,21,,37467,General L-amino acid-binding periplasmic protein AapJ precursor
9,66151,WP_011282064,110.76,26,26,,18,0,20,,37685,amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique
10,276287,ETNP14_120,109.27,23,23,,18,0,20,,37337,General L-amino acid-binding periplasmic protein AapJ precursor
