Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 6: 335 2-9_94m_nw6_wet,Area Sample 6: 335 2-9_94m_nw6_wet,#Peptides,#Unique,#Spec Sample 6: 335 2-9_94m_nw6_wet,PTM,Avg. Mass,Description
1,1,54036848,191.20,12,12,2.11E7,13,9,22,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,35,WP_011469025.1,101.03,2,2,0E0,5,1,10,,97457,ATP-dependent chaperone ClpB [Saccharophagus degradans]
14,4,XP_003061104,56.36,5,5,4.17E5,2,1,2,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
134,2745,ETNP_100,36.01,6,6,6.19E4,1,1,1,,15112,Tubulin/FtsZ family  GTPase domain
134,2746,XP_003062500,36.01,2,2,6.19E4,1,1,1,,49730,alpha tubulin  Micromonas pusilla CCMP1545
134,2747,XP_003058621,36.01,2,2,6.19E4,1,1,1,,49730,alpha tubulin  Micromonas pusilla CCMP1545
134,2748,XP_003082284,36.01,2,2,6.19E4,1,1,1,,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
134,2749,XP_003080933,36.01,2,2,6.19E4,1,1,1,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
79,2724,ActinobacteriaREDSEAS14_EEFFFEGA_01646,35.82,6,6,7.49E4,1,1,1,,13421,50S ribosomal protein L20
79,2751,ActinobacteriaREDSEAS09_EJKBNLBD_01561,35.82,17,17,7.49E4,1,1,1,,4069,50S ribosomal protein L20
79,2753,ETNP14_68,35.82,6,6,7.49E4,1,1,1,,13057,50S ribosomal protein L20
79,2754,WP_015441628,35.82,6,6,7.49E4,1,1,1,,13225,50S ribosomal protein L20 Ilumatobacter coccineus
79,2755,ACI99700.1,35.82,6,6,7.49E4,1,1,1,,13791,ribosomal protein L20 [Rhodospirillum centenum SW]
79,2756,ABI77034.1,35.82,6,6,7.49E4,1,1,1,,13403,ribosomal protein L20 [Hyphomonas neptunium ATCC 15444]
79,2757,ETNP14_120,35.82,6,6,7.49E4,1,1,1,,13524,50S ribosomal protein L20
79,2758,ABF65245.1,35.82,6,6,7.49E4,1,1,1,,13672,LSU ribosomal protein L20P [Ruegeria sp. TM1040]
79,2759,ADH87647.1,35.82,6,6,7.49E4,1,1,1,,13735,ribosomal protein L20 [Starkeya novella DSM 506]
