Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
1,1,54036848,279.63,12,12,7.03E8,18,16,70,Dimethylation(KR); Sodium adduct; Dehydration; Propionamide (K  X@N-term); Carbamylation; 7 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
4,2,CAA76847.1,170.89,24,24,7.38E6,10,10,15,Carbamidomethylation; Dimethylation(KR),69324,bovine serum albumin [Bos taurus]
2,4,XP_003061104,149.25,27,27,1.05E7,23,7,31,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Oxidation or Hydroxylation; Amidination of lysines or N-terminal amines with methyl acetimidate; Mutation,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
3,8265,ETNP_70,141.19,15,15,4.94E7,13,7,16,Oxidation (M); Phosphorylation (STY),41848,Bacterial actin-related protein
16,143832,WP_011220004.1,130.17,18,18,1.34E7,8,8,11,Methylation(KR); Dehydration; Phosphorylation (STY); Oxidation or Hydroxylation; Deoxy,51773,glutamine synthetase [Photobacterium profundum]
14,8304,EJK77863,125.47,34,34,4.43E6,11,4,11,Oxidation (M); Deamidation (NQ),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
14,8305,EJK58168,125.47,34,34,4.43E6,11,4,11,Oxidation (M); Deamidation (NQ),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
14,8306,ETNP_90,125.47,30,30,4.43E6,11,4,11,Oxidation (M); Deamidation (NQ),18514,EF hand
14,8303,XP_002185049,125.47,34,34,4.43E6,11,4,11,Oxidation (M); Deamidation (NQ),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
19,2735,ETNP_90,119.50,19,19,7.91E6,9,1,12,Carbamidomethylation; Mutation,33070,Bacterial actin-related protein
9,143843,WP_041393911.1,114.13,36,36,2.69E6,11,4,13,Carbamidomethylation; Ethylation,22084,peroxidase [Photobacterium profundum]
32,143850,WP_011219918.1,113.20,14,14,1.96E6,6,3,6,Methylation(others); Acetylation (K); Mutation,57563,molecular chaperone GroEL [Photobacterium profundum]
5,17455,WP_011219964.1,112.42,14,14,1.47E6,11,2,13,Carbamidomethylation,43220,elongation factor Tu [Photobacterium profundum]
5,17463,WP_011217126.1,112.42,14,14,1.47E6,11,2,13,Carbamidomethylation,42975,elongation factor Tu [Photobacterium profundum]
18,18899,XP_003056131,111.40,42,42,6.88E6,10,3,10,Oxidation (M); Methylation(KR); Formylation; Deamidation (NQ),16706,calmodulin  Micromonas pusilla CCMP1545
11,17720,ETNP_70,108.53,27,27,8.04E6,9,4,11,,16840,Core histone H2A/H2B/H3/H4
11,17652,XP_003080759,108.53,33,33,8.04E6,9,4,11,,13731,histone H2B ISS  Ostreococcus tauri
11,17714,XP_003062035,108.53,35,35,8.04E6,9,4,11,,12701,predicted protein  Micromonas pusilla CCMP1545
11,17715,XP_003058519,108.53,35,35,8.04E6,9,4,11,,12701,predicted protein  Micromonas pusilla CCMP1545
11,17716,XP_003055512,108.53,35,35,8.04E6,9,4,11,,12701,histone H2B  Micromonas pusilla CCMP1545
11,17719,XP_003082252,108.53,30,30,8.04E6,9,4,11,,15314,histone H2B ISS  Ostreococcus tauri
6,17467,NP_125,103.58,14,14,1.41E6,12,2,14,Carbamidomethylation,43465,Elongation factor Tu
6,17468,NP_300,101.97,13,13,1.41E6,11,2,13,Carbamidomethylation,43409,Elongation factor Tu
6,17464,ABA58784.1,102.29,14,14,1.5E6,11,2,13,Carbamidomethylation; Methylation(KR); Dehydration,43674,Translation elongation factor Tu [Nitrosococcus oceani ATCC 19707]
6,17465,ABA58796.1,102.29,14,14,1.5E6,11,2,13,Carbamidomethylation; Methylation(KR); Dehydration,43674,translation elongation factor 1A (EF-1A/EF-Tu) [Nitrosococcus oceani ATCC 19707]
12,193573,ETNP_120,100.92,6,6,1.27E6,8,1,10,Carbamidomethylation,43853,Elongation factor Tu
