SeqID	CMSVM-_Localization	CMSVM-_Details	CytoSVM-_Localization	CytoSVM-_Details	ECSVM-_Localization	ECSVM-_Details	ModHMM-_Localization	ModHMM-_Details	Motif-_Localization	Motif-_Details	OMPMotif-_Localization	OMPMotif-_Details	OMSVM-_Localization	OMSVM-_Details	PPSVM-_Localization	PPSVM-_Details	Profile-_Localization	Profile-_Details	SCL-BLAST-_Localization	SCL-BLAST-_Details	SCL-BLASTe-_Localization	SCL-BLASTe-_Details	Signal-_Localization	Signal-_Details	Cytoplasmic_Score	CytoplasmicMembrane_Score	Periplasmic_Score	OuterMembrane_Score	Extracellular_Score	Final_Localization	Final_Localization_Details	Final_Score	Secondary_Localization	PSortb_Version
gi|54036848|sp|P63284.1|CLPB_ECOLI RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Cytoplasmic	matched 54036848: Chaperone clpB (Heat-shock protein F84.1)	Cytoplasmic	matched 100% 54036848: Chaperone clpB (Heat-shock protein F84.1)	Unknown	No signal peptide detected	10	0	0	0	0	Cytoplasmic		10		PSORTb version 3.0
NP_85m_PROKKA_04529 Selenate reductase subunit beta	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605511: Selenate reductase subunit beta	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP14_68maa_PROKKA_75202 Selenate reductase subunit beta	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605511: Selenate reductase subunit beta	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
WP_018047899 hypothetical protein Nitrospina sp AB-629-B18	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605511: Selenate reductase subunit beta	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
XP_003062500 alpha tubulin  Micromonas pusilla CCMP1545	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
XP_003058621 alpha tubulin  Micromonas pusilla CCMP1545	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
XP_003082284 TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
XP_003080933 TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
WP_011282064 amino acid ABC transporter substrate-binding protein Candidatus Pelagibacter ubique	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
NP_85m_PROKKA_09530 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP14_68maa_PROKKA_99193 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
NP_100m_PROKKA_12960 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP14_120maa_PROKKA_173526 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
WP_018047900 hypothetical protein Nitrospina sp AB-629-B18	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Periplasmic		Unknown	No matches to profiles found	Periplasmic	matched 38605512: Selenate reductase subunit alpha precursor	Unknown	No matches against database	Unknown	No signal peptide detected	0	0	10	0	0	Periplasmic		10		PSORTb version 3.0
ETNP14_120mab_PROKKA_51545 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP14_120maa_PROKKA_184116 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP_160m_PROKKA_72896 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP_180m_PROKKA_176133 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP14_68mB_PROKKA_31228 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP_120m_particle_PROKKA_209581 hypothetical protein	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
ETNP_120m_particle_PROKKA_30032 hypothetical protein	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
WP_042251421 nitrate oxidoreductase subunit alpha  partial Nitrospina gracilis	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605512: Selenate reductase subunit alpha precursor	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
WP_018047569 hypothetical protein Nitrospina	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	2.5	2.5	2.5	2.5	Unknown		2.5		PSORTb version 3.0
"ETNP_100m_particle_PROKKA_82300 Tubulin/FtsZ family, GTPase domain"	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
